,Unnamed: 0,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
0,0,03/15,0,0,,0.0,,0,0
1,1,03/16,15,0,,206.0,,0,15
2,2,03/17,25,0,,559.0,,0,40
3,45,03/18,34,0,,573.0,,0,74
4,46,03/19,49,0,,664.0,,0,123
5,47,03/20,51,3,,1314.0,,3,174
6,48,03/21,75,1,0.11503067484662576,1248.0,35.57142857142857,4,249
7,49,03/22,100,0,0.1117140121289499,1702.0,49.85714285714285,4,349
8,50,03/23,35,1,0.035430224150397684,855.0,52.714285714285715,5,384
9,51,03/24,41,0,0.03784282700421941,1228.0,55.0,5,425
10,52,03/25,128,1,0.09965521076632188,1980.0,68.42857142857143,6,553
11,53,03/26,122,2,0.08588957055214724,1616.0,78.85714285714286,8,675
12,54,03/27,135,5,0.091560895262087,1692.0,90.85714285714286,13,810
13,55,03/28,147,0,0.09096534653465346,2239.0,101.14285714285714,13,957
14,56,03/29,123,0,0.0779115012216089,1441.0,104.42857142857143,13,1080
15,57,03/30,109,1,0.07938820101966497,-585.0,115.0,14,1189
16,58,03/31,130,2,0.0907097288676236,1649.0,127.71428571428572,16,1319
17,59,04/01,199,8,0.14368231046931407,1643.0,137.85714285714286,24,1518
18,60,04/02,180,7,0.12913805472993747,1678.0,146.14285714285714,31,1698
19,61,04/03,186,6,0.12627291242362526,2246.0,153.42857142857142,37,1884
20,62,04/04,196,19,0.1407179487179487,1678.0,160.42857142857142,56,2080
21,63,04/05,155,12,0.11100879885410272,1465.0,165.0,68,2235
22,64,04/06,173,9,0.10144927536231883,1578.0,174.14285714285714,77,2408
23,65,04/07,138,15,0.07813005499838241,2076.0,175.28571428571428,92,2546
24,66,04/08,178,7,0.09966405375139978,1781.0,172.28571428571428,99,2724
25,67,04/09,129,12,0.07364214646876527,1438.0,165.0,111,2853
26,68,04/10,183,17,0.10675,1984.0,164.57142857142858,128,3036
27,69,04/11,145,9,0.08513672202650563,1600.0,157.28571428571428,137,3181
28,70,04/12,128,7,0.07579730987226123,1364.0,153.42857142857142,144,3309
29,71,04/13,87,10,0.0544576589466154,940.0,141.14285714285714,154,3396
30,72,04/14,127,16,0.08497419231504492,1355.0,139.57142857142858,170,3523
31,73,04/15,166,12,0.11419025157232705,1495.0,137.85714285714286,182,3689
32,74,04/16,154,15,0.10227703984819736,1802.0,141.42857142857142,197,3843
33,75,04/17,170,8,0.11762380152219035,1561.0,139.57142857142858,205,4013
34,76,04/18,154,6,0.10498636540708997,1751.0,140.85714285714286,211,4167
35,77,04/19,147,9,0.09882827506723013,1508.0,143.57142857142858,220,4314
36,78,04/20,153,10,0.09821182943603853,1433.0,153.0,230,4467
37,79,04/21,121,12,0.07764231368594739,1359.0,152.14285714285714,242,4588
38,80,04/22,225,4,0.13938053097345132,1886.0,160.57142857142858,246,4813
39,81,04/23,207,11,0.12428167081224804,2161.0,168.14285714285714,257,5020
40,82,04/24,304,5,0.1574080923145203,3421.0,187.28571428571428,262,5324
41,11,04/25,331,4,0.1580060010911075,2896.0,212.57142857142856,266,5655
42,12,04/26,224,6,0.1013116236996834,2321.0,223.57142857142856,272,5879
43,13,04/27,170,9,0.07305095150399017,2246.0,226.0,281,6049
44,14,04/28,208,19,0.083856476415366,2432.0,238.42857142857144,300,6257
45,15,04/29,231,8,0.08599691538584267,3326.0,239.28571428571428,308,6488
46,16,04/30,334,8,0.11843971631205676,3098.0,257.42857142857144,316,6822
47,17,05/01,460,11,0.1613954187760012,3632.0,279.7142857142857,327,7282
48,18,05/02,346,7,0.11869639794168095,3350.0,281.85714285714283,334,7628
49,19,05/03,304,5,0.1022339658899832,2731.0,293.2857142857143,339,7932
50,20,05/04,272,1,0.08934353150954906,2742.0,307.85714285714283,340,8204
51,21,05/05,330,13,0.10172178431458892,3830.0,325.2857142857143,353,8534
52,22,05/06,335,9,0.0994613394409806,4194.0,340.14285714285717,362,8869
53,23,05/07,314,12,0.08453195908007077,5523.0,337.2857142857143,374,9183
54,37,05/08,375,10,0.09731232622798887,4605.0,325.14285714285717,384,9558
55,38,05/09,349,14,0.08528836754643206,5019.0,325.57142857142856,398,9907
56,39,05/10,280,2,0.06661908160837497,3508.0,322.14285714285717,400,10187
57,40,05/11,199,9,0.04682667742369236,3069.0,311.7142857142857,409,10386
58,41,05/12,193,9,0.04382663984947772,4908.0,292.14285714285717,418,10579
59,42,05/13,291,3,0.06510899443840695,4654.0,285.85714285714283,421,10870
60,43,05/14,373,13,0.0825664864181134,5860.0,294.2857142857143,434,11243
61,44,05/15,410,11,0.08570490040911398,6469.0,299.2857142857143,445,11653
62,24,05/16,502,8,0.1017990092412874,6051.0,321.14285714285717,453,12155
63,25,05/17,356,0,0.06765304737342202,5824.0,332.0,453,12511
64,26,05/18,144,6,0.026020961329960245,4972.0,324.14285714285717,459,12655
65,27,05/19,198,8,0.03670259248470725,3933.0,324.85714285714283,467,12853
66,28,05/20,528,14,0.09309823677581863,6591.0,358.71428571428567,481,13381
67,29,05/21,472,6,0.07639306358381504,9410.0,372.8571428571428,487,13853
68,30,05/22,511,9,0.0765019141518917,9976.0,387.28571428571433,496,14364
69,31,05/23,481,11,0.07042017861251124,7107.0,384.28571428571433,507,14845
70,32,05/24,400,3,0.05683432793407218,7277.0,390.57142857142856,510,15245
71,33,05/25,307,4,0.0415073202765867,7480.0,413.8571428571428,514,15552
72,34,05/26,279,3,0.03511642542479547,7774.0,425.4285714285714,517,15831
73,35,05/27,599,22,0.07064393301209691,10330.0,435.57142857142856,539,16430
74,36,05/28,512,11,0.05917120686808651,10626.0,441.28571428571433,550,16942
75,93,05/29,733,18,0.07992709826157393,13602.0,473.0,568,17675
76,94,05/30,523,20,0.0546973047271858,9843.0,479.0,588,18198
77,95,05/31,173,4,0.018068424272264745,7368.0,446.57142857142856,592,18371
