,Date,Santa Clara,SF,Alameda,Contra Costa,Marin,San Mateo
0,2020-03-11,1.2858233034051,,,,,1.2621599218875301
1,2020-03-12,1.3118084245861399,1.18460316046117,1.15943647256468,,,1.29674171158304
2,2020-03-13,1.33564170075625,1.2238770154113001,,,,
3,2020-03-14,1.35749121135743,1.26234349390331,,,,1.3474852955373897
4,2020-03-15,1.3775194780146298,1.29938208748744,1.26214505903308,,,
5,2020-03-16,1.39570831216032,1.33416057025709,1.29491110976696,,,1.37698269891173
6,2020-03-17,1.41171874632472,1.36565344405117,1.32451754403477,,,1.38616660532053
7,2020-03-18,1.4248930286448003,1.3927523079883501,1.34974344213478,1.34002670750302,1.4719270350721698,1.3931668514436
8,2020-03-19,1.43436987508855,1.41440277300118,1.3697370942314,1.3671498449255601,1.46063361851888,1.39872246204341
9,2020-03-20,1.43930692691181,1.4297001033721,1.38417229769471,1.3909132073833002,1.44260065907893,1.40299225459576
10,2020-03-21,1.43909605597267,1.4379843398489498,1.3933050132595102,1.40995296607656,,1.4055943773900101
11,2020-03-22,1.4334488017279199,1.4389715019243898,1.3978077991452802,1.42339204707994,,1.4058276969752699
12,2020-03-23,1.4223660925534098,1.43288880534336,1.3984787163128602,1.43095456730098,1.3686544753868501,1.40292683473497
13,2020-03-24,1.40607538570971,1.42054017356022,1.39600718235832,1.43293821124089,1.3391651263312399,1.39622180664816
14,2020-03-25,1.38498130530982,1.4032516805153301,1.3909519302155802,1.4300080056080402,,1.3852323135988602
15,2020-03-26,1.3595826864710598,1.38273186095588,1.3838574307666298,1.42288379787373,1.2719971115272701,1.36968562913147
16,2020-03-27,1.3304272789324199,1.36081229642721,1.37525573735073,1.41204561350477,1.2344554574667599,1.34951918754472
17,2020-03-28,1.2981322474886798,1.3391110578243601,1.36551582310853,1.3975751198189599,1.19496386125652,1.3247971865147
18,2020-03-29,1.2635331820689901,1.31877052655129,1.3546651791620201,1.37923469224224,1.15446021793377,1.29569845303315
19,2020-03-30,1.22773972046945,1.3003526034382802,1.34241236753578,1.35674462719021,1.11404812131912,1.26265500854248
20,2020-03-31,1.19194982048306,1.28390631734031,1.3283722274808702,1.3300949236769,1.0748599761106,
21,2020-04-01,1.1571437119706103,1.2690871768986698,1.31230086646852,1.2997391110262901,1.03800794727756,1.1891751514758202
22,2020-04-02,1.12387579339553,1.25529658913343,1.2942569451491899,1.2665895695134,1.00459341617035,1.15250113570182
23,2020-04-03,1.09227359778476,1.24180137103246,1.2745911381605102,1.2318930401838601,0.975634595894056,1.11882108249461
24,2020-04-04,1.0621322478056001,1.22783215435521,,1.19705372700204,0.9518615405071941,1.0899642185465601
25,2020-04-05,1.0330562320346701,1.21268105375388,1.2329485410683898,1.16341495777599,0.9334824340768209,1.0670554423015302
26,2020-04-06,1.0046056453106802,1.19580533461047,1.2124907698496898,1.1320558715028302,0.920116601191823,1.050435878489
27,2020-04-07,0.9764604373327079,1.1769742195778898,1.19311700442987,1.10365133428574,0.910891255832623,1.03975656327949
28,2020-04-08,0.948531096763604,1.15638114955677,1.17512972768544,1.07845334725979,0.9046242031869359,1.0341653048094
29,2020-04-09,0.920959577150685,1.13463824700882,1.1585736061432,1.05636189268005,0.900055440556131,1.0324764175605101
30,2020-04-10,0.894058835261732,1.1126441985788702,1.14331945303389,1.03702794164838,,1.03338338959331
31,2020-04-11,0.8682287702812379,1.09135270405516,1.1291510414095702,1.01997204824723,,1.03564595718577
32,2020-04-12,0.843930210454486,1.0715670526034,1.1158218377648799,1.00468843645323,0.8871055603608571,
33,2020-04-13,0.821653080013422,1.05380891492481,1.1031127154732199,0.990760784099891,0.8819482429610419,1.04070223421592
34,2020-04-14,,1.03828757501302,1.09088926577123,0.9779311695352221,0.876759975130282,1.04258790678408
35,2020-04-15,0.785121515751792,1.02495951505169,1.07916477159805,0.9661010904031229,0.871932187960365,1.04383000630734
36,2020-04-16,0.7716349913675821,1.01364570799385,1.06808810112755,0.9552672969210191,0.8676500095833342,
37,2020-04-17,0.7614577855075351,1.0042071544014002,1.0578306534164998,0.945478640863689,,1.04422226120433
38,2020-04-18,,0.9966341353293121,1.0484754637893001,0.936846841783684,0.859953994713919,1.04362080390535
39,2020-04-19,,0.9910022832194141,1.03998154721524,0.9295268736787992,0.855664365294938,
40,2020-04-20,0.746428981252512,0.987359878400443,1.03225712930074,0.9236828032408879,0.850521250122479,1.04264208301983
41,2020-04-21,0.744581928637016,0.9856476117453571,1.02525971514393,0.919422210433208,0.844331461976919,1.04297039809341
42,2020-04-22,0.7435020139294599,0.9857152529934471,,0.9167236004930469,0.8372051609835459,1.0438782746338
43,2020-04-23,0.742926824199996,0.98738757771393,1.01400771000105,0.9153718846357919,0.8296157709946999,1.0449512794359
44,2020-04-24,0.7427621640830259,0.9904733709053589,1.01038257468772,0.9149680704248031,0.8223887478536929,1.0455904777018399
45,2020-04-25,0.7430643060825609,0.9947019007318469,1.00849058905556,0.915025719545131,0.8165613362916501,1.04522166837245
46,2020-04-26,0.7439848282619821,0.999629258988862,1.00837262550678,0.9150932373383571,0.813210324687614,
47,2020-04-27,0.745702118710131,1.00459178737678,1.0098148761021701,0.914870962538815,0.8133206269848299,1.04032286009032
48,2020-04-28,0.7483721499071071,1.00872783863875,1.01243801366219,0.9142832971107049,0.8177619994690141,1.03596511581113
49,2020-04-29,0.7521364642186801,1.01107366545434,1.01583581245918,0.913517495612981,0.827296174025835,1.03084583655274
50,2020-04-30,0.7571679509613459,1.01075626160756,1.01967316204633,0.9129738089273309,0.8424747977857729,1.02547849916541
