Date,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-03-11,1.2858132291683402,,,,1.26215395515052,
2020-03-12,1.31179714486524,1.15942490857215,,,1.29673497620051,1.1845938465466699
2020-03-13,1.3356290800327,,,,,1.2238665276336598
2020-03-14,1.35747710472633,,,,1.3474767310736102,1.26233170322447
2020-03-15,1.3775037295689898,1.2621284942596398,,,,1.29936886023437
2020-03-16,1.39569075250512,1.29489251390167,,,1.376971878328,1.3341457721639498
2020-03-17,1.4116991917444501,1.32449672876636,,,1.3861544803016799,1.36563694333729
2020-03-18,1.42487128467752,1.3497202125390602,1.3399877281341201,1.4718892069076597,1.39315329106682,1.39273397703248
2020-03-19,1.4343457394339498,1.36971124652607,1.3671066184208998,1.4605917175239598,1.3987073280841598,1.4143824860314598
2020-03-20,1.43928019257223,1.38414361856332,1.3908654333569899,1.4425543961375502,1.40297540597684,1.42967773479034
2020-03-21,1.4390665146452901,1.3932732851445202,1.4099003499091003,,1.40557567502801,1.43795976455574
2020-03-22,1.4334162611791297,1.3977728078330298,1.42333431051304,,1.40580699896669,1.4389446243182702
2020-03-23,1.4223303574806,1.39844022994293,1.43089143401992,1.3685934480860298,1.4029039912869798,1.43285954605879
2020-03-24,1.4060362259307801,1.39596495472685,1.43286939471617,1.3390986084978502,1.39619667664656,1.42050841370956
2020-03-25,1.38493846825649,1.3909057255896202,1.42993322253088,,1.38520476949635,1.40321726916024
2020-03-26,1.3595359066161499,1.3838070466599899,1.4228027396445502,1.27191862565823,1.3696555622182802,1.3826946716522899
2020-03-27,1.3303762694176,1.37520098539619,1.4119579154036999,1.23437046391452,1.3494864919695,1.36077223449355
2020-03-28,1.298076732127,1.3654564986700701,1.39748040026106,1.19487196095209,1.32476174725858,1.3390680203902001
2020-03-29,1.26347290536978,1.35460106360827,1.3791325825818799,1.15436094233862,1.29566012562656,1.31872437561531
2020-03-30,1.2276743938878898,1.34234324631744,1.35663475844024,1.11394090266567,1.26261363458189,1.3003031582881202
2020-03-31,1.19187908980183,1.3282978933053302,1.3299769015380098,1.07474415414987,,1.28385336613244
2020-04-01,1.1570671516364,1.31222110519292,1.29961250560082,1.03788275483081,1.18912718561587,1.26903049032911
2020-04-02,1.12379291005261,1.29417152204064,1.2664538964651202,1.00445796378121,1.15244951668214,1.25523595047099
2020-04-03,1.09218384879853,1.274499759496,1.23174774135192,0.9754878856802741,1.11876551773172,1.2417365877112299
2020-04-04,1.06203504906499,,1.1968981474251001,0.9517024750793779,1.08990436910446,1.22776304571635
2020-04-05,1.0329509746969,1.23284446961543,1.1632483161653402,0.933309851550277,1.06699089623687,1.2126074505978301
2020-04-06,1.00449174175935,1.21237996878496,1.13187724847661,0.919929329357881,1.0503661750377902,1.19572706807251
2020-04-07,0.976337300771143,1.1929991390888401,1.10345971523229,0.910688185330889,1.03968125734344,1.1768910826190901
2020-04-08,0.9483980186352869,1.17500444778666,1.07824765775898,0.904404358102354,1.03408394668723,1.15629290874603
2020-04-09,0.9208156896764491,1.15844052287766,1.05614100392907,0.899817993859539,1.03238855551574,1.1345446600600901
2020-04-10,0.893903150066663,1.14317811960583,1.03679066917001,,1.03328859927424,1.11254495768331
2020-04-11,0.868060179039274,1.12900099178675,1.01971713828937,,1.03554386306841,1.09124740854763
2020-04-12,0.843747419554169,1.1156625888785001,1.00441455834824,0.886810754110382,,1.07145521128622
2020-04-13,0.821454547607535,1.1029437412640801,0.9904665147758791,0.88163260971755,1.04058437766049,1.05368994472519
2020-04-14,,1.09070997549913,0.9776149840506129,0.8764224640828661,1.04246158350463,1.0381607983602
2020-04-15,0.784885953597275,1.07897452276106,0.9657613488495441,0.8715716629937049,1.04369479783946,1.02482418854715
2020-04-16,0.771377714928193,1.06788622180566,0.9549022170255791,0.8672653408522031,,1.01350103729541
2020-04-17,0.76117638658326,1.05761642262769,0.94508629074426,,1.0440678486078199,1.0040522829396499
2020-04-18,,1.0482480911348,0.936425124992437,0.859518031141616,1.04345595529877,0.996468128516511
2020-04-19,,1.03974015304824,0.929073489629313,0.855201555723872,,0.9908241129147929
2020-04-20,0.7460592603730201,1.03200073201759,0.9231952261417121,0.850030975422139,1.04245420493485,0.9871684135629879
2020-04-21,0.744177035614657,1.02498728096773,0.91889775566191,0.8438131114026579,1.0427697995474001,0.985441619275759
2020-04-22,0.743058805385302,,0.916159504559232,0.8366579893055971,1.0436641288400799,0.9854934141419959
2020-04-23,0.7424419117683392,1.01369977307686,0.914765317546833,0.829038724222596,1.0447227655284201,0.987148510193306
2020-04-24,0.742231899590047,1.01005485931529,0.9143161905129631,0.821780236566296,1.0453468121140699,0.9902156333009859
2020-04-25,0.742484706780206,1.00814151183365,0.914325705889077,0.8159190629478499,1.04496211832833,0.9944240193919991
2020-04-26,0.74335149661545,1.0080004740116801,0.914342260980294,0.8125312155143721,,0.999329773367898
2020-04-27,0.7450102202279599,1.00941790585515,0.9140661021183871,0.812600797536522,1.04002926017344,1.00426927375272
2020-04-28,0.747616420532793,1.0120145062444301,0.913421411338558,0.8169967865282309,1.03565317971122,1.00838094902417
2020-04-29,0.751311133062173,1.01538406919177,0.9125950488703359,0.826480187921455,1.0305144713962,1.0107011548644
2020-04-30,0.75626668838407,1.0191914621414202,0.9119867395451852,0.8416020811813091,1.0251263660037802,1.01035699066555
2020-05-01,0.762702044742057,1.0232209750385701,0.912079615624395,0.862526289071645,1.01998437895637,1.00679974979737
2020-05-02,0.7708564235860831,1.02737772493106,0.913310552632889,0.8888769230298861,1.01550044791398,1.00002947932397
