,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-03-11,1.28581750757148,,,,1.2621562319161799,
2020-03-12,1.31180190712305,1.15942916727173,,,1.2967375321509198,1.18459633163413
2020-03-13,1.33563438456845,,,,,1.2238693194361001
2020-03-14,1.3574830168376597,,,,1.34747996119438,1.26233484259921
2020-03-15,1.37751032309334,1.2621346104061102,,,,1.2993723929919498
2020-03-16,1.3956981118392802,1.29489942142391,,,1.3769759668204098,1.3341497489328997
2020-03-17,1.4117074132539198,1.32450452947987,,,1.3861590819992098,1.3656414197427198
2020-03-18,1.4248804763537801,1.3497290211336002,1.34000269038719,1.47189853666615,1.39315847346243,1.3927390141294398
2020-03-19,1.4343560206803998,1.36972119255863,1.3671235107411999,1.4606022510373202,1.39871316729864,1.41438815155868
2020-03-20,1.43929169369569,1.38415484724123,1.3908845050487302,1.4425662843741,1.4029819858282302,1.42968410387012
2020-03-21,1.43907937644189,1.39328595549433,1.40992187137115,,1.40558308576328,1.4379669198290301
2020-03-22,1.4334306362585902,1.39778708769979,1.4233585704936298,,1.40581533542508,1.43895265644918
2020-03-23,1.4223464125472,1.39845629553301,1.43091873760556,1.36861046488884,1.4029133547841,1.43286855316239
2020-03-24,1.40605414190094,1.3959829936900299,1.43290006497927,1.33911774760612,1.39620717936785,1.42051849849318
2020-03-25,1.3849584428338502,1.3909259398823,1.4299676252766897,,1.3852165354983201,1.4032285403861
2020-03-26,1.3595581553905902,1.3838296552972298,1.42284128853825,1.27194273986757,1.3696687282741398,1.38270725181378
2020-03-27,1.33040102574868,1.3752262192462,1.41200104926449,1.2343974742105601,1.3495012053242799,1.3607862612447899
2020-03-28,1.29810425856161,1.36548459222868,1.3975285606102699,1.194902172013,1.32477816511031,1.3390836398793
2020-03-29,1.26350346697635,1.35463224593526,1.3791861955808202,1.1543946881766,1.29567842125235,1.3187417245324298
2020-03-30,1.2277082527748,1.34237773977811,1.3566942467895902,1.11397856349979,1.2626339876830401,1.30032236868056
2020-03-31,1.1919165355190902,1.3283359317146202,1.3300426981496,1.0747861449643001,,1.2838745840913501
2020-04-01,1.1571085086270299,1.31226294209726,1.29968504828303,1.03792952230862,1.18915220216351,1.26905387582586
2020-04-02,1.12383853724466,1.29421742882094,1.2665336294511498,1.00450998636463,1.1524771922186399,1.25526165250398
2020-04-03,1.09223412621023,1.2745500495903999,1.2318351212325702,0.9755456563477971,1.1187960613138799,1.2417647357546202
2020-04-04,1.06209037569599,,1.1969936579548501,0.951766507127395,1.0899379852157298,1.22779376410791
2020-04-05,1.0330117547653,1.23290424774308,1.16335249628025,0.9333806747151441,1.06702781982455,1.21264085814843
2020-04-06,1.00455833918598,1.21244477068951,1.13199071189002,0.9200074755704771,1.05040666203159,1.1957632859844098
2020-04-07,0.976410054247489,1.19306918388803,1.1035831196938999,0.910774152111263,1.03972553518917,1.17693026366776
2020-04-08,0.948477354730071,1.17507994375685,1.07838168393152,0.9044985645113559,1.03413224784246,1.15633521126446
2020-04-09,0.920902149862932,1.15852169886624,1.05628636269385,0.899920776201068,1.03244112662654,1.1345902155982401
2020-04-10,0.8939973413393358,1.1432652499749199,1.03694811090863,,1.03334567794373,1.1125939148358102
2020-04-11,0.8681627651862021,1.12909436214337,1.01988747215238,,1.03560565901154,1.0912999556499399
2020-04-12,0.8438591771031579,1.1157624949929599,1.00459865909856,0.8869413093021942,,1.07151157526549
2020-04-13,0.821576420238662,1.1030505130113701,0.9906653319537191,0.88177326582924,1.04065631879568,1.05375039845454
2020-04-14,,1.09082399479855,0.9778295418034371,0.8765737487009371,1.0425389635954398,1.03822567239375
2020-04-15,0.785031451973618,1.07909620238755,0.965992746698695,0.871734132253379,1.04377787847025,1.0248938491967199
2020-04-16,0.7715369687957639,1.0680159764921802,0.955151650405021,0.8674395246359491,,1.0135758757178601
2020-04-17,0.7613508591018531,1.05775468653162,0.9453550515374559,,1.0441632413519102,1.00413272212448
2020-04-18,,1.04839533997695,0.936714608906912,0.8597170031075642,1.04355803048804,0.996554629335526
2020-04-19,,1.0398969292506801,0.9293852308671209,0.8554134382084592,,0.990917183421272
2020-04-20,0.746289096641986,1.0321676570403,0.92353091535923,0.850256006828244,1.04257099682799,0.9872686167765109
2020-04-21,0.7444287978850451,1.02516500026292,0.9192591798047671,0.8440515167295649,1.04289467181245,0.985549577074195
2020-04-22,0.743334393685933,,0.9165484798703979,0.8369100388027341,1.0437975551748,0.985609795102474
2020-04-23,0.7427433752787241,1.01390116714131,0.91518369685442,0.8293048016901159,1.044865215393,0.9872740067990841
2020-04-24,0.742561427899705,1.01026932270034,0.9147658268914292,0.822060957847317,1.0454987320123499,0.9903509595464359
2020-04-25,0.7428446786747421,1.00837001227342,0.914808425195812,0.8162153712079351,1.04512391654918,0.99456989129677
2020-04-26,0.7437445410447909,1.00824406365263,0.9148598816805109,0.812844413729817,,0.9994868822960171
2020-04-27,0.745439223248848,1.00967764728782,0.9146204925134599,0.8129325843928079,1.04021209058184,1.00443828781915
2020-04-28,0.7480845065122751,1.01229142773051,0.9140145759980649,0.817349238796124,1.03584725413827,1.0085624958200299
2020-04-29,0.7518217289100481,1.01567917325949,0.9132292541192791,0.826855741573369,1.03072039620492,1.01089580743785
