Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
5/14,16968,641,616,16,489.7142857142857,18.285714285714285
5/15,17494,667,526,26,498.2857142857143,19.571428571428573
5/16,18130,676,636,9,521.7142857142857,17.857142857142858
5/17,18673,686,543,10,533.5714285714286,17.428571428571427
5/18,19207,693,534,7,561.8571428571429,16.857142857142858
5/19,19239,693,32,0,516.7142857142857,13.285714285714286
5/20,20262,726,1023,33,558.5714285714286,14.428571428571429
5/21,20512,734,250,8,506.2857142857143,13.285714285714286
5/22,22110,775,1598,41,659.4285714285714,15.428571428571429
5/23,22864,778,754,3,676.2857142857143,14.571428571428571
5/24,23365,784,501,6,670.2857142857143,14.0
5/25,24057,790,692,6,692.8571428571429,13.857142857142858
5/26,24455,801,398,11,745.1428571428571,15.428571428571429
5/27,24916,844,461,43,664.8571428571429,16.857142857142858
5/28,25800,876,884,32,755.4285714285714,20.285714285714285
5/29,26885,919,1085,43,682.1428571428571,20.571428571428573
5/30,27794,929,909,10,704.2857142857143,21.571428571428573
5/31,28785,937,991,8,774.2857142857143,21.857142857142858
6/1,29592,948,807,11,790.7142857142857,22.571428571428573
6/2,30023,961,431,13,795.4285714285714,22.857142857142858
6/3,31276,999,1253,38,908.5714285714286,22.142857142857142
6/4,32075,1006,799,7,896.4285714285714,18.571428571428573
6/5,33295,1015,1220,9,915.7142857142857,13.714285714285714
6/6,34718,1028,1423,13,989.1428571428571,14.142857142857142
6/7,35625,1032,907,4,977.1428571428571,13.571428571428571
6/8,36517,1041,892,9,989.2857142857143,13.285714285714286
6/9,37227,1068,710,27,1029.142857142857,15.285714285714286
6/10,38473,1090,1246,22,1028.142857142857,13.0
6/11,39584,1106,1111,16,1072.7142857142858,14.285714285714286
6/12,41417,1121,1833,15,1160.2857142857142,15.142857142857142
6/13,42845,1127,1428,6,1161.0,14.142857142857142
6/14,44264,1132,1419,5,1234.142857142857,14.285714285714286
6/15,45114,1140,850,8,1228.142857142857,14.142857142857142
6/16,45907,1169,793,29,1240.0,14.428571428571429
6/17,46934,1181,1027,12,1208.7142857142858,13.0
6/18,48167,1188,1233,7,1226.142857142857,11.714285714285714
6/19,49785,1202,1618,14,1195.4285714285713,11.571428571428571
6/20,51390,1215,1605,13,1220.7142857142858,12.571428571428571
6/21,52801,1245,1411,30,1219.5714285714287,16.142857142857142
6/22,53964,1278,1163,33,1264.2857142857142,19.714285714285715
6/23,54639,1296,675,18,1247.4285714285713,18.142857142857142
6/24,56527,1325,1888,29,1370.4285714285713,20.571428571428573
