MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood,Borough
10035,1055,131,17.19,East Harlem,Manhattan
10036,467,39,9.57,Hell's Kitchen/Midtown Manhattan,Manhattan
10037,548,63,14.39,Central Harlem (North)/East Harlem,Manhattan
10038,263,28,9.42,Chinatown/Financial District,Manhattan
10039,553,63,15.67,Central Harlem (North)/Washington Heights (South),Manhattan
10040,1186,118,16.72,Washington Heights (North),Manhattan
10044,245,36,13.05,Roosevelt Island,Manhattan
10065,337,28,6.4,Lenox Hill/Upper East Side,Manhattan
10069,62,2,6.83,Lincoln Square,Manhattan
10075,438,45,9.83,Lenox Hill/Upper East Side,Manhattan
10128,669,42,7.07,Upper East Side/Yorkville,Manhattan
10280,61,0,6.5,Battery Park City,Manhattan
10282,77,15,11.63,Battery Park City,Manhattan
10301,1257,105,18.69,Silver Lake/St. George,Staten Island
10302,650,32,23.17,Elm Park,Staten Island
10303,911,45,21.01,Graniteville/Mariner's Harbor/Port Ivory,Staten Island
10304,1428,182,19.63,New Dorp/Todt Hill,Staten Island
10305,1289,80,19.23,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island
10306,1502,82,17.32,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island
10307,397,15,19.24,Tottenville,Staten Island
10308,667,28,17.57,Great Kills,Staten Island
10309,869,31,18.03,Charleston/Prince's Bay/Woodrow,Staten Island
10310,725,33,17.82,Port Richmond/Randall Manor/West Brighton,Staten Island
10312,1563,59,18.25,Annadale/Rossville,Staten Island
10314,2752,201,19.12,Bloomfield/Freshkills Park,Staten Island
10451,1646,148,19.57,Concourse/Melrose,Bronx
10452,2562,169,20.37,Concourse/Highbridge,Bronx
10453,2535,163,21.6,Morris Heights/Mount Hope/University Heights,Bronx
10454,1206,105,18.83,Mott Haven/Port Morris,Bronx
10455,1372,107,20.44,Mott Haven,Bronx
10456,2677,286,18.76,Claremont/Morrisania,Bronx
10457,2276,185,19.58,Belmont/Claremont/Mount Hope/Tremont,Bronx
10458,2221,125,19.97,Belmont/Fordham University/Kingsbridge,Bronx
10459,1582,166,20.69,Charlotte Gardens/Hunts Point,Bronx
10460,1767,125,20.34,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx
10461,1922,137,20.16,Morris Park/Pelham Bay/Westchester Square,Bronx
10462,2366,175,19.05,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx
10463,2143,210,16.43,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx
10464,129,9,15.5,City Island,Bronx
10465,1552,83,19.75,Country Club/Throgs Neck,Bronx
10466,2513,166,22.76,Edenwald/Wakefield,Bronx
10467,3601,311,21.56,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx
10468,2937,219,20.37,Fordham/Kingsbridge/University Heights,Bronx
10469,3153,352,22.38,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx
10470,471,20,18.86,Wakefield/Woodlawn,Bronx
10471,829,82,16.22,Fieldston/North Riverdale/Riverdale,Bronx
10472,2105,188,22.68,Soundview,Bronx
10473,2029,136,20.08,Castle Hill/Clason Point/Soundview,Bronx
10474,339,21,21.0,Hunts Point,Bronx
10475,1793,173,21.74,Co-op City/Edenwald,Bronx
11004,613,67,15.34,Bellerose/Douglaston-Little Neck,Queens
11101,675,38,10.44,Astoria (South)/Long Island City/Sunnyside,Queens
11102,660,78,12.67,Astoria (North),Queens
11103,609,52,11.18,Astoria (North)/Astoria (South),Queens
11104,520,42,12.51,Sunnyside,Queens
11105,511,43,9.88,Ditmars Steinway,Queens
11106,694,51,12.3,Astoria (South),Queens
11109,56,2,6.23,Long Island City,Queens
11201,765,93,6.83,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn
11203,2175,241,20.39,East Flatbush (North)/East Flatbush (South),Brooklyn
11204,2111,142,17.76,Bensonhurst/Mapleton,Brooklyn
11205,785,50,11.87,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn
11206,1707,154,13.83,Williamsburg (South),Brooklyn
11207,2235,214,18.77,Cypress Hills/East New York,Brooklyn
11208,2544,246,20.26,Cypress Hills/East New York,Brooklyn
11209,1198,112,12.02,Bay Ridge/Fort Hamilton,Brooklyn
11210,1780,147,18.67,Flatlands/Midwood,Brooklyn
11211,2209,136,12.45,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn
11212,2008,232,19.23,Ocean Hill-Brownsville,Brooklyn
11213,1480,145,15.99,Crown Heights (East),Brooklyn
11214,1635,181,14.71,Bath Beach/Bensonhurst/Gravesend,Brooklyn
11215,654,47,6.61,Gowanus/Park Slope/Windsor Terrace,Brooklyn
11216,795,74,9.96,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn
11217,654,85,9.84,Boerum Hill/Park Slope,Brooklyn
11218,1829,136,15.81,Kensington/Windsor Terrace,Brooklyn
11219,3183,231,17.34,Borough Park,Brooklyn
11220,1704,164,16.2,Sunset Park,Brooklyn
11221,1410,145,13.12,Bedford-Stuyvesant (East)/Bushwick,Brooklyn
11222,485,32,7.42,Greenpoint,Brooklyn
11223,1794,144,17.29,Gravesend/Homecrest,Brooklyn
11224,1297,210,19.47,Brighton Beach/Coney Island/Seagate,Brooklyn
11225,1218,138,14.53,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn
11226,2456,299,17.47,Flatbush/Prospect Lefferts Gardens,Brooklyn
11228,708,81,14.94,Bath Beach/Dyker Heights,Brooklyn
11229,1851,148,12.62,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn
11230,2469,227,17.01,Midwood,Brooklyn
11231,443,34,8.18,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn
11232,584,42,15.58,Sunset Park,Brooklyn
11233,1353,135,16.75,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn
11234,2323,192,19.18,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn
11235,2138,296,16.97,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn
11236,2873,297,21.79,Canarsie,Brooklyn
11237,1049,114,14.1,Bushwick/East Williamsburg,Brooklyn
11238,844,103,9.17,Clinton Hill/Prospect Heights,Brooklyn
11239,544,88,18.18,East New York,Brooklyn
11354,1310,291,13.77,Flushing/Murray Hill,Queens
11355,1463,165,14.33,Flushing/Murray Hill/Queensboro Hill,Queens
11356,597,42,18.37,College Point,Queens
11357,856,102,15.18,Whitestone,Queens
11358,609,43,12.24,Auburndale/Murray Hill,Queens
11360,331,27,11.53,Bayside (North),Queens
11361,475,56,12.89,Bayside (North)/Bayside (South),Queens
11362,338,35,13.97,Douglaston-Little Neck,Queens
11363,101,5,11.79,Douglaston-Little Neck,Queens
11364,480,35,11.85,Bayside (South)/Oakland Gardens,Queens
11365,884,67,14.9,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens
11366,402,27,20.02,Fresh Meadows/Hillcrest,Queens
11367,1086,67,17.53,Kew Gardens Hills/Pomonok,Queens
11368,4856,441,23.49,Corona/North Corona,Queens
11369,1679,177,24.84,Airport/East Elmhurst,Queens
11370,1383,64,23.58,Jackson Heights/Rikers Island,Queens
11372,2668,254,20.75,Jackson Heights,Queens
11373,3367,294,20.04,Elmhurst,Queens
11374,1118,99,17.66,Rego Park,Queens
11375,1502,181,15.41,Forest Hills,Queens
11377,2378,192,16.21,Woodside,Queens
11378,775,71,15.44,Maspeth,Queens
11379,854,97,16.0,Middle Village,Queens
11385,2289,140,17.09,Glendale/Ridgewood,Queens
11411,709,50,24.48,Cambria Heights,Queens
11412,1287,91,23.26,St. Albans,Queens
11413,1362,102,23.44,Laurelton/Rosedale,Queens
11414,829,62,22.11,Hamilton Beach/Howard Beach/Lindenwood,Queens
11415,549,51,18.2,Kew Gardens,Queens
11416,746,55,22.22,Ozone Park,Queens
11417,915,46,20.41,Ozone Park,Queens
11418,1166,105,21.35,Richmond Hill,Queens
11419,1253,95,22.48,Richmond Hill/South Ozone Park,Queens
11420,1422,107,22.76,South Ozone Park,Queens
11421,1242,102,21.43,Woodhaven,Queens
11422,1029,67,22.58,Rosedale,Queens
11423,1118,103,23.45,Hollis/Holliswood,Queens
11426,509,34,19.95,Bellerose,Queens
11427,810,51,21.32,Bellerose/Hollis Hills/Holliswood,Queens
11428,692,54,24.14,Queens Village,Queens
11429,999,75,22.79,Queens Village,Queens
11432,1906,252,20.8,Hillcrest/Jamaica Estates/Jamaica Hills,Queens
11433,990,79,21.12,Jamaica,Queens
11434,2181,194,22.5,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens
11435,1695,148,20.74,Briarwood/Jamaica,Queens
11436,556,44,21.54,South Jamaica/South Ozone Park,Queens
11691,2516,365,19.57,Edgemere/Far Rockaway,Queens
11692,657,92,18.37,Arverne/Edgemere,Queens
11693,343,29,19.77,Arverne/Broad Channel,Queens
11694,756,87,20.7,Belle Harbor-Neponsit/Rockaway Park,Queens
11697,110,4,8.53,Breezy Point,Queens
