MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
11220,1704,164,16.2,Sunset Park
11221,1410,145,13.12,Bedford-Stuyvesant (East)/Bushwick
11222,485,32,7.42,Greenpoint
11223,1794,144,17.29,Gravesend/Homecrest
11224,1297,210,19.47,Brighton Beach/Coney Island/Seagate
11225,1218,138,14.53,Crown Heights (West)/Prospect Lefferts Gardens
11226,2456,299,17.47,Flatbush/Prospect Lefferts Gardens
11228,708,81,14.94,Bath Beach/Dyker Heights
11229,1851,148,12.62,Gerritsen Beach/Homecrest/Sheepshead Bay
11230,2469,227,17.01,Midwood
11231,443,34,8.18,Carroll Gardens/Cobble Hill/Red Hook
11232,584,42,15.58,Sunset Park
11233,1353,135,16.75,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
11234,2323,192,19.18,Bergen Beach/Flatlands/Marine Park/Mill Basin
11235,2138,296,16.97,Brighton Beach/Manhattan Beach/Sheepshead Bay
11236,2873,297,21.79,Canarsie
11237,1049,114,14.1,Bushwick/East Williamsburg
11238,844,103,9.17,Clinton Hill/Prospect Heights
11239,544,88,18.18,East New York
11354,1310,291,13.77,Flushing/Murray Hill
11355,1463,165,14.33,Flushing/Murray Hill/Queensboro Hill
11356,597,42,18.37,College Point
11357,856,102,15.18,Whitestone
11358,609,43,12.24,Auburndale/Murray Hill
11360,331,27,11.53,Bayside (North)
11361,475,56,12.89,Bayside (North)/Bayside (South)
11362,338,35,13.97,Douglaston-Little Neck
11363,101,5,11.79,Douglaston-Little Neck
11364,480,35,11.85,Bayside (South)/Oakland Gardens
11365,884,67,14.9,Auburndale/Fresh Meadows/Pomonok/Utopia
11366,402,27,20.02,Fresh Meadows/Hillcrest
11367,1086,67,17.53,Kew Gardens Hills/Pomonok
11368,4856,441,23.49,Corona/North Corona
11369,1679,177,24.84,Airport/East Elmhurst
11370,1383,64,23.58,Jackson Heights/Rikers Island
11372,2668,254,20.75,Jackson Heights
11373,3367,294,20.04,Elmhurst
11374,1118,99,17.66,Rego Park
11375,1502,181,15.41,Forest Hills
11377,2378,192,16.21,Woodside
11378,775,71,15.44,Maspeth
11379,854,97,16.0,Middle Village
11385,2289,140,17.09,Glendale/Ridgewood
11411,709,50,24.48,Cambria Heights
11412,1287,91,23.26,St. Albans
11413,1362,102,23.44,Laurelton/Rosedale
11414,829,62,22.11,Hamilton Beach/Howard Beach/Lindenwood
11415,549,51,18.2,Kew Gardens
11416,746,55,22.22,Ozone Park
11417,915,46,20.41,Ozone Park
11418,1166,105,21.35,Richmond Hill
11419,1253,95,22.48,Richmond Hill/South Ozone Park
11420,1422,107,22.76,South Ozone Park
11421,1242,102,21.43,Woodhaven
11422,1029,67,22.58,Rosedale
11423,1118,103,23.45,Hollis/Holliswood
11426,509,34,19.95,Bellerose
11427,810,51,21.32,Bellerose/Hollis Hills/Holliswood
11428,692,54,24.14,Queens Village
11429,999,75,22.79,Queens Village
11432,1906,252,20.8,Hillcrest/Jamaica Estates/Jamaica Hills
11433,990,79,21.12,Jamaica
11434,2181,194,22.5,Airport/South Jamaica/Springfield Gardens/St. Albans
11435,1695,148,20.74,Briarwood/Jamaica
11436,556,44,21.54,South Jamaica/South Ozone Park
11691,2516,365,19.57,Edgemere/Far Rockaway
11692,657,92,18.37,Arverne/Edgemere
11693,343,29,19.77,Arverne/Broad Channel
11694,756,87,20.7,Belle Harbor-Neponsit/Rockaway Park
11697,110,4,8.53,Breezy Point
