Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
3/17/20,110,1,25,1,13.428571428571429,0.14285714285714285
3/18/20,196,4,86,3,25.0,0.5714285714285714
3/19/20,306,5,110,1,39.857142857142854,0.7142857142857143
3/20/20,429,5,123,0,55.0,0.7142857142857143
3/21/20,582,6,153,1,74.57142857142857,0.8571428571428571
3/22/20,643,8,61,2,82.85714285714286,1.1428571428571428
3/23/20,758,10,115,2,96.14285714285714,1.4285714285714286
3/24/20,955,15,197,5,120.71428571428571,2.0
3/25/20,1229,19,274,4,147.57142857142858,2.142857142857143
3/26/20,1563,25,334,6,179.57142857142858,2.857142857142857
3/27/20,1937,34,374,9,215.42857142857142,4.142857142857143
3/28/20,2455,39,518,5,267.57142857142856,4.714285714285714
3/29/20,2792,47,337,8,307.0,5.571428571428571
3/30/20,3147,57,355,10,341.2857142857143,6.714285714285714
3/31/20,3809,68,662,11,407.7142857142857,7.571428571428571
4/1/20,4355,85,546,17,446.57142857142856,9.428571428571429
4/2/20,5069,100,714,15,500.85714285714283,10.714285714285714
4/3/20,5734,118,665,18,542.4285714285714,12.0
4/4/20,6567,135,833,17,587.4285714285714,13.714285714285714
4/5/20,7209,163,642,28,631.0,16.571428571428573
4/6/20,8043,182,834,19,699.4285714285714,17.857142857142858
4/7/20,8925,195,882,13,730.8571428571429,18.142857142857142
4/8/20,9777,221,852,26,774.5714285714286,19.428571428571427
4/9/20,11208,247,1431,26,877.0,21.0
4/10/20,12105,272,897,25,910.1428571428571,22.0
4/11/20,13023,304,918,32,922.2857142857143,24.142857142857142
4/12/20,13677,325,654,21,924.0,23.142857142857142
4/13/20,14275,351,598,26,890.2857142857143,24.142857142857142
4/14/20,15006,388,731,37,868.7142857142857,27.571428571428573
4/15/20,15907,422,901,34,875.7142857142857,28.714285714285715
4/16/20,16876,463,969,41,809.7142857142857,30.857142857142858
4/17/20,17849,503,973,40,820.5714285714286,33.0
4/18/20,18704,529,855,26,811.5714285714286,32.142857142857146
4/19/20,19260,546,556,17,797.5714285714286,31.571428571428573
4/20/20,19751,563,491,17,782.2857142857143,30.285714285714285
4/21/20,20664,601,913,38,808.2857142857143,30.428571428571427
4/22/20,21321,626,657,25,773.4285714285714,29.142857142857142
4/23/20,22650,676,1329,50,824.8571428571429,30.428571428571427
4/24/20,23642,699,992,23,827.5714285714286,28.0
4/25/20,24153,720,511,21,778.4285714285714,27.285714285714285
4/26/20,24967,738,814,18,815.2857142857143,27.428571428571427
4/27/20,25412,760,445,22,808.7142857142857,28.142857142857142
4/28/20,26357,800,945,40,813.2857142857143,28.428571428571427
4/29/20,27369,834,1012,34,864.0,29.714285714285715
4/30/20,28727,889,1358,55,868.1428571428571,30.428571428571427
5/1/20,29692,914,965,25,864.2857142857143,30.714285714285715
5/2/20,30917,933,1225,19,966.2857142857143,30.428571428571427
5/3/20,31998,948,1081,15,1004.4285714285714,30.0
5/4/20,32783,972,785,24,1053.0,30.285714285714285
5/5/20,33912,995,1129,23,1079.2857142857142,27.857142857142858
5/6/20,34928,1025,1016,30,1079.857142857143,27.285714285714285
5/7/20,36036,1058,1108,33,1044.142857142857,24.142857142857142
5/8/20,37246,1096,1210,38,1079.142857142857,26.0
5/9/20,38394,1132,1148,36,1068.142857142857,28.428571428571427
5/10/20,39258,1158,864,26,1037.142857142857,30.0
5/11/20,40555,1176,1297,18,1110.2857142857142,29.142857142857142
