date,Total COVID Cases,New COVID cases in one day,deaths,new deaths
2020-09-03,241705,1360,8324,24
2020-09-04,247299,5594,8362,38
2020-09-05,250105,2806,8385,23
2020-09-06,251508,1403,8390,5
2020-09-07,252889,1381,8398,8
2020-09-08,254281,1392,8405,7
2020-09-09,255618,1337,8433,28
2020-09-10,257571,1953,8461,28
2020-09-11,259883,2312,8505,44
2020-09-12,262004,2121,8527,22
2020-09-13,263466,1462,8541,14
2020-09-14,264839,1373,8546,5
2020-09-15,266305,1466,8564,18
