MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,440,26,6.89,Chelsea/NoMad/West Chelsea
10002,1324,161,8.01,Chinatown/Lower East Side
10003,537,35,3.72,East Village/Gramercy/Greenwich Village
10004,40,1,5.11,Financial District
10005,94,2,4.74,Financial District
10006,40,0,5.05,Financial District
10007,72,3,3.77,TriBeCa
10009,835,69,5.61,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,336,19,3.79,Flatiron/Gramercy/Kips Bay
10011,628,44,4.83,Chelsea
10012,217,9,3.6,Greenwich Village/SoHo
10013,327,21,4.14,Hudson Square/Little Italy/SoHo/TriBeCa
10014,375,29,4.32,Hudson Square/Meatpacking District/West Village
10016,833,50,5.9,Kips Bay/Murray Hill/NoMad
10017,166,8,4.3,East Midtown/Murray Hill
10018,217,5,9.74,Hell's Kitchen/Midtown Manhattan
10019,698,42,5.74,Hell's Kitchen/Midtown Manhattan
10021,634,65,5.23,Lenox Hill/Upper East Side
10022,399,32,5.09,East Midtown
10023,655,54,4.53,Lincoln Square
10024,833,75,5.41,Upper West Side
10025,1537,178,5.86,Manhattan Valley/Morningside Heights/Upper West Side
10026,755,47,8.72,Central Harlem (South)
10027,1183,113,8.16,Central Harlem (South)/Morningside Heights/West Harlem
10028,547,34,4.9,Upper East Side/Yorkville
10029,2036,213,10.37,East Harlem
10030,571,57,9.44,Central Harlem (North)
10031,1523,133,10.67,Hamilton Heights/West Harlem
10032,1758,175,11.85,Washington Heights (South)
10033,1528,121,11.27,Washington Heights (North)/Washington Heights (South)
10034,870,72,9.45,Inwood/Washington Heights (North)
10035,1131,136,12.06,East Harlem
10036,516,40,6.56,Hell's Kitchen/Midtown Manhattan
10037,581,64,11.04,Central Harlem (North)/East Harlem
10038,292,28,6.09,Chinatown/Financial District
10039,619,66,10.91,Central Harlem (North)/Washington Heights (South)
10040,1288,119,11.59,Washington Heights (North)
10044,260,36,9.43,Roosevelt Island
10065,362,28,4.4,Lenox Hill/Upper East Side
10069,69,2,4.25,Lincoln Square
10075,447,45,6.46,Lenox Hill/Upper East Side
10128,715,41,4.64,Upper East Side/Yorkville
10280,64,0,3.81,Battery Park City
10282,85,15,8.08,Battery Park City
10301,1315,107,13.82,Silver Lake/St. George
10302,687,32,17.43,Elm Park
10303,946,47,15.59,Graniteville/Mariner's Harbor/Port Ivory
10304,1532,183,14.81,New Dorp/Todt Hill
10305,1373,80,14.88,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
10306,1582,82,12.77,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
10307,418,15,14.18,Tottenville
10308,711,28,12.42,Great Kills
10309,915,32,13.21,Charleston/Prince's Bay/Woodrow
10310,760,33,13.58,Port Richmond/Randall Manor/West Brighton
10312,1670,59,13.25,Annadale/Rossville
10314,2904,201,14.13,Bloomfield/Freshkills Park
10451,1750,152,14.07,Concourse/Melrose
10452,2759,175,14.87,Concourse/Highbridge
10453,2724,165,15.52,Morris Heights/Mount Hope/University Heights
10454,1282,106,14.49,Mott Haven/Port Morris
10455,1469,111,14.7,Mott Haven
10456,2851,291,13.96,Claremont/Morrisania
10457,2488,187,14.29,Belmont/Claremont/Mount Hope/Tremont
10458,2423,126,14.49,Belmont/Fordham University/Kingsbridge
10459,1675,166,14.31,Charlotte Gardens/Hunts Point
10460,1894,128,14.68,Charlotte Gardens/Tremont/Van Nest/West Farms
10461,1979,141,14.95,Morris Park/Pelham Bay/Westchester Square
10462,2517,183,14.13,Parkchester/Pelham Parkway/Van Nest/Westchester Square
10463,2272,216,12.34,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
10464,135,9,12.3,City Island
10465,1596,87,14.67,Country Club/Throgs Neck
10466,2621,170,16.78,Edenwald/Wakefield
10467,3828,325,15.35,Allerton/Norwood/Pelham Parkway/Williamsbridge
10468,3119,223,15.4,Fordham/Kingsbridge/University Heights
10469,3249,365,17.23,Allerton/Baychester/Pelham Gardens/Williamsbridge
10470,493,20,15.53,Wakefield/Woodlawn
10471,860,87,12.27,Fieldston/North Riverdale/Riverdale
10472,2221,189,16.56,Soundview
10473,2165,139,15.11,Castle Hill/Clason Point/Soundview
10474,355,21,14.13,Hunts Point
10475,1863,176,16.21,Co-op City/Edenwald
11004,632,68,12.02,Bellerose/Douglaston-Little Neck
11101,735,39,6.9,Astoria (South)/Long Island City/Sunnyside
11102,719,80,8.93,Astoria (North)
11103,665,54,7.5,Astoria (North)/Astoria (South)
11104,558,42,8.8,Sunnyside
11105,556,43,6.78,Ditmars Steinway
11106,779,55,8.73,Astoria (South)
11109,64,2,4.37,Long Island City
11201,824,95,4.58,Brooklyn Heights/DUMBO/Downtown Brooklyn
11203,2251,243,15.17,East Flatbush (North)/East Flatbush (South)
11204,2253,145,15.34,Bensonhurst/Mapleton
11205,826,50,8.29,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
11206,1816,152,9.34,Williamsburg (South)
11207,2381,216,13.07,Cypress Hills/East New York
11208,2707,250,14.78,Cypress Hills/East New York
11209,1293,116,8.8,Bay Ridge/Fort Hamilton
11210,1884,150,14.6,Flatlands/Midwood
11211,2349,138,8.99,East Williamsburg/Williamsburg (North)/Williamsburg (South)
11212,2120,235,14.16,Ocean Hill-Brownsville
11213,1574,149,11.62,Crown Heights (East)
11214,1759,184,11.16,Bath Beach/Bensonhurst/Gravesend
11215,701,46,4.2,Gowanus/Park Slope/Windsor Terrace
11216,863,76,6.57,Bedford-Stuyvesant (West)/Crown Heights (West)
11217,702,86,6.08,Boerum Hill/Park Slope
11218,1921,138,11.92,Kensington/Windsor Terrace
11219,3309,237,16.41,Borough Park
11220,1971,167,11.2,Sunset Park
11221,1561,147,8.88,Bedford-Stuyvesant (East)/Bushwick
11222,542,34,5.03,Greenpoint
11223,1920,144,13.33,Gravesend/Homecrest
11224,1345,216,13.86,Brighton Beach/Coney Island/Seagate
11225,1282,140,10.0,Crown Heights (West)/Prospect Lefferts Gardens
11226,2571,302,12.34,Flatbush/Prospect Lefferts Gardens
11228,775,82,10.38,Bath Beach/Dyker Heights
11229,1968,151,13.4,Gerritsen Beach/Homecrest/Sheepshead Bay
11230,2610,229,13.14,Midwood
11231,475,34,5.15,Carroll Gardens/Cobble Hill/Red Hook
11232,642,42,10.49,Sunset Park
11233,1435,137,11.18,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
11234,2456,195,13.95,Bergen Beach/Flatlands/Marine Park/Mill Basin
11235,2309,301,14.3,Brighton Beach/Manhattan Beach/Sheepshead Bay
11236,2997,300,16.07,Canarsie
11237,1133,114,9.83,Bushwick/East Williamsburg
11238,901,105,5.86,Clinton Hill/Prospect Heights
11239,572,89,16.42,East New York
11354,1412,299,10.55,Flushing/Murray Hill
11355,1579,169,10.45,Flushing/Murray Hill/Queensboro Hill
11356,641,42,13.59,College Point
11357,916,106,11.29,Whitestone
11358,635,43,8.66,Auburndale/Murray Hill
11360,342,28,8.52,Bayside (North)
11361,499,58,9.01,Bayside (North)/Bayside (South)
11362,355,36,9.95,Douglaston-Little Neck
11363,110,5,8.08,Douglaston-Little Neck
11364,512,35,8.12,Bayside (South)/Oakland Gardens
11365,946,67,10.94,Auburndale/Fresh Meadows/Pomonok/Utopia
11366,421,28,15.29,Fresh Meadows/Hillcrest
11367,1158,67,13.15,Kew Gardens Hills/Pomonok
11368,5082,446,18.38,Corona/North Corona
11369,1730,181,17.53,Airport/East Elmhurst
11370,1438,64,17.25,Jackson Heights/Rikers Island
11372,2811,259,15.88,Jackson Heights
11373,3518,297,15.09,Elmhurst
11374,1182,99,12.93,Rego Park
11375,1603,181,10.93,Forest Hills
11377,2492,195,11.53,Woodside
11378,816,74,10.91,Maspeth
11379,892,99,11.52,Middle Village
11385,2434,142,11.96,Glendale/Ridgewood
11411,727,50,18.58,Cambria Heights
11412,1328,92,17.43,St. Albans
11413,1415,103,17.39,Laurelton/Rosedale
