MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,1282,32,7.13,Chelsea/NoMad/West Chelsea
10002,4982,238,11.52,Chinatown/Lower East Side
10003,2316,45,6.01,East Village/Gramercy/Greenwich Village
10004,225,2,6.65,Financial District
10005,344,0,6.04,Financial District
10006,143,1,6.38,Financial District
10007,326,4,5.54,TriBeCa
10009,3033,108,8.44,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,1465,35,5.7,Flatiron/Gramercy/Kips Bay
10011,2196,60,6.58,Chelsea
10012,1056,14,6.46,Greenwich Village/SoHo
10013,1404,30,6.77,Hudson Square/Little Italy/SoHo/TriBeCa
10014,1343,30,6.18,Hudson Square/Meatpacking District/West Village
10016,2655,61,7.18,Kips Bay/Murray Hill/NoMad
10017,705,17,6.4,East Midtown/Murray Hill
10018,461,8,6.16,Hell's Kitchen/Midtown Manhattan
10019,2096,60,7.08,Hell's Kitchen/Midtown Manhattan
10021,1938,82,6.66,Lenox Hill/Upper East Side
10022,1375,46,6.09,East Midtown
10023,2335,73,6.12,Lincoln Square
10024,2335,92,6.34,Upper West Side
10025,4406,235,7.18,Manhattan Valley/Morningside Heights/Upper West Side
10026,2280,72,10.63,Central Harlem (South)
10027,3347,149,9.18,Central Harlem (South)/Morningside Heights/West Harlem
10028,1845,46,6.53,Upper East Side/Yorkville
10029,5468,284,12.2,East Harlem
10030,1783,76,11.47,Central Harlem (North)
10031,4054,174,12.95,Hamilton Heights/West Harlem
10032,4770,214,13.79,Washington Heights (South)
10033,4291,150,13.78,Washington Heights (North)/Washington Heights (South)
10034,3140,99,14.2,Inwood/Washington Heights (North)
10035,2700,162,12.67,East Harlem
10036,1564,53,7.82,Hell's Kitchen/Midtown Manhattan
10037,1238,83,11.13,Central Harlem (North)/East Harlem
10038,1130,45,8.23,Chinatown/Financial District
10039,1621,82,12.15,Central Harlem (North)/Washington Heights (South)
10040,3739,148,14.72,Washington Heights (North)
10044,501,38,7.98,Roosevelt Island
10065,1245,38,6.04,Lenox Hill/Upper East Side
