MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,741,24,5.1,Chelsea/NoMad/West Chelsea
10002,2790,171,7.92,Chinatown/Lower East Side
10003,1293,34,3.85,East Village/Gramercy/Greenwich Village
10004,122,1,4.57,Financial District
10005,211,0,4.42,Financial District
10006,97,1,5.14,Financial District
10007,178,4,3.64,TriBeCa
10009,1730,75,5.62,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,855,24,3.98,Flatiron/Gramercy/Kips Bay
10011,1328,47,4.61,Chelsea
10012,607,11,4.28,Greenwich Village/SoHo
10013,748,20,4.22,Hudson Square/Little Italy/SoHo/TriBeCa
10014,833,27,4.38,Hudson Square/Meatpacking District/West Village
10016,1649,43,5.21,Kips Bay/Murray Hill/NoMad
10017,437,14,4.83,East Midtown/Murray Hill
10018,275,7,4.98,Hell's Kitchen/Midtown Manhattan
10019,1300,47,5.15,Hell's Kitchen/Midtown Manhattan
10021,1231,70,4.9,Lenox Hill/Upper East Side
10022,861,36,4.8,East Midtown
10023,1345,57,4.15,Lincoln Square
10024,1469,75,4.7,Upper West Side
10025,2625,189,5.01,Manhattan Valley/Morningside Heights/Upper West Side
10026,1317,54,7.32,Central Harlem (South)
10027,1947,117,6.39,Central Harlem (South)/Morningside Heights/West Harlem
10028,1136,35,4.63,Upper East Side/Yorkville
10029,3247,224,8.81,East Harlem
10030,1059,62,8.36,Central Harlem (North)
10031,2561,141,9.9,Hamilton Heights/West Harlem
10032,3065,179,10.61,Washington Heights (South)
10033,2818,126,10.7,Washington Heights (North)/Washington Heights (South)
10034,1790,73,9.67,Inwood/Washington Heights (North)
10035,1720,139,9.7,East Harlem
10036,984,40,5.92,Hell's Kitchen/Midtown Manhattan
10037,760,67,8.73,Central Harlem (North)/East Harlem
10038,640,29,5.7,Chinatown/Financial District
10039,974,70,9.07,Central Harlem (North)/Washington Heights (South)
10040,2298,131,10.79,Washington Heights (North)
10044,356,36,6.67,Roosevelt Island
10065,790,31,4.53,Lenox Hill/Upper East Side
10069,199,3,4.74,Lincoln Square
10075,813,46,5.71,Lenox Hill/Upper East Side
10128,1513,44,4.56,Upper East Side/Yorkville
10280,169,0,4.15,Battery Park City
10282,130,14,4.69,Battery Park City
10301,2559,117,13.02,Silver Lake/St. George
10302,1345,38,15.03,Elm Park
10303,1711,54,13.34,Graniteville/Mariner's Harbor/Port Ivory
10304,2990,199,13.54,New Dorp/Todt Hill
