MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,987,26,6.17,Chelsea/NoMad/West Chelsea
10002,3767,194,9.67,Chinatown/Lower East Side
10003,1743,37,4.84,East Village/Gramercy/Greenwich Village
10004,187,2,6.26,Financial District
10005,265,0,5.08,Financial District
10006,115,1,5.68,Financial District
10007,244,4,4.57,TriBeCa
10009,2282,85,6.89,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,1143,31,4.93,Flatiron/Gramercy/Kips Bay
10011,1709,50,5.53,Chelsea
10012,822,12,5.39,Greenwich Village/SoHo
10013,1038,23,5.46,Hudson Square/Little Italy/SoHo/TriBeCa
10014,1048,27,5.19,Hudson Square/Meatpacking District/West Village
10016,2110,50,6.22,Kips Bay/Murray Hill/NoMad
10017,572,15,5.81,East Midtown/Murray Hill
10018,378,7,5.9,Hell's Kitchen/Midtown Manhattan
10019,1649,51,6.14,Hell's Kitchen/Midtown Manhattan
10021,1551,73,5.75,Lenox Hill/Upper East Side
10022,1129,38,5.63,East Midtown
10023,1772,57,5.09,Lincoln Square
10024,1842,81,5.46,Upper West Side
10025,3417,201,6.05,Manhattan Valley/Morningside Heights/Upper West Side
10026,1738,61,8.88,Central Harlem (South)
10027,2620,129,7.87,Central Harlem (South)/Morningside Heights/West Harlem
10028,1488,38,5.66,Upper East Side/Yorkville
10029,4221,242,10.56,East Harlem
10030,1369,63,9.9,Central Harlem (North)
10031,3200,151,11.42,Hamilton Heights/West Harlem
10032,3894,194,12.38,Washington Heights (South)
10033,3545,133,12.54,Washington Heights (North)/Washington Heights (South)
10034,2444,77,12.17,Inwood/Washington Heights (North)
10035,2111,147,11.01,East Harlem
10036,1279,46,7.11,Hell's Kitchen/Midtown Manhattan
10037,972,76,10.01,Central Harlem (North)/East Harlem
10038,888,33,7.16,Chinatown/Financial District
10039,1250,74,10.48,Central Harlem (North)/Washington Heights (South)
10040,2939,135,12.75,Washington Heights (North)
10044,442,37,7.69,Roosevelt Island
10065,1028,32,5.36,Lenox Hill/Upper East Side
10069,263,3,5.85,Lincoln Square
10075,1039,51,6.79,Lenox Hill/Upper East Side
10128,1972,54,5.57,Upper East Side/Yorkville
10280,219,2,4.89,Battery Park City
10282,158,14,5.29,Battery Park City
10301,3210,125,14.81,Silver Lake/St. George
10302,1694,44,16.99,Elm Park
10303,2182,60,15.34,Graniteville/Mariner's Harbor/Port Ivory
10304,3842,222,15.77,New Dorp/Todt Hill
10305,3887,103,16.96,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
10306,5278,171,16.64,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
10307,1305,20,16.5,Tottenville
10308,2487,46,16.19,Great Kills
10309,3024,46,16.5,Charleston/Prince's Bay/Woodrow
10310,2032,45,14.86,Port Richmond/Randall Manor/West Brighton
10312,5251,88,15.99,Annadale/Rossville
10314,7972,277,16.37,Bloomfield/Freshkills Park
10451,3387,160,13.24,Concourse/Melrose
10452,5763,195,15.04,Concourse/Highbridge
10453,5833,187,15.34,Morris Heights/Mount Hope/University Heights
10454,2680,127,13.45,Mott Haven/Port Morris
10455,2942,123,13.9,Mott Haven
10456,5608,307,13.13,Claremont/Morrisania
10457,5026,203,14.07,Belmont/Claremont/Mount Hope/Tremont
10458,5343,148,14.51,Belmont/Fordham University/Kingsbridge
10459,3509,178,13.7,Charlotte Gardens/Hunts Point
10460,4007,146,14.42,Charlotte Gardens/Tremont/Van Nest/West Farms
10461,4058,152,14.81,Morris Park/Pelham Bay/Westchester Square
10462,5265,204,13.92,Parkchester/Pelham Parkway/Van Nest/Westchester Square
10463,4633,248,12.54,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
10464,291,12,11.73,City Island
10465,3443,108,14.7,Country Club/Throgs Neck
10466,4748,186,14.16,Edenwald/Wakefield
10467,7476,362,14.4,Allerton/Norwood/Pelham Parkway/Williamsbridge
10468,6156,243,15.88,Fordham/Kingsbridge/University Heights
10469,5257,396,14.68,Allerton/Baychester/Pelham Gardens/Williamsbridge
10470,1180,29,15.27,Wakefield/Woodlawn
10471,1556,101,11.22,Fieldston/North Riverdale/Riverdale
10472,4619,224,14.76,Soundview
10473,4548,174,14.62,Castle Hill/Clason Point/Soundview
10474,752,23,13.88,Hunts Point
10475,2851,196,12.92,Co-op City/Edenwald
11004,1123,74,11.63,Bellerose/Douglaston-Little Neck
11101,1888,47,7.94,Astoria (South)/Long Island City/Sunnyside
11102,1825,103,10.22,Astoria (North)
11103,1816,72,9.32,Astoria (North)/Astoria (South)
11104,1293,49,9.41,Sunnyside
11105,1740,59,9.82,Ditmars Steinway
11106,1989,68,9.91,Astoria (South)
11109,236,2,6.16,Long Island City
11201,1919,101,4.91,Brooklyn Heights/DUMBO/Downtown Brooklyn
11203,4114,259,12.57,East Flatbush (North)/East Flatbush (South)
11204,5344,177,15.58,Bensonhurst/Mapleton
11205,1882,60,8.06,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
11206,4421,179,10.25,Williamsburg (South)
11207,5482,255,12.85,Cypress Hills/East New York
11208,6590,289,15.31,Cypress Hills/East New York
11209,3724,138,10.72,Bay Ridge/Fort Hamilton
11210,4079,176,14.1,Flatlands/Midwood
11211,5368,156,9.29,East Williamsburg/Williamsburg (North)/Williamsburg (South)
11212,4552,263,12.68,Ocean Hill-Brownsville
11213,3403,160,11.28,Crown Heights (East)
11214,5425,268,13.85,Bath Beach/Bensonhurst/Gravesend
11215,1942,56,5.05,Gowanus/Park Slope/Windsor Terrace
11216,2044,88,7.28,Bedford-Stuyvesant (West)/Crown Heights (West)
11217,1500,91,6.07,Boerum Hill/Park Slope
11218,4383,176,11.77,Kensington/Windsor Terrace
11219,6351,214,14.77,Borough Park
11220,5898,207,13.99,Sunset Park
11221,3859,174,9.58,Bedford-Stuyvesant (East)/Bushwick
11222,1456,40,6.37,Greenpoint
11223,6435,178,16.63,Gravesend/Homecrest
11224,3408,270,15.52,Brighton Beach/Coney Island/Seagate
11225,2617,152,9.41,Crown Heights (West)/Prospect Lefferts Gardens
11226,5002,325,11.12,Flatbush/Prospect Lefferts Gardens
11228,2627,109,13.56,Bath Beach/Dyker Heights
11229,5764,194,14.83,Gerritsen Beach/Homecrest/Sheepshead Bay
11230,7872,301,16.15,Midwood
11231,1228,43,5.86,Carroll Gardens/Cobble Hill/Red Hook
11232,1771,47,12.05,Sunset Park
11233,3165,163,10.12,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
11234,5397,218,13.32,Bergen Beach/Flatlands/Marine Park/Mill Basin
11235,6524,372,16.66,Brighton Beach/Manhattan Beach/Sheepshead Bay
11236,5267,333,12.86,Canarsie
11237,2580,115,10.66,Bushwick/East Williamsburg
11238,1997,115,6.18,Clinton Hill/Prospect Heights
11239,1102,104,14.77,East New York
11354,2909,344,11.26,Flushing/Murray Hill
11355,4452,210,12.9,Flushing/Murray Hill/Queensboro Hill
11356,1520,50,13.26,College Point
11357,2287,113,11.79,Whitestone
11358,1698,55,9.9,Auburndale/Murray Hill
11360,892,39,9.7,Bayside (North)
11361,1247,65,9.91,Bayside (North)/Bayside (South)
11362,798,45,10.01,Douglaston-Little Neck
11363,283,7,8.72,Douglaston-Little Neck
11364,1435,43,9.62,Bayside (South)/Oakland Gardens
11365,2186,89,11.15,Auburndale/Fresh Meadows/Pomonok/Utopia
11366,911,28,14.15,Fresh Meadows/Hillcrest
11367,2616,75,13.06,Kew Gardens Hills/Pomonok
11368,8553,464,15.2,Corona/North Corona
11369,3276,196,15.62,Airport/East Elmhurst
11370,2494,72,15.49,Jackson Heights/Rikers Island
11372,4948,293,13.78,Jackson Heights
11373,6946,305,14.23,Elmhurst
11374,2923,113,13.53,Rego Park
11375,3810,222,10.86,Forest Hills
11377,6175,238,13.3,Woodside
11378,2161,76,12.55,Maspeth
11379,2284,130,12.55,Middle Village
11385,6337,156,13.49,Glendale/Ridgewood
11411,1180,50,13.82,Cambria Heights
11412,2426,97,13.91,St. Albans
11413,2430,114,13.38,Laurelton/Rosedale
11414,2050,81,15.72,Hamilton Beach/Howard Beach/Lindenwood
11415,1293,64,12.67,Kew Gardens
11416,1992,76,16.62,Ozone Park
11417,2451,60,16.57,Ozone Park
11418,2764,99,15.48,Richmond Hill
11419,3883,127,18.25,Richmond Hill/South Ozone Park
11420,3673,114,17.26,South Ozone Park
11421,3183,116,17.05,Woodhaven
11422,2010,77,14.2,Rosedale
11423,2336,119,15.53,Hollis/Holliswood
11426,1290,42,15.25,Bellerose
11427,1618,47,14.89,Bellerose/Hollis Hills/Holliswood
11428,1383,64,15.3,Queens Village
11429,1940,84,14.46,Queens Village
11432,4269,271,15.08,Hillcrest/Jamaica Estates/Jamaica Hills
11433,2161,109,13.9,Jamaica
11434,4064,216,13.69,Airport/South Jamaica/Springfield Gardens/St. Albans
11435,3910,169,15.51,Briarwood/Jamaica
11436,1285,51,14.89,South Jamaica/South Ozone Park
11691,5400,395,15.84,Edgemere/Far Rockaway
11692,1313,96,13.34,Arverne/Edgemere
11693,789,31,13.66,Arverne/Broad Channel
11694,1680,91,14.58,Belle Harbor-Neponsit/Rockaway Park
11697,430,7,13.38,Breezy Point
