MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,675,24,4.83,Chelsea/NoMad/West Chelsea
10002,2376,165,7.11,Chinatown/Lower East Side
10003,1159,34,3.55,East Village/Gramercy/Greenwich Village
10004,103,1,4.17,Financial District
10005,185,0,4.02,Financial District
10006,83,1,4.68,Financial District
10007,160,4,3.42,TriBeCa
10009,1540,67,5.16,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,757,24,3.68,Flatiron/Gramercy/Kips Bay
10011,1201,47,4.31,Chelsea
10012,552,10,4.04,Greenwich Village/SoHo
10013,641,19,3.76,Hudson Square/Little Italy/SoHo/TriBeCa
10014,763,27,4.14,Hudson Square/Meatpacking District/West Village
10016,1474,43,4.86,Kips Bay/Murray Hill/NoMad
10017,373,11,4.36,East Midtown/Murray Hill
10018,239,7,4.65,Hell's Kitchen/Midtown Manhattan
10019,1175,47,4.85,Hell's Kitchen/Midtown Manhattan
10021,1099,67,4.57,Lenox Hill/Upper East Side
10022,757,34,4.46,East Midtown
10023,1195,57,3.84,Lincoln Square
10024,1298,75,4.31,Upper West Side
10025,2367,186,4.69,Manhattan Valley/Morningside Heights/Upper West Side
10026,1175,54,6.79,Central Harlem (South)
10027,1772,117,6.03,Central Harlem (South)/Morningside Heights/West Harlem
10028,998,34,4.26,Upper East Side/Yorkville
10029,2931,217,8.29,East Harlem
10030,943,61,7.84,Central Harlem (North)
10031,2289,136,9.23,Hamilton Heights/West Harlem
10032,2733,174,9.86,Washington Heights (South)
10033,2500,123,9.9,Washington Heights (North)/Washington Heights (South)
10034,1538,73,8.77,Inwood/Washington Heights (North)
10035,1566,135,9.16,East Harlem
10036,895,40,5.58,Hell's Kitchen/Midtown Manhattan
10037,672,63,8.13,Central Harlem (North)/East Harlem
10038,568,26,5.25,Chinatown/Financial District
10039,867,69,8.41,Central Harlem (North)/Washington Heights (South)
10040,2063,128,10.09,Washington Heights (North)
10044,333,36,6.45,Roosevelt Island
10065,709,30,4.23,Lenox Hill/Upper East Side
10069,168,3,4.26,Lincoln Square
10075,719,46,5.29,Lenox Hill/Upper East Side
10128,1314,42,4.12,Upper East Side/Yorkville
10280,130,0,3.38,Battery Park City
10282,124,14,4.6,Battery Park City
