MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,874,24,5.7,Chelsea/NoMad/West Chelsea
10002,3304,181,8.87,Chinatown/Lower East Side
10003,1516,36,4.36,East Village/Gramercy/Greenwich Village
10004,166,1,5.75,Financial District
10005,239,0,4.8,Financial District
10006,104,1,5.31,Financial District
10007,208,4,4.05,TriBeCa
10009,2004,79,6.26,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,1010,27,4.48,Flatiron/Gramercy/Kips Bay
10011,1536,47,5.11,Chelsea
10012,708,11,4.8,Greenwich Village/SoHo
10013,890,22,4.84,Hudson Square/Little Italy/SoHo/TriBeCa
10014,951,27,4.79,Hudson Square/Meatpacking District/West Village
10016,1921,44,5.82,Kips Bay/Murray Hill/NoMad
10017,507,14,5.34,East Midtown/Murray Hill
10018,325,7,5.47,Hell's Kitchen/Midtown Manhattan
10019,1461,50,5.57,Hell's Kitchen/Midtown Manhattan
10021,1403,72,5.36,Lenox Hill/Upper East Side
10022,1005,38,5.29,East Midtown
10023,1588,58,4.68,Lincoln Square
10024,1663,76,5.09,Upper West Side
10025,2977,195,5.44,Manhattan Valley/Morningside Heights/Upper West Side
10026,1520,56,8.06,Central Harlem (South)
10027,2290,121,7.13,Central Harlem (South)/Morningside Heights/West Harlem
10028,1312,36,5.1,Upper East Side/Yorkville
10029,3724,230,9.65,East Harlem
10030,1212,63,9.14,Central Harlem (North)
10031,2868,143,10.68,Hamilton Heights/West Harlem
10032,3477,184,11.54,Washington Heights (South)
10033,3203,126,11.73,Washington Heights (North)/Washington Heights (South)
10034,2146,75,11.11,Inwood/Washington Heights (North)
10035,1893,141,10.25,East Harlem
10036,1131,43,6.48,Hell's Kitchen/Midtown Manhattan
10037,879,72,9.49,Central Harlem (North)/East Harlem
10038,756,31,6.44,Chinatown/Financial District
10039,1103,70,9.75,Central Harlem (North)/Washington Heights (South)
10040,2619,132,11.81,Washington Heights (North)
10044,415,37,7.41,Roosevelt Island
10065,924,31,5.03,Lenox Hill/Upper East Side
10069,235,3,5.37,Lincoln Square
10075,939,49,6.34,Lenox Hill/Upper East Side
10128,1753,47,5.07,Upper East Side/Yorkville
10280,195,1,4.56,Battery Park City
10282,146,14,5.02,Battery Park City
10301,2926,120,14.05,Silver Lake/St. George
10302,1544,40,16.16,Elm Park
10303,2002,56,14.69,Graniteville/Mariner's Harbor/Port Ivory
10304,3473,214,14.87,New Dorp/Todt Hill
10305,3472,98,15.74,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
10306,4792,159,15.74,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
10307,1198,19,15.7,Tottenville
10308,2256,42,15.24,Great Kills
10309,2734,42,15.47,Charleston/Prince's Bay/Woodrow
10310,1865,44,14.18,Port Richmond/Randall Manor/West Brighton
10312,4824,79,15.24,Annadale/Rossville
10314,7285,263,15.56,Bloomfield/Freshkills Park
10451,3044,152,12.46,Concourse/Melrose
10452,5176,186,14.19,Concourse/Highbridge
10453,5189,181,14.28,Morris Heights/Mount Hope/University Heights
10454,2378,122,12.52,Mott Haven/Port Morris
10455,2616,118,13.01,Mott Haven
10456,4973,298,12.17,Claremont/Morrisania
10457,4434,198,13.05,Belmont/Claremont/Mount Hope/Tremont
10458,4648,139,13.26,Belmont/Fordham University/Kingsbridge
10459,3094,174,12.65,Charlotte Gardens/Hunts Point
10460,3540,144,13.35,Charlotte Gardens/Tremont/Van Nest/West Farms
10461,3642,149,13.8,Morris Park/Pelham Bay/Westchester Square
10462,4698,200,13.01,Parkchester/Pelham Parkway/Van Nest/Westchester Square
10463,4125,244,11.58,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
10464,269,11,11.26,City Island
10465,3102,101,13.78,Country Club/Throgs Neck
10466,4196,181,13.15,Edenwald/Wakefield
10467,6578,349,13.28,Allerton/Norwood/Pelham Parkway/Williamsbridge
10468,5454,237,14.75,Fordham/Kingsbridge/University Heights
10469,4783,384,13.92,Allerton/Baychester/Pelham Gardens/Williamsbridge
10470,1056,26,14.37,Wakefield/Woodlawn
10471,1405,96,10.63,Fieldston/North Riverdale/Riverdale
10472,4122,216,13.8,Soundview
10473,4033,166,13.57,Castle Hill/Clason Point/Soundview
10474,668,22,12.82,Hunts Point
10475,2614,191,12.31,Co-op City/Edenwald
11004,1010,70,10.77,Bellerose/Douglaston-Little Neck
11101,1701,45,7.37,Astoria (South)/Long Island City/Sunnyside
11102,1640,99,9.52,Astoria (North)
11103,1640,69,8.68,Astoria (North)/Astoria (South)
11104,1158,49,8.72,Sunnyside
11105,1560,54,9.04,Ditmars Steinway
11106,1767,67,9.19,Astoria (South)
11109,199,2,5.34,Long Island City
11201,1675,99,4.42,Brooklyn Heights/DUMBO/Downtown Brooklyn
11203,3715,255,11.92,East Flatbush (North)/East Flatbush (South)
11204,4848,166,14.78,Bensonhurst/Mapleton
11205,1655,60,7.41,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
11206,3931,171,9.46,Williamsburg (South)
11207,4738,243,11.76,Cypress Hills/East New York
11208,5746,275,14.26,Cypress Hills/East New York
11209,3302,133,9.83,Bay Ridge/Fort Hamilton
11210,3794,170,13.55,Flatlands/Midwood
11211,4825,153,8.59,East Williamsburg/Williamsburg (North)/Williamsburg (South)
11212,3954,254,11.74,Ocean Hill-Brownsville
11213,3038,156,10.53,Crown Heights (East)
11214,4737,253,12.69,Bath Beach/Bensonhurst/Gravesend
11215,1751,53,4.65,Gowanus/Park Slope/Windsor Terrace
11216,1783,85,6.63,Bedford-Stuyvesant (West)/Crown Heights (West)
11217,1347,90,5.6,Boerum Hill/Park Slope
11218,3930,166,10.96,Kensington/Windsor Terrace
11219,5879,208,14.31,Borough Park
11220,5192,191,12.9,Sunset Park
11221,3372,163,8.79,Bedford-Stuyvesant (East)/Bushwick
11222,1248,36,5.64,Greenpoint
11223,5765,163,15.65,Gravesend/Homecrest
11224,2917,249,14.02,Brighton Beach/Coney Island/Seagate
11225,2328,150,8.7,Crown Heights (West)/Prospect Lefferts Gardens
11226,4467,314,10.34,Flatbush/Prospect Lefferts Gardens
11228,2351,100,12.72,Bath Beach/Dyker Heights
11229,5076,177,13.71,Gerritsen Beach/Homecrest/Sheepshead Bay
11230,7098,287,15.13,Midwood
11231,1099,40,5.37,Carroll Gardens/Cobble Hill/Red Hook
11232,1579,45,11.12,Sunset Park
11233,2775,162,9.36,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
11234,4895,205,12.57,Bergen Beach/Flatlands/Marine Park/Mill Basin
11235,5584,338,14.95,Brighton Beach/Manhattan Beach/Sheepshead Bay
11236,4833,320,12.36,Canarsie
11237,2266,110,9.8,Bushwick/East Williamsburg
11238,1759,111,5.61,Clinton Hill/Prospect Heights
11239,999,102,14.01,East New York
11354,2572,330,10.48,Flushing/Murray Hill
11355,3685,193,11.47,Flushing/Murray Hill/Queensboro Hill
11356,1335,47,12.32,College Point
11357,2009,106,10.83,Whitestone
11358,1484,54,9.05,Auburndale/Murray Hill
11360,782,36,8.88,Bayside (North)
11361,1102,62,9.14,Bayside (North)/Bayside (South)
11362,703,40,9.18,Douglaston-Little Neck
11363,254,7,8.09,Douglaston-Little Neck
11364,1251,42,8.79,Bayside (South)/Oakland Gardens
11365,1964,81,10.54,Auburndale/Fresh Meadows/Pomonok/Utopia
11366,837,28,13.62,Fresh Meadows/Hillcrest
11367,2381,74,12.43,Kew Gardens Hills/Pomonok
11368,7899,456,14.69,Corona/North Corona
11369,2965,192,14.73,Airport/East Elmhurst
11370,2311,69,14.82,Jackson Heights/Rikers Island
11372,4452,284,12.83,Jackson Heights
11373,6289,293,13.47,Elmhurst
11374,2618,107,12.7,Rego Park
11375,3427,210,10.19,Forest Hills
11377,5463,228,12.29,Woodside
11378,1922,75,11.66,Maspeth
11379,2038,124,11.71,Middle Village
11385,5536,149,12.34,Glendale/Ridgewood
11411,1102,50,13.56,Cambria Heights
11412,2164,93,13.08,St. Albans
11413,2236,109,12.96,Laurelton/Rosedale
11414,1813,78,14.35,Hamilton Beach/Howard Beach/Lindenwood
11415,1171,63,11.82,Kew Gardens
11416,1748,71,15.41,Ozone Park
11417,2140,56,15.15,Ozone Park
11418,2456,97,14.48,Richmond Hill
11419,3308,119,16.78,Richmond Hill/South Ozone Park
11420,3174,107,15.98,South Ozone Park
11421,2784,112,15.82,Woodhaven
11422,1805,72,13.45,Rosedale
11423,2099,118,14.7,Hollis/Holliswood
11426,1168,40,14.45,Bellerose
11427,1465,45,14.24,Bellerose/Hollis Hills/Holliswood
11428,1243,62,14.58,Queens Village
11429,1733,80,13.63,Queens Village
11432,3811,255,14.08,Hillcrest/Jamaica Estates/Jamaica Hills
11433,1926,102,13.13,Jamaica
11434,3689,210,13.02,Airport/South Jamaica/Springfield Gardens/St. Albans
11435,3463,165,14.41,Briarwood/Jamaica
11436,1132,51,13.93,South Jamaica/South Ozone Park
11691,4969,391,15.26,Edgemere/Far Rockaway
11692,1177,95,12.51,Arverne/Edgemere
11693,692,31,12.56,Arverne/Broad Channel
11694,1531,89,13.81,Belle Harbor-Neponsit/Rockaway Park
11697,402,7,12.86,Breezy Point
