MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,457,26,5.69,Chelsea/NoMad/West Chelsea
10002,1359,161,6.71,Chinatown/Lower East Side
10003,582,35,3.13,East Village/Gramercy/Greenwich Village
10004,43,1,4.38,Financial District
10005,107,2,4.31,Financial District
10006,46,0,4.62,Financial District
10007,74,3,2.96,TriBeCa
10009,875,70,4.75,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,360,19,3.3,Flatiron/Gramercy/Kips Bay
10011,653,44,4.02,Chelsea
10012,236,9,3.02,Greenwich Village/SoHo
10013,340,21,3.3,Hudson Square/Little Italy/SoHo/TriBeCa
10014,396,29,3.71,Hudson Square/Meatpacking District/West Village
10016,871,49,5.04,Kips Bay/Murray Hill/NoMad
10017,171,8,3.59,East Midtown/Murray Hill
10018,209,6,7.52,Hell's Kitchen/Midtown Manhattan
10019,730,42,4.92,Hell's Kitchen/Midtown Manhattan
10021,670,65,4.57,Lenox Hill/Upper East Side
10022,416,32,4.31,East Midtown
10023,677,53,3.78,Lincoln Square
10024,869,75,4.52,Upper West Side
10025,1600,179,4.73,Manhattan Valley/Morningside Heights/Upper West Side
10026,788,48,7.36,Central Harlem (South)
10027,1230,113,6.4,Central Harlem (South)/Morningside Heights/West Harlem
10028,567,34,4.17,Upper East Side/Yorkville
10029,2088,212,9.1,East Harlem
10030,588,57,8.05,Central Harlem (North)
10031,1575,133,9.49,Hamilton Heights/West Harlem
10032,1807,176,10.22,Washington Heights (South)
10033,1573,122,9.78,Washington Heights (North)/Washington Heights (South)
10034,899,72,8.27,Inwood/Washington Heights (North)
10035,1147,138,10.22,East Harlem
10036,537,40,5.61,Hell's Kitchen/Midtown Manhattan
10037,600,65,9.84,Central Harlem (North)/East Harlem
10038,318,28,5.01,Chinatown/Financial District
10039,625,66,9.4,Central Harlem (North)/Washington Heights (South)
10040,1332,120,10.15,Washington Heights (North)
10044,263,36,7.98,Roosevelt Island
