specimen_collection_date,case_count,7 day average
2020-03-03T00:00:00.000,2,0.0
2020-03-05T00:00:00.000,7,0.0
2020-03-07T00:00:00.000,5,0.0
2020-03-08T00:00:00.000,1,0.0
2020-03-10T00:00:00.000,6,0.0
2020-03-11T00:00:00.000,9,0.0
2020-03-12T00:00:00.000,6,5.142857142857143
2020-03-13T00:00:00.000,15,7.0
2020-03-14T00:00:00.000,10,7.428571428571429
2020-03-15T00:00:00.000,11,8.285714285714286
2020-03-16T00:00:00.000,41,14.0
2020-03-17T00:00:00.000,27,17.0
2020-03-18T00:00:00.000,21,18.714285714285715
2020-03-19T00:00:00.000,19,20.571428571428573
2020-03-20T00:00:00.000,36,23.571428571428573
2020-03-21T00:00:00.000,17,24.571428571428573
2020-03-22T00:00:00.000,24,26.428571428571427
2020-03-23T00:00:00.000,33,25.285714285714285
2020-03-24T00:00:00.000,42,27.428571428571427
2020-03-25T00:00:00.000,42,30.428571428571427
2020-03-26T00:00:00.000,44,34.0
2020-03-27T00:00:00.000,34,33.714285714285715
2020-03-28T00:00:00.000,17,33.714285714285715
2020-03-29T00:00:00.000,13,32.142857142857146
2020-03-30T00:00:00.000,43,33.57142857142857
2020-03-31T00:00:00.000,56,35.57142857142857
2020-04-01T00:00:00.000,42,35.57142857142857
2020-04-02T00:00:00.000,34,34.142857142857146
2020-04-03T00:00:00.000,27,33.142857142857146
2020-04-04T00:00:00.000,15,32.857142857142854
2020-04-05T00:00:00.000,36,36.142857142857146
2020-04-06T00:00:00.000,53,37.57142857142857
2020-04-07T00:00:00.000,59,38.0
2020-04-08T00:00:00.000,67,41.57142857142857
2020-04-09T00:00:00.000,77,47.714285714285715
2020-04-10T00:00:00.000,29,48.0
2020-04-11T00:00:00.000,24,49.285714285714285
2020-04-12T00:00:00.000,19,46.857142857142854
2020-04-13T00:00:00.000,33,44.0
2020-04-14T00:00:00.000,48,42.42857142857143
2020-04-15T00:00:00.000,53,40.42857142857143
2020-04-16T00:00:00.000,33,34.142857142857146
2020-04-17T00:00:00.000,44,36.285714285714285
2020-04-18T00:00:00.000,15,35.0
2020-04-19T00:00:00.000,33,37.0
2020-04-20T00:00:00.000,38,37.714285714285715
2020-04-21T00:00:00.000,30,35.142857142857146
2020-04-22T00:00:00.000,33,32.285714285714285
2020-04-23T00:00:00.000,47,34.285714285714285
2020-04-24T00:00:00.000,36,33.142857142857146
2020-04-25T00:00:00.000,53,38.57142857142857
2020-04-26T00:00:00.000,31,38.285714285714285
2020-04-27T00:00:00.000,36,38.0
2020-04-28T00:00:00.000,73,44.142857142857146
2020-04-29T00:00:00.000,52,46.857142857142854
2020-04-30T00:00:00.000,39,45.714285714285715
2020-05-01T00:00:00.000,35,45.57142857142857
2020-05-02T00:00:00.000,45,44.42857142857143
2020-05-03T00:00:00.000,13,41.857142857142854
2020-05-04T00:00:00.000,45,43.142857142857146
2020-05-05T00:00:00.000,43,38.857142857142854
2020-05-06T00:00:00.000,43,37.57142857142857
2020-05-07T00:00:00.000,29,36.142857142857146
2020-05-08T00:00:00.000,32,35.714285714285715
2020-05-09T00:00:00.000,10,30.714285714285715
2020-05-10T00:00:00.000,5,29.571428571428573
2020-05-11T00:00:00.000,30,27.428571428571427
2020-05-12T00:00:00.000,53,28.857142857142858
2020-05-13T00:00:00.000,32,27.285714285714285
2020-05-14T00:00:00.000,34,28.0
2020-05-15T00:00:00.000,36,28.571428571428573
2020-05-16T00:00:00.000,8,28.285714285714285
2020-05-17T00:00:00.000,11,29.142857142857142
2020-05-18T00:00:00.000,44,31.142857142857142
2020-05-19T00:00:00.000,31,28.0
2020-05-20T00:00:00.000,42,29.428571428571427
2020-05-21T00:00:00.000,24,28.0
2020-05-22T00:00:00.000,33,27.571428571428573
2020-05-23T00:00:00.000,17,28.857142857142858
2020-05-24T00:00:00.000,10,28.714285714285715
2020-05-25T00:00:00.000,9,23.714285714285715
2020-05-26T00:00:00.000,48,26.142857142857142
2020-05-27T00:00:00.000,34,25.0
2020-05-28T00:00:00.000,24,25.0
2020-05-29T00:00:00.000,31,24.714285714285715
2020-05-30T00:00:00.000,22,25.428571428571427
2020-05-31T00:00:00.000,26,27.714285714285715
2020-06-01T00:00:00.000,38,31.857142857142858
2020-06-02T00:00:00.000,45,31.428571428571427
2020-06-03T00:00:00.000,27,30.428571428571427
2020-06-04T00:00:00.000,38,32.42857142857143
2020-06-05T00:00:00.000,29,32.142857142857146
2020-06-06T00:00:00.000,16,31.285714285714285
2020-06-07T00:00:00.000,17,30.0
2020-06-08T00:00:00.000,36,29.714285714285715
2020-06-09T00:00:00.000,33,28.0
2020-06-10T00:00:00.000,16,26.428571428571427
2020-06-11T00:00:00.000,22,24.142857142857142
2020-06-12T00:00:00.000,27,23.857142857142858
2020-06-13T00:00:00.000,21,24.571428571428573
2020-06-14T00:00:00.000,15,24.285714285714285
2020-06-15T00:00:00.000,35,24.142857142857142
2020-06-16T00:00:00.000,48,26.285714285714285
2020-06-17T00:00:00.000,51,31.285714285714285
2020-06-18T00:00:00.000,44,34.42857142857143
2020-06-19T00:00:00.000,44,36.857142857142854
2020-06-20T00:00:00.000,41,39.714285714285715
2020-06-21T00:00:00.000,32,42.142857142857146
2020-06-22T00:00:00.000,104,52.0
2020-06-23T00:00:00.000,77,56.142857142857146
2020-06-24T00:00:00.000,58,57.142857142857146
2020-06-25T00:00:00.000,64,60.0
2020-06-26T00:00:00.000,69,63.57142857142857
2020-06-27T00:00:00.000,50,64.85714285714286
2020-06-28T00:00:00.000,34,65.14285714285714
2020-06-29T00:00:00.000,72,60.57142857142857
2020-06-30T00:00:00.000,95,63.142857142857146
2020-07-01T00:00:00.000,77,65.85714285714286
2020-07-02T00:00:00.000,101,71.14285714285714
2020-07-03T00:00:00.000,84,73.28571428571429
2020-07-04T00:00:00.000,26,69.85714285714286
2020-07-05T00:00:00.000,47,71.71428571428571
2020-07-06T00:00:00.000,83,73.28571428571429
2020-07-07T00:00:00.000,92,72.85714285714286
2020-07-08T00:00:00.000,111,77.71428571428571
2020-07-09T00:00:00.000,99,77.42857142857143
2020-07-10T00:00:00.000,109,81.0
2020-07-11T00:00:00.000,59,85.71428571428571
2020-07-12T00:00:00.000,48,85.85714285714286
2020-07-13T00:00:00.000,117,90.71428571428571
2020-07-14T00:00:00.000,106,92.71428571428571
2020-07-15T00:00:00.000,72,87.14285714285714
2020-07-16T00:00:00.000,36,78.14285714285714
