date,Overall positivity rate,Positivity rate by day,fatality rate,fatality rate by day
2020-03-04,0.025806451612903226,0.0,0.0,0.0
2020-03-05,0.025380710659898477,0.023809523809523808,0.0,0.0
2020-03-06,0.022727272727272728,0.0,0.0,0.0
2020-03-07,0.024896265560165973,0.08333333333333333,0.0,0.0
2020-03-08,0.024896265560165973,0.0,0.0,0.0
2020-03-09,0.028925619834710745,1.0,0.0,0.0
2020-03-10,0.05828220858895705,0.18461538461538463,0.0,0.0
2020-03-11,0.05828220858895705,0.0,0.0,0.0
2020-03-12,0.0681198910081744,0.21428571428571427,0.0,0.0
2020-03-13,0.07655502392344497,0.2,0.0,0.0
2020-03-14,0.1036036036036036,0.3888888888888889,0.0,0.0
2020-03-15,0.0903954802259887,0.11920529801324503,0.0,0.0
2020-03-16,0.09073170731707317,0.056640625,0.0,0.0
2020-03-17,0.10607071380920614,0.13924050632911392,0.006289308176100629,0.015151515151515152
2020-03-18,0.14041930765480254,0.23369565217391305,0.003472222222222222,0.0
2020-03-19,0.13409596441054972,0.12226277372262774,0.009478672985781991,0.022388059701492536
2020-03-20,0.13665031534688157,0.1437389770723104,0.008547008547008548,0.006134969325153374
2020-03-21,0.12065374138759814,0.08571428571428572,0.00796812749003984,0.005952380952380952
2020-03-22,0.12608173076923077,0.14237614237614238,0.008579599618684462,0.010135135135135136
2020-03-23,0.1291599025974026,0.14583333333333334,0.009426551453260016,0.013392857142857142
2020-03-24,0.13383904438050398,0.1624302541847489,0.010423452768729642,0.015267175572519083
2020-03-25,0.13125483848265185,0.12043795620437957,0.010187667560321715,0.00909090909090909
2020-03-26,0.15260657807708497,0.277869529314616,0.01024428684003152,0.010401188707280832
2020-03-27,0.14046977996472007,0.0993687639991855,0.011235955056179775,0.01639344262295082
2020-03-28,0.13695029618296653,0.1177513294504938,0.013463191062732742,0.02795698924731183
2020-03-29,0.16555003241841365,0.4865697930427125,0.014142732811140122,0.016289592760180997
2020-03-30,0.16609735269000853,0.1717585692995529,0.014435436029266363,0.01735357917570499
2020-03-31,0.17016323633782826,0.19606612261979495,0.016516516516516516,0.02774813233724653
2020-04-01,0.1728407290015848,0.1911223105252956,0.020200573065902578,0.04259634888438134
2020-04-02,0.17626443100604727,0.21852078239608802,0.020402858999350227,0.022377622377622378
2020-04-03,0.1853146853146853,0.27527322404371585,0.02358490566037736,0.043837882547559964
2020-04-04,0.19329613109124502,0.2626061810952467,0.023462392584725305,0.022711631108052306
2020-04-05,0.19083464727124766,0.16641984450203628,0.02434257285003554,0.034482758620689655
2020-04-06,0.1948142734581043,0.2541045718615812,0.025036698744087423,0.032803180914512925
2020-04-07,0.1971279753244486,0.22227979274611398,0.028046350284153813,0.05672105672105672
