Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
3/18/20,28,0,5,0,3.5714285714285716,0.0
3/19/20,35,0,7,0,4.285714285714286,0.0
3/20/20,42,0,7,0,4.571428571428571,0.0
3/21/20,55,0,13,0,6.0,0.0
3/22/20,57,0,2,0,6.285714285714286,0.0
3/23/20,83,0,26,0,8.857142857142858,0.0
3/24/20,100,0,17,0,11.0,0.0
3/25/20,113,1,13,1,12.142857142857142,0.14285714285714285
3/26/20,113,1,0,0,11.142857142857142,0.14285714285714285
3/27/20,136,1,23,0,13.428571428571429,0.14285714285714285
3/28/20,208,1,72,0,21.857142857142858,0.14285714285714285
3/29/20,237,2,29,1,25.714285714285715,0.2857142857142857
3/30/20,237,2,0,0,22.0,0.2857142857142857
3/31/20,315,4,78,2,30.714285714285715,0.5714285714285714
4/1/20,327,5,12,1,30.571428571428573,0.5714285714285714
4/2/20,373,6,46,1,37.142857142857146,0.7142857142857143
4/3/20,490,10,117,4,50.57142857142857,1.2857142857142858
4/4/20,506,11,16,1,42.57142857142857,1.4285714285714286
4/5/20,624,12,118,1,55.285714285714285,1.4285714285714286
4/6/20,686,12,62,0,64.14285714285714,1.4285714285714286
4/7/20,794,13,108,1,68.42857142857143,1.2857142857142858
4/8/20,821,13,27,0,70.57142857142857,1.1428571428571428
4/9/20,865,16,44,3,70.28571428571429,1.4285714285714286
4/10/20,1081,17,216,1,84.42857142857143,1.0
4/11/20,1091,19,10,2,83.57142857142857,1.1428571428571428
4/12/20,1245,26,154,7,88.71428571428571,2.0
4/13/20,1262,26,17,0,82.28571428571429,2.0
4/14/20,1345,31,83,5,78.71428571428571,2.5714285714285716
4/15/20,1484,36,139,5,94.71428571428571,3.2857142857142856
4/16/20,1484,36,0,0,88.42857142857143,2.857142857142857
4/17/20,1597,44,113,8,73.71428571428571,3.857142857142857
4/18/20,1798,53,201,9,101.0,4.857142857142857
4/19/20,1845,55,47,2,85.71428571428571,4.142857142857143
4/20/20,1971,58,126,3,101.28571428571429,4.571428571428571
4/21/20,1971,58,0,0,89.42857142857143,3.857142857142857
4/22/20,2210,71,239,13,103.71428571428571,5.0
4/23/20,2379,78,169,7,127.85714285714286,6.0
4/24/20,2521,84,142,6,132.0,5.714285714285714
4/25/20,2660,93,139,9,123.14285714285714,5.714285714285714
4/26/20,2726,99,66,6,125.85714285714286,6.285714285714286
4/27/20,2825,99,99,0,122.0,5.857142857142857
4/28/20,2974,105,149,6,143.28571428571428,6.714285714285714
4/29/20,3213,112,239,7,143.28571428571428,5.857142857142857
4/30/20,3411,123,198,11,147.42857142857142,6.428571428571429
5/1/20,3513,131,102,8,141.71428571428572,6.714285714285714
5/2/20,3732,138,219,7,153.14285714285714,6.428571428571429
5/3/20,3850,151,118,13,160.57142857142858,7.428571428571429
5/4/20,4031,156,181,5,172.28571428571428,8.142857142857142
5/5/20,4138,162,107,6,166.28571428571428,8.142857142857142
5/6/20,4291,169,153,7,154.0,8.142857142857142
5/7/20,4493,172,202,3,154.57142857142858,7.0
5/8/20,4673,181,180,9,165.71428571428572,7.142857142857143
5/9/20,4778,191,105,10,149.42857142857142,7.571428571428571
5/10/20,4863,200,85,9,144.71428571428572,7.0
5/11/20,5069,208,206,8,148.28571428571428,7.428571428571429
5/12/20,5212,219,143,11,153.42857142857142,8.142857142857142
5/13/20,5364,231,152,12,153.28571428571428,8.857142857142858
5/14/20,5503,242,139,11,144.28571428571428,10.0
5/15/20,5662,253,159,11,141.28571428571428,10.285714285714286
5/16/20,5847,259,185,6,152.71428571428572,9.714285714285714
5/17/20,5938,265,91,6,153.57142857142858,9.285714285714286
5/18/20,6096,270,158,5,146.71428571428572,8.857142857142858
5/19/20,6192,276,96,6,140.0,8.142857142857142
5/20/20,6317,283,125,7,136.14285714285714,7.428571428571429
5/21/20,6472,294,155,11,138.42857142857142,7.428571428571429
5/22/20,6625,302,153,8,137.57142857142858,7.0
5/23/20,6625,308,0,6,111.14285714285714,7.0
5/24/20,6943,317,318,9,143.57142857142858,7.428571428571429
5/25/20,7026,320,83,3,132.85714285714286,7.142857142857143
5/26/20,7130,325,104,5,134.0,7.0
5/27/20,7252,329,122,4,133.57142857142858,6.571428571428571
5/28/20,7364,335,112,6,127.42857142857143,5.857142857142857
5/29/20,7493,344,129,9,124.0,6.0
5/30/20,7624,351,131,7,142.71428571428572,6.142857142857143
5/31/20,7689,356,65,5,106.57142857142857,5.571428571428571
6/1/20,7800,362,111,6,110.57142857142857,6.0
6/2/20,8024,367,224,5,127.71428571428571,6.0
6/3/20,8140,375,116,8,126.85714285714286,6.571428571428571
6/4/20,8353,383,213,8,141.28571428571428,6.857142857142857
6/5/20,8672,387,319,4,168.42857142857142,6.142857142857143
6/6/20,8800,392,128,5,168.0,5.857142857142857
