,COVID,Available,Other
2020-07-16T00:00:00.000,26,85,212
2020-07-15T00:00:00.000,27,95,201
2020-07-14T00:00:00.000,32,91,200
2020-07-13T00:00:00.000,30,100,193
2020-07-12T00:00:00.000,35,105,183
2020-07-11T00:00:00.000,37,90,196
2020-07-10T00:00:00.000,37,87,199
2020-07-09T00:00:00.000,33,81,209
2020-07-08T00:00:00.000,31,79,213
2020-07-07T00:00:00.000,28,80,215
2020-07-06T00:00:00.000,24,96,203
2020-07-05T00:00:00.000,28,98,197
2020-07-04T00:00:00.000,26,103,194
2020-07-03T00:00:00.000,29,89,205
2020-07-02T00:00:00.000,28,98,197
2020-07-01T00:00:00.000,30,92,201
2020-06-30T00:00:00.000,33,95,195
2020-06-29T00:00:00.000,31,96,196
2020-06-28T00:00:00.000,27,94,202
2020-06-27T00:00:00.000,27,89,207
2020-06-26T00:00:00.000,24,72,227
2020-06-25T00:00:00.000,24,72,227
2020-06-24T00:00:00.000,21,78,224
2020-06-23T00:00:00.000,20,93,210
2020-06-22T00:00:00.000,18,134,171
2020-06-21T00:00:00.000,15,139,169
2020-06-20T00:00:00.000,12,131,180
2020-06-19T00:00:00.000,15,126,182
2020-06-18T00:00:00.000,12,141,170
2020-06-17T00:00:00.000,10,138,175
2020-06-16T00:00:00.000,11,108,160
2020-06-15T00:00:00.000,8,102,169
2020-06-14T00:00:00.000,8,112,159
2020-06-13T00:00:00.000,12,109,158
2020-06-12T00:00:00.000,13,98,168
2020-06-11T00:00:00.000,15,87,177
2020-06-10T00:00:00.000,14,90,175
2020-06-09T00:00:00.000,13,102,164
2020-06-08T00:00:00.000,15,112,152
2020-06-07T00:00:00.000,14,119,146
2020-06-06T00:00:00.000,15,114,150
2020-06-05T00:00:00.000,19,90,170
2020-06-04T00:00:00.000,22,85,172
2020-06-03T00:00:00.000,21,83,175
2020-06-02T00:00:00.000,23,79,177
2020-06-01T00:00:00.000,24,87,168
2020-05-31T00:00:00.000,22,84,173
2020-05-30T00:00:00.000,27,79,173
2020-05-29T00:00:00.000,24,81,174
2020-05-28T00:00:00.000,27,92,160
2020-05-27T00:00:00.000,29,77,173
2020-05-26T00:00:00.000,38,76,165
2020-05-25T00:00:00.000,35,95,149
2020-05-24T00:00:00.000,27,97,155
2020-05-23T00:00:00.000,31,99,149
2020-05-22T00:00:00.000,26,86,167
2020-05-21T00:00:00.000,31,84,164
2020-05-20T00:00:00.000,31,95,153
2020-05-19T00:00:00.000,28,107,144
2020-05-18T00:00:00.000,22,109,148
2020-05-17T00:00:00.000,28,104,147
2020-05-16T00:00:00.000,24,96,159
2020-05-15T00:00:00.000,25,97,157
2020-05-14T00:00:00.000,29,92,158
2020-05-13T00:00:00.000,29,112,138
2020-05-12T00:00:00.000,31,106,142
2020-05-11T00:00:00.000,30,110,139
2020-05-10T00:00:00.000,33,108,138
2020-05-09T00:00:00.000,31,95,153
2020-05-08T00:00:00.000,33,88,158
2020-05-07T00:00:00.000,31,90,158
2020-05-06T00:00:00.000,31,106,142
2020-05-05T00:00:00.000,35,110,134
2020-05-04T00:00:00.000,27,115,137
2020-05-03T00:00:00.000,28,114,137
2020-05-02T00:00:00.000,33,102,144
2020-05-01T00:00:00.000,35,99,145
2020-04-30T00:00:00.000,32,109,138
2020-04-29T00:00:00.000,33,107,139
2020-04-28T00:00:00.000,35,110,134
2020-04-27T00:00:00.000,35,162,82
2020-04-26T00:00:00.000,31,158,90
2020-04-25T00:00:00.000,35,143,101
2020-04-24T00:00:00.000,33,143,103
2020-04-23T00:00:00.000,34,155,90
2020-04-22T00:00:00.000,39,133,107
2020-04-21T00:00:00.000,31,125,123
2020-04-20T00:00:00.000,30,131,118
2020-04-19T00:00:00.000,34,147,98
2020-04-18T00:00:00.000,36,150,93
2020-04-17T00:00:00.000,35,143,101
2020-04-16T00:00:00.000,37,144,98
2020-04-15T00:00:00.000,37,133,109
2020-04-14T00:00:00.000,32,147,100
2020-04-13T00:00:00.000,33,142,104
2020-04-12T00:00:00.000,40,134,105
2020-04-11T00:00:00.000,38,141,100
2020-04-10T00:00:00.000,42,134,103
2020-04-09T00:00:00.000,44,110,125
2020-04-08T00:00:00.000,47,118,114
2020-04-07T00:00:00.000,45,121,113
2020-04-06T00:00:00.000,45,114,120
2020-04-05T00:00:00.000,44,136,99
2020-04-04T00:00:00.000,51,146,82
2020-04-03T00:00:00.000,41,147,91
2020-04-02T00:00:00.000,43,129,107
2020-04-01T00:00:00.000,50,125,104
