Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
5/13,16733,625,708,25,456.0,19.0
5/14,17527,641,794,16,496.57142857142856,18.285714285714285
5/15,18269,667,742,26,536.1428571428571,19.571428571428573
5/16,18754,676,485,9,536.0,17.857142857142858
5/17,19161,686,407,10,555.2857142857143,17.428571428571427
5/18,19684,693,523,7,583.2857142857143,16.857142857142858
5/19,20189,693,505,0,594.8571428571429,13.285714285714286
5/20,21014,726,825,33,611.5714285714286,14.428571428571429
5/21,21802,734,788,8,610.7142857142857,13.285714285714286
5/22,22750,775,948,41,640.1428571428571,15.428571428571429
5/23,23323,778,573,3,652.7142857142857,14.571428571428571
5/24,23876,784,553,6,673.5714285714286,14.0
5/25,24337,790,461,6,664.7142857142857,13.857142857142858
5/26,24952,801,615,11,680.4285714285714,15.428571428571429
5/27,25613,844,661,43,657.0,16.857142857142858
5/28,26749,876,1136,32,706.7142857142857,20.285714285714285
5/29,27826,919,1077,43,725.1428571428571,20.571428571428573
5/30,28736,929,910,10,773.2857142857143,21.571428571428573
5/31,29514,937,778,8,805.4285714285714,21.857142857142858
6/1,30153,948,639,11,830.8571428571429,22.571428571428573
6/2,30966,961,813,13,859.1428571428571,22.857142857142858
6/3,32198,999,1232,38,940.7142857142857,22.142857142857142
6/4,33454,1006,1256,7,957.8571428571429,18.571428571428573
6/5,34771,1015,1317,9,992.1428571428571,13.714285714285714
6/6,35721,1028,950,13,997.8571428571429,14.142857142857142
6/7,36834,1032,1113,4,1045.7142857142858,13.571428571428571
6/8,37664,1041,830,9,1073.0,13.285714285714286
6/9,38528,1068,864,27,1080.2857142857142,15.285714285714286
6/10,39805,1090,1277,22,1086.7142857142858,13.0
6/11,41435,1106,1630,16,1140.142857142857,14.285714285714286
6/12,42932,1121,1497,15,1165.857142857143,15.142857142857142
6/13,44295,1127,1363,6,1224.857142857143,14.142857142857142
6/14,45386,1132,1091,5,1221.7142857142858,14.285714285714286
6/15,46348,1140,962,8,1240.5714285714287,14.142857142857142
6/16,47216,1169,868,29,1241.142857142857,14.428571428571429
6/17,48595,1181,1379,12,1255.7142857142858,13.0
6/18,50214,1188,1619,7,1254.142857142857,11.714285714285714
6/19,51710,1202,1496,14,1254.0,11.571428571428571
6/20,53009,1215,1299,13,1244.857142857143,12.571428571428571
6/21,54129,1245,1120,30,1249.0,16.142857142857142
6/22,55157,1278,1028,33,1258.4285714285713,19.714285714285715
6/23,56442,1296,1285,18,1318.0,18.142857142857142
6/24,57817,1325,1375,29,1317.4285714285713,20.571428571428573
