,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3771,54,169509,22.24660637488275
Alexander County,491,6,37497,13.094380883804037
Alleghany County,220,0,11137,19.753973242345335
Anson County,556,4,24446,22.744007199541848
Ashe County,252,1,27203,9.263684152483181
Avery County,326,0,17557,18.56809249871846
Beaufort County,866,17,46994,18.427884410775842
Bertie County,554,8,18947,29.239457433894547
Bladen County,825,14,32722,25.21239533035878
Brunswick County,1543,26,142820,10.803808990337489
Buncombe County,2892,80,261191,11.072357010769897
Burke County,2033,35,90485,22.4678123445875
Cabarrus County,3811,62,216453,17.60659357920657
Caldwell County,1580,18,82178,19.22655698605466
Camden County,111,3,10867,10.214410600901813
Carteret County,619,5,69473,8.909936234220488
Caswell County,324,3,22604,14.33374623960361
Catawba County,3006,52,159551,18.840370790530926
Chatham County,1613,57,74470,21.659728749832148
Cherokee County,581,10,28612,20.3061652453516
Chowan County,313,3,13943,22.44854048626551
Clay County,112,2,11231,9.972397827441903
Cleveland County,2071,60,97947,21.144088129294413
Columbus County,1320,54,55508,23.780355984722924
Craven County,1294,32,102139,12.66900987869472
Cumberland County,5178,75,335509,15.433267065861125
Currituck County,170,1,27763,6.123257573028852
Dare County,264,2,37009,7.1333999837877275
Davidson County,2638,34,167609,15.739011628253852
Davie County,534,6,42846,12.463240442515055
Duplin County,2146,53,58741,36.53325615839022
Durham County,7563,91,321488,23.52498382521276
Edgecombe County,1284,39,51472,24.94560149207336
Forsyth County,6850,95,382295,17.91809989667665
Franklin County,1191,31,69685,17.09119609672096
Gaston County,4892,77,224529,21.787831415986354
Gates County,128,3,11562,11.070749005362394
Graham County,126,2,8441,14.92714133396517
Granville County,1696,49,60443,28.059494068792084
Greene County,507,5,21069,24.063790402961697
Guilford County,8209,176,537174,15.281826745151477
Halifax County,977,18,50010,19.53609278144371
Harnett County,2077,52,135976,15.274754368417955
Haywood County,585,31,62317,9.387486560649583
Henderson County,1923,64,117417,16.377526252586932
Hertford County,707,27,23677,29.86020188368459
Hoke County,1077,17,55234,19.498859398196764
Hyde County,124,5,4937,25.116467490378774
Iredell County,2686,27,181806,14.77398985732044
Jackson County,534,7,43938,12.153489007237471
Johnston County,4263,55,209339,20.364098424087246
Jones County,148,11,9419,15.712920692217857
Lee County,1583,13,61779,25.623593777820943
Lenoir County,947,29,55949,16.926129153336074
Lincoln County,1500,14,86111,17.41937731532557
Macon County,585,2,35858,16.31435105136929
Madison County,91,1,21755,4.182946449092163
Martin County,422,10,22440,18.805704099821746
McDowell County,884,26,45756,19.31987061806102
Mecklenburg County,27687,342,1110356,24.935245993176963
Mitchell County,105,3,14964,7.016840417000802
Montgomery County,1028,26,27173,37.83167114415044
Moore County,1536,27,100880,15.226011102299761
Nash County,2210,38,94298,23.43634011325797
New Hanover County,3934,29,234473,16.778051204189822
Northampton County,410,17,19483,21.043987065646974
Onslow County,1877,23,197938,9.482767331184512
Orange County,2604,55,148476,17.538187989978177
Pamlico County,235,2,12726,18.466132327518466
Pasquotank County,683,29,39824,17.150462032944958
Pender County,907,5,63060,14.38312718046305
Perquimans County,179,3,13463,13.295699324073386
Person County,414,6,39490,10.483666751076221
Pitt County,4609,27,180742,25.500437087118655
Polk County,259,8,20724,12.49758733835167
Randolph County,2687,51,143667,18.70297284693075
Richmond County,931,14,44829,20.767806553793303
Robeson County,4263,72,130625,32.635406698564594
Rockingham County,1168,14,91010,12.833754532468959
Rowan County,3213,88,142088,22.612747030009572
Rutherford County,1134,22,67029,16.91805039609721
Sampson County,1765,24,63531,27.781712864585792
Scotland County,968,12,34823,27.797719897768715
Stanly County,1830,56,62806,29.137343565901347
Stokes County,413,3,45591,9.058805465991094
Surry County,1277,21,71783,17.789727372776284
Swain County,139,3,14271,9.740032233200196
Transylvania County,313,7,34385,9.10280645630362
Tyrrell County,113,2,4016,28.137450199203187
Union County,4611,58,239859,19.22379397896264
Vance County,1024,44,44535,22.993151453912652
Wake County,17010,233,1111761,15.30005100017
Warren County,323,7,19731,16.370178906289595
Washington County,200,8,11580,17.271157167530223
Watauga County,603,1,56177,10.733930256154654
Wayne County,3192,66,123131,25.923609813938
Wilkes County,1172,32,68412,17.13149739811729
Wilson County,2116,47,81801,25.86765442965245
Yadkin County,713,7,37667,18.929036026229856
Yancey County,120,0,18069,6.641208699983397
