,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3793,54,169509,22.37639299388233
Alexander County,495,6,37497,13.201056084486758
Alleghany County,220,0,11137,19.753973242345335
Anson County,558,4,24446,22.825820175079766
Ashe County,252,1,27203,9.263684152483181
Avery County,330,0,17557,18.795921854530956
Beaufort County,869,17,46994,18.491722347533727
Bertie County,555,8,18947,29.292236237926847
Bladen County,831,14,32722,25.39575820548866
Brunswick County,1555,26,142820,10.887830836017365
Buncombe County,2923,80,261191,11.191044101825867
Burke County,2033,36,90485,22.4678123445875
Cabarrus County,3836,63,216453,17.72209209389567
Caldwell County,1581,18,82178,19.23872569300786
Camden County,111,3,10867,10.214410600901813
Carteret County,621,5,69473,8.938724396528148
Caswell County,325,3,22604,14.37798619713325
Catawba County,3014,52,159551,18.890511497890955
Chatham County,1618,57,74470,21.72686988048879
Cherokee County,587,10,28612,20.515867468195164
Chowan County,320,3,13943,22.95058452269956
Clay County,113,2,11231,10.061437093758347
Cleveland County,2095,60,97947,21.389118604959826
Columbus County,1328,54,55508,23.924479354327303
Craven County,1307,33,102139,12.796287412251932
Cumberland County,5238,75,335509,15.612099824445842
Currituck County,177,1,27763,6.375391708388863
Dare County,265,3,37009,7.160420438271772
Davidson County,2651,34,167609,15.816573095716818
Davie County,537,6,42846,12.533258647248285
Duplin County,2152,53,58741,36.63539946545003
Durham County,7589,92,321488,23.605857761409446
Edgecombe County,1289,44,51472,25.042741684799502
Forsyth County,6886,96,382295,18.012268012921957
Franklin County,1199,31,69685,17.205998421468035
Gaston County,4923,77,224529,21.92589821359379
Gates County,134,3,11562,11.589690364988757
Graham County,128,2,8441,15.16408008529795
Granville County,1704,49,60443,28.19185017289016
Greene County,507,5,21069,24.063790402961697
Guilford County,8244,179,537174,15.346982541969641
Halifax County,980,18,50010,19.59608078384323
Harnett County,2104,52,135976,15.473318820968407
Haywood County,587,31,62317,9.419580531797102
Henderson County,1927,64,117417,16.411592869857007
Hertford County,718,27,23677,30.3247877687207
Hoke County,1088,17,55234,19.698012094000074
Hyde County,124,5,4937,25.116467490378774
Iredell County,2708,27,181806,14.894997964863645
Jackson County,538,7,43938,12.2445263780782
Johnston County,4270,55,209339,20.397537009348472
Jones County,148,11,9419,15.712920692217857
Lee County,1588,13,61779,25.704527428414185
Lenoir County,946,29,55949,16.908255732899605
Lincoln County,1513,14,86111,17.570345252058388
Macon County,585,2,35858,16.31435105136929
Madison County,91,1,21755,4.182946449092163
Martin County,428,10,22440,19.073083778966133
McDowell County,886,26,45756,19.363580732581518
Mecklenburg County,27768,343,1110356,25.008195569709173
Mitchell County,104,3,14964,6.950013365410318
Montgomery County,1029,26,27173,37.86847238067199
Moore County,1540,27,100880,15.265662172878669
Nash County,2233,39,94298,23.6802477252964
New Hanover County,3949,29,234473,16.842024454841283
Northampton County,412,17,19483,21.146640661089155
Onslow County,1899,23,197938,9.593913245561742
Orange County,2603,55,148476,17.531452894743932
Pamlico County,235,2,12726,18.466132327518466
Pasquotank County,688,30,39824,17.276014463640017
Pender County,909,5,63060,14.414843006660323
Perquimans County,179,3,13463,13.295699324073386
Person County,417,6,39490,10.559635350721702
Pitt County,4640,27,180742,25.67195228557834
Polk County,260,8,20724,12.545840571318278
Randolph County,2696,51,143667,18.76561771318396
Richmond County,940,15,44829,20.968569452809565
Robeson County,4273,72,130625,32.71196172248804
Rockingham County,1170,14,91010,12.855730139545106
Rowan County,3224,88,142088,22.690163842126008
Rutherford County,1135,31,67029,16.93296931179042
Sampson County,1769,24,63531,27.844674253514032
Scotland County,984,12,34823,28.257186342359933
Stanly County,1840,56,62806,29.296564022545617
Stokes County,414,3,45591,9.080739619661776
Surry County,1279,21,71783,17.8175891227728
Swain County,139,3,14271,9.740032233200196
Transylvania County,319,7,34385,9.277301148756726
Tyrrell County,113,2,4016,28.137450199203187
Union County,4629,58,239859,19.298838067364578
Vance County,1026,44,44535,23.038059952846076
Wake County,17070,235,1111761,15.354019434033034
Warren County,325,7,19731,16.471542243170646
Washington County,201,8,11580,17.357512953367877
Watauga County,613,1,56177,10.91193904978906
Wayne County,3217,66,123131,26.126645605087266
Wilkes County,1175,33,68412,17.17534935391452
Wilson County,2128,47,81801,26.014351902788473
Yadkin County,716,7,37667,19.008681339103195
Yancey County,118,0,18069,6.530521888317007
