,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3027,45,169509,17.857458895987822
Alexander County,386,2,37497,10.294156865882604
Alleghany County,199,0,11137,17.86836670557601
Anson County,432,3,24446,17.671602716190787
Ashe County,192,1,27203,7.058045068558615
Avery County,132,0,17557,7.518368741812383
Beaufort County,541,9,46994,11.512107928671746
Bertie County,397,6,18947,20.95318520082335
Bladen County,694,10,32722,21.208972556689687
Brunswick County,1371,24,142820,9.59949586892592
Buncombe County,2386,69,261191,9.135077395469215
Burke County,1822,28,90485,20.135934132729183
Cabarrus County,3094,52,216453,14.294096177923151
Caldwell County,1403,16,82178,17.072695855338413
Camden County,93,3,10867,8.558019692647465
Carteret County,466,5,69473,6.707641817684568
Caswell County,238,2,22604,10.529109892054503
Catawba County,2535,44,159551,15.888336644709215
Chatham County,1458,56,74470,19.5783536994763
Cherokee County,392,5,28612,13.700545225779393
Chowan County,203,2,13943,14.559277056587534
Clay County,87,1,11231,7.746416169530763
Cleveland County,1568,32,97947,16.00865774347351
Columbus County,1083,51,55508,19.510701160193126
Craven County,888,26,102139,8.694034599907969
Cumberland County,3949,65,335509,11.770176060850826
Currituck County,95,0,27763,3.4218204084572994
Dare County,241,2,37009,6.511929530654705
Davidson County,2128,32,167609,12.696215597014481
Davie County,470,6,42846,10.969518741539467
Duplin County,2071,50,58741,35.25646482014266
Durham County,6790,83,321488,21.12053949136515
Edgecombe County,912,19,51472,17.718371153248366
Forsyth County,6014,71,382295,15.731306974980054
Franklin County,1026,29,69685,14.723398148812514
Gaston County,3969,63,224529,17.677003861416566
Gates County,79,2,11562,6.832727901747103
Graham County,54,0,8441,6.397346285985073
Granville County,1500,42,60443,24.816769518389226
Greene County,388,3,21069,18.41568180739475
Guilford County,6636,170,537174,12.353539076723743
Halifax County,846,10,50010,16.916616676664667
Harnett County,1578,45,135976,11.604989115726305
Haywood County,498,25,62317,7.991398815732465
Henderson County,1675,60,117417,14.265395981842493
Hertford County,514,14,23677,21.70883135532373
Hoke County,858,12,55234,15.533910272658146
Hyde County,91,0,4937,18.43224630342313
Iredell County,2282,20,181806,12.551840973345215
Jackson County,484,7,43938,11.015521871728344
Johnston County,3746,50,209339,17.89442005550805
Jones County,130,7,9419,13.801889797218388
Lee County,1416,12,61779,22.920409848006603
Lenoir County,765,14,55949,13.67316663389873
Lincoln County,1076,12,86111,12.49549999419354
Macon County,529,2,35858,14.752635395169836
Madison County,64,1,21755,2.9418524477131696
Martin County,325,7,22440,14.483065953654188
McDowell County,773,24,45756,16.89395926217327
Mecklenburg County,24847,284,1110356,22.3775077542698
Mitchell County,90,3,14964,6.014434643143544
Montgomery County,854,18,27173,31.428255989401244
Moore County,1264,21,100880,12.52973830293418
Nash County,1580,21,94298,16.755392479161806
New Hanover County,2917,21,234473,12.44066481002077
Northampton County,336,17,19483,17.2458040342863
Onslow County,1440,12,197938,7.275005304691368
Orange County,2170,50,148476,14.615156658315149
Pamlico County,99,2,12726,7.779349363507779
Pasquotank County,532,23,39824,13.358778625954198
Pender County,754,4,63060,11.95686647637171
Perquimans County,127,2,13463,9.43326153160514
Person County,307,3,39490,7.77412003038744
Pitt County,3229,17,180742,17.865244381494062
Polk County,219,7,20724,10.567458019687319
Randolph County,2379,43,143667,16.559126312931987
Richmond County,649,9,44829,14.477235717950434
Robeson County,3404,60,130625,26.05933014354067
Rockingham County,743,8,91010,8.163938028788046
Rowan County,2725,60,142088,19.178255728844096
Rutherford County,915,19,67029,13.650807859284788
Sampson County,1591,20,63531,25.042892446207365
Scotland County,597,8,34823,17.143841713809838
Stanly County,1440,31,62806,22.92774575677483
Stokes County,325,3,45591,7.1285999429712
Surry County,1131,16,71783,15.755819623030522
Swain County,129,3,14271,9.039310489804498
Transylvania County,233,2,34385,6.776210556928893
Tyrrell County,105,2,4016,26.14541832669323
Union County,3830,48,239859,15.967714365523078
Vance County,894,42,44535,20.074099023240148
Wake County,14536,198,1111761,13.074752577217586
Warren County,287,6,19731,14.545638842430693
Washington County,172,4,11580,14.853195164075993
Watauga County,407,0,56177,7.244957900920306
Wayne County,2767,51,123131,22.472001364400516
Wilkes County,1005,20,68412,14.690405192071566
Wilson County,1698,36,81801,20.75769244874757
Yadkin County,618,7,37667,16.406934451907507
Yancey County,87,0,18069,4.814876307487963
