,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3601,48,169509,21.24370977352235
Alexander County,475,3,37497,12.667680081073152
Alleghany County,217,0,11137,19.484600879949717
Anson County,528,3,24446,21.598625542010964
Ashe County,246,1,27203,9.043120244090725
Avery County,307,0,17557,17.4859030586091
Beaufort County,796,12,46994,16.938332553091882
Bertie County,521,7,18947,27.497756900828627
Bladen County,808,12,32722,24.692867184157446
Brunswick County,1500,26,142820,10.502730709984595
Buncombe County,2796,75,261191,10.704809890080439
Burke County,1981,33,90485,21.89313145825275
Cabarrus County,3663,59,216453,16.922842372247093
Caldwell County,1532,17,82178,18.642459052301103
Camden County,107,3,10867,9.846323732400847
Carteret County,590,5,69473,8.492507880759431
Caswell County,281,3,22604,12.431428065829056
Catawba County,2879,50,159551,18.044387061190466
Chatham County,1580,57,74470,21.21659728749832
Cherokee County,549,9,28612,19.187753390185936
Chowan County,286,3,13943,20.512084917162735
Clay County,106,2,11231,9.438162229543229
Cleveland County,1909,54,97947,19.49013241855289
Columbus County,1280,53,55508,23.059739136701015
Craven County,1194,30,102139,11.689951928254633
Cumberland County,4829,75,335509,14.393056520093351
Currituck County,137,0,27763,4.934625220617368
Dare County,260,2,37009,7.02531816585155
Davidson County,2503,33,167609,14.933565619984607
Davie County,522,6,42846,12.183167623582131
Duplin County,2126,53,58741,36.19277846819087
Durham County,7381,88,321488,22.958866271835962
Edgecombe County,1211,37,51472,23.52735467827168
Forsyth County,6694,94,382295,17.51003805961365
Franklin County,1158,31,69685,16.61763650713927
Gaston County,4659,73,224529,20.750103550098206
Gates County,110,3,11562,9.513924926483307
Graham County,113,0,8441,13.387039450302098
Granville County,1656,48,60443,27.397713548301706
Greene County,494,5,21069,23.44677013621909
Guilford County,7842,176,537174,14.598621675658167
Halifax County,933,17,50010,18.65626874625075
Harnett County,1914,50,135976,14.076013414131905
Haywood County,561,31,62317,9.002358906879342
Henderson County,1856,64,117417,15.806910413313235
Hertford County,649,25,23677,27.41056721713055
Hoke County,1006,16,55234,18.21341927073904
Hyde County,124,3,4937,25.116467490378774
Iredell County,2590,26,181806,14.24595447895009
Jackson County,524,7,43938,11.925895580135645
Johnston County,4154,54,209339,19.843411882162425
Jones County,144,11,9419,15.288247159995754
Lee County,1542,13,61779,24.959937842956343
Lenoir County,913,24,55949,16.31843285849613
Lincoln County,1387,14,86111,16.10711755757104
Macon County,567,2,35858,15.812371019019466
Madison County,88,1,21755,4.045047115605608
Martin County,405,9,22440,18.048128342245988
McDowell County,870,26,45756,19.01389981641752
Mecklenburg County,27125,335,1110356,24.42910201773125
Mitchell County,101,3,14964,6.749532210638867
Montgomery County,995,25,27173,36.617230338939386
Moore County,1477,23,100880,14.641157811260904
Nash County,1996,34,94298,21.16693885342213
New Hanover County,3744,26,234473,15.96772336260465
Northampton County,391,17,19483,20.06877790894626
Onslow County,1751,20,197938,8.846204367024018
Orange County,2543,54,148476,17.127347180689135
Pamlico County,224,2,12726,17.601760176017603
Pasquotank County,631,29,39824,15.844716753716352
Pender County,847,5,63060,13.431652394544878
Perquimans County,164,3,13463,12.181534576246008
Person County,388,6,39490,9.825272220815396
Pitt County,4380,25,180742,24.233437717851967
Polk County,253,7,20724,12.208067940552016
Randolph County,2618,49,143667,18.22269553898947
Richmond County,856,13,44829,19.094782395324454
Robeson County,4113,69,130625,31.48708133971292
Rockingham County,1087,13,91010,11.943742445885068
Rowan County,3083,86,142088,21.697821068633523
Rutherford County,1065,22,67029,15.8886452132659
Sampson County,1720,22,63531,27.073397239143095
Scotland County,848,12,34823,24.35172156333458
Stanly County,1745,53,62806,27.783969684425056
Stokes County,394,3,45591,8.642056546248163
Surry County,1249,21,71783,17.399662872825044
Swain County,138,3,14271,9.669960058860626
Transylvania County,299,7,34385,8.695652173913043
Tyrrell County,111,2,4016,27.639442231075698
Union County,4456,56,239859,18.577580995501524
Vance County,991,43,44535,22.25216122151117
Wake County,16530,220,1111761,14.868303529265733
Warren County,307,7,19731,15.559272211241193
Washington County,197,8,11580,17.012089810017272
Watauga County,558,0,56177,9.93289068479983
Wayne County,3062,62,123131,24.86782369996183
Wilkes County,1130,31,68412,16.51757001695609
Wilson County,1993,44,81801,24.36400533000819
Yadkin County,694,7,37667,18.424615711365387
Yancey County,116,0,18069,6.419835076650617
