,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2496,41,169509,14.724881864679752
Alexander County,312,2,37497,8.32066565325226
Alleghany County,169,0,11137,15.174643081619825
Anson County,332,3,24446,13.580953939294773
Ashe County,165,1,27203,6.06550748079256
Avery County,109,0,17557,6.208349945890528
Beaufort County,437,2,46994,9.299059454398433
Bertie County,280,5,18947,14.778065129044176
Bladen County,626,7,32722,19.13085997188436
Brunswick County,1260,22,142820,8.822293796387061
Buncombe County,1905,49,261191,7.293513176181415
Burke County,1776,28,90485,19.627562579433054
Cabarrus County,2655,50,216453,12.265942259982536
Caldwell County,1227,16,82178,14.93100343157536
Camden County,73,2,10867,6.717585350142634
Carteret County,376,6,69473,5.412174513839909
Caswell County,196,2,22604,8.67103167580959
Catawba County,2161,30,159551,13.544258575627856
Chatham County,1305,55,74470,17.523835101383106
Cherokee County,296,4,28612,10.3453096602824
Chowan County,158,2,13943,11.331851108082908
Clay County,76,0,11231,6.766984240049862
Cleveland County,1208,22,97947,12.333200608492348
Columbus County,918,48,55508,16.53815666210276
Craven County,753,15,102139,7.372306366813851
Cumberland County,3286,51,335509,9.794074078489698
Currituck County,73,0,27763,2.6293988401829775
Dare County,210,2,37009,5.6742954416493285
Davidson County,1797,18,167609,10.721381310072848
Davie County,431,7,42846,10.059282080007469
Duplin County,2016,48,58741,34.32015117209445
Durham County,6221,80,321488,19.350644503060767
Edgecombe County,664,13,51472,12.900217594031707
Forsyth County,5317,52,382295,13.908107613230621
Franklin County,872,26,69685,12.513453397431299
Gaston County,3358,52,224529,14.955751818250649
Gates County,45,2,11562,3.8920601971977167
Graham County,40,0,8441,4.73877502665561
Granville County,1262,29,60443,20.87917542147147
Greene County,332,3,21069,15.757748350657364
Guilford County,5704,156,537174,10.618533287165798
Halifax County,715,6,50010,14.297140571885622
Harnett County,1318,39,135976,9.692886980055304
Haywood County,438,14,62317,7.028579681306867
Henderson County,1495,54,117417,12.73239820468927
Hertford County,353,11,23677,14.90898340161338
Hoke County,726,11,55234,13.14407792301843
Hyde County,47,0,4937,9.519951387482276
Iredell County,1905,18,181806,10.478202039536649
Jackson County,457,7,43938,10.401019618553416
Johnston County,3334,46,209339,15.926320465847262
Jones County,99,8,9419,10.51066992249708
Lee County,1302,11,61779,21.075122614480648
Lenoir County,599,12,55949,10.706178841444887
Lincoln County,858,9,86111,9.963883824366224
Macon County,480,4,35858,13.386134195995314
Madison County,45,0,21755,2.068490002298322
Martin County,268,6,22440,11.942959001782532
McDowell County,693,14,45756,15.145554681353266
Mecklenburg County,22462,233,1110356,20.229548000821357
Mitchell County,120,3,14964,8.019246190858059
Montgomery County,740,14,27173,27.232915025944873
Moore County,1021,20,100880,10.120935765265662
Nash County,1209,12,94298,12.821056650194066
New Hanover County,2696,20,234473,11.498125583755913
Northampton County,352,16,19483,18.067032797823742
Onslow County,1108,11,197938,5.597712414998636
Orange County,1356,58,148476,9.132789137638406
Pamlico County,73,1,12726,5.736287914505736
Pasquotank County,423,20,39824,10.621735636801928
Pender County,666,3,63060,10.561370123691722
Perquimans County,88,2,13463,6.536433187253955
Person County,226,2,39490,5.722967839959483
Pitt County,2054,11,180742,11.364265085038342
Polk County,164,5,20724,7.913530206523837
Randolph County,2191,37,143667,15.250544662309368
Richmond County,521,9,44829,11.621941154163599
Robeson County,2845,53,130625,21.779904306220097
Rockingham County,567,8,91010,6.230084606087243
Rowan County,2220,48,142088,15.624120263498677
Rutherford County,781,15,67029,11.651673156394994
Sampson County,1516,15,63531,23.862366403802866
Scotland County,365,2,34823,10.48157826723717
Stanly County,1089,26,62806,17.339107728560965
Stokes County,296,3,45591,6.492509486521462
Surry County,960,10,71783,13.373639998328295
Swain County,120,2,14271,8.408660920748371
Transylvania County,145,1,34385,4.216955067616693
Tyrrell County,99,1,4016,24.65139442231076
Union County,3146,43,239859,13.116039006249505
Vance County,778,41,44535,17.469406085101607
Wake County,12148,176,1111761,10.926808909468852
Warren County,260,7,19731,13.177233794536516
Washington County,135,4,11580,11.658031088082902
Watauga County,316,0,56177,5.625077878847215
Wayne County,2435,42,123131,19.775686057938294
Wilkes County,843,12,68412,12.322399579021225
Wilson County,1514,35,81801,18.508331193995183
Yadkin County,552,6,37667,14.654737568694083
Yancey County,114,0,18069,6.309148264984227
