,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2838,44,169509,16.742473850945967
Alexander County,362,2,37497,9.654105661786277
Alleghany County,186,0,11137,16.701086468528327
Anson County,397,3,24446,16.239875644277184
Ashe County,182,1,27203,6.690438554571187
Avery County,118,0,17557,6.720965996468645
Beaufort County,491,9,46994,10.448142316040345
Bertie County,354,5,18947,18.683696627434422
Bladen County,670,9,32722,20.475521056170162
Brunswick County,1348,22,142820,9.43845399803949
Buncombe County,2237,62,261191,8.564613635232455
Burke County,1783,27,90485,19.70492346797812
Cabarrus County,2929,51,216453,13.531805980975085
Caldwell County,1347,14,82178,16.39124826595926
Camden County,84,2,10867,7.72982423852029
Carteret County,414,5,69473,5.959149597685432
Caswell County,214,2,22604,9.467350911343125
Catawba County,2423,38,159551,15.186366741668808
Chatham County,1404,56,74470,18.853229488384585
Cherokee County,361,5,28612,12.617083741087656
Chowan County,176,2,13943,12.62282148748476
Clay County,82,1,11231,7.301219837948535
Cleveland County,1462,25,97947,14.926439809284613
Columbus County,1036,50,55508,18.663976363767386
Craven County,867,24,102139,8.48843243031555
Cumberland County,3680,65,335509,10.96840919319601
Currituck County,89,0,27763,3.2057054352915753
Dare County,225,2,37009,6.079602258909995
Davidson County,2002,31,167609,11.944465989296518
Davie County,455,6,42846,10.619427717873315
Duplin County,2051,49,58741,34.91598712994331
Durham County,6577,81,321488,20.457995321753845
Edgecombe County,830,17,51472,16.125271992539634
Forsyth County,5790,66,382295,15.145372029453695
Franklin County,965,28,69685,13.848030422616057
Gaston County,3783,60,224529,16.848603075771948
Gates County,71,2,11562,6.140806088911953
Graham County,50,0,8441,5.923468783319512
Granville County,1430,37,60443,23.65865360753106
Greene County,363,3,21069,17.229104371351273
Guilford County,6314,163,537174,11.754105745996641
Halifax County,806,9,50010,16.116776644671067
Harnett County,1488,43,135976,10.943107607224805
Haywood County,483,25,62317,7.750694032126066
Henderson County,1639,59,117417,13.958796426411848
Hertford County,450,12,23677,19.005786206022723
Hoke County,809,12,55234,14.64677553680704
Hyde County,70,0,4937,14.178651002633178
Iredell County,2159,18,181806,11.875295644808203
Jackson County,468,7,43938,10.651372388365424
Johnston County,3562,49,209339,17.015462957212943
Jones County,122,6,9419,12.95254273277418
Lee County,1372,11,61779,22.20819372278606
Lenoir County,706,11,55949,12.618634828147062
Lincoln County,1001,10,86111,11.624531128427263
Macon County,505,2,35858,14.083328685370072
Madison County,57,1,21755,2.6200873362445414
Martin County,309,7,22440,13.770053475935828
McDowell County,750,23,45756,16.391292945187516
Mecklenburg County,23978,271,1110356,21.594875877646448
Mitchell County,84,3,14964,5.613472333600641
Montgomery County,771,17,27173,28.373753358112833
Moore County,1171,21,100880,11.607850911974623
Nash County,1446,21,94298,15.334365522068337
New Hanover County,2827,21,234473,12.056825306112005
Northampton County,331,17,19483,16.98917004568085
Onslow County,1334,13,197938,6.739484080873809
Orange County,1808,50,148476,12.177052183517874
Pamlico County,84,2,12726,6.600660066006601
Pasquotank County,504,22,39824,12.655685014061872
Pender County,732,4,63060,11.607992388201712
Perquimans County,101,2,13463,7.502042635371017
Person County,271,2,39490,6.862496834641681
Pitt County,2572,15,180742,14.230228723816268
Polk County,200,6,20724,9.650646593321753
Randolph County,2307,43,143667,16.057967382906305
Richmond County,609,9,44829,13.584956166767048
Robeson County,3198,58,130625,24.482296650717704
Rockingham County,679,6,91010,7.46071860235139
Rowan County,2496,54,142088,17.566578458420135
Rutherford County,875,17,67029,13.05405123155649
Sampson County,1545,19,63531,24.318836473532606
Scotland County,546,8,34823,15.67929242167533
Stanly County,1363,31,62806,21.701748240613956
Stokes County,318,3,45591,6.9750608672764365
Surry County,1076,11,71783,14.989621498126297
Swain County,123,3,14271,8.61887744376708
Transylvania County,206,1,34385,5.990984440889923
Tyrrell County,103,2,4016,25.647410358565736
Union County,3648,47,239859,15.208935249459056
Vance County,852,41,44535,19.13102054563826
Wake County,13522,188,1111761,12.16268604493232
Warren County,281,6,19731,14.241548831787542
Washington County,159,4,11580,13.73056994818653
Watauga County,376,0,56177,6.693130640653648
Wayne County,2660,46,123131,21.603008178281666
Wilkes County,962,20,68412,14.06186049231129
Wilson County,1645,36,81801,20.109778609063458
Yadkin County,596,7,37667,15.822868824169698
Yancey County,85,0,18069,4.704189495821573
