,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2726,44,169509,16.081741972402646
Alexander County,354,2,37497,9.440755260420834
Alleghany County,181,0,11137,16.2521325312023
Anson County,388,3,24446,15.871717254356541
Ashe County,179,1,27203,6.580156600374958
Avery County,114,0,17557,6.493136640656148
Beaufort County,465,3,46994,9.894880197472018
Bertie County,340,5,18947,17.944793370982214
Bladen County,663,8,32722,20.261597701851965
Brunswick County,1337,22,142820,9.361433972832936
Buncombe County,2167,54,261191,8.296610526396393
Burke County,1753,27,90485,19.373376802784993
Cabarrus County,2866,51,216453,13.24074972395855
Caldwell County,1320,14,82178,16.062693178222883
Camden County,83,2,10867,7.63780252139505
Carteret County,399,5,69473,5.7432383803779885
Caswell County,207,2,22604,9.157671208635639
Catawba County,2345,38,159551,14.697494844908524
Chatham County,1380,55,74470,18.53095206123271
Cherokee County,346,5,28612,12.09282818397875
Chowan County,170,2,13943,12.192498027684142
Clay County,80,1,11231,7.123141305315644
Cleveland County,1398,25,97947,14.273025207510184
Columbus County,1013,50,55508,18.24962167615479
Craven County,844,23,102139,8.263249101714331
Cumberland County,3573,63,335509,10.64949077371993
Currituck County,86,0,27763,3.097647948708713
Dare County,218,2,37009,5.890459077521684
Davidson County,1965,31,167609,11.723714120363464
Davie County,449,5,42846,10.479391308406852
Duplin County,2043,49,58741,34.77979605386357
Durham County,6508,81,321488,20.24336833723187
Edgecombe County,792,16,51472,15.387006527820951
Forsyth County,5681,63,382295,14.860251899710956
Franklin County,956,28,69685,13.718877807275597
Gaston County,3716,59,224529,16.550200642233296
Gates County,66,2,11562,5.708354955889985
Graham County,49,0,8441,5.8049994076531215
Granville County,1391,35,60443,23.013417600052943
Greene County,355,3,21069,16.849399591817363
Guilford County,6165,160,537174,11.476728210970746
Halifax County,789,9,50010,15.776844631073786
Harnett County,1463,41,135976,10.759251632641055
Haywood County,474,25,62317,7.606271161962225
Henderson County,1620,59,117417,13.796979994379008
Hertford County,425,12,23677,17.949909194577014
Hoke County,794,12,55234,14.375203678893435
Hyde County,64,0,4937,12.963338059550335
Iredell County,2083,18,181806,11.457267636931675
Jackson County,462,7,43938,10.51481633210433
Johnston County,3507,47,209339,16.75273121587473
Jones County,120,4,9419,12.740205966663128
Lee County,1362,11,61779,22.046326421599574
Lenoir County,689,11,55949,12.31478668072709
Lincoln County,966,10,86111,11.218078991069666
Macon County,492,2,35858,13.720787550895198
Madison County,52,1,21755,2.3902551137669503
Martin County,294,7,22440,13.101604278074866
McDowell County,735,22,45756,16.063467086283765
Mecklenburg County,23593,266,1110356,21.248140236104458
Mitchell County,83,3,14964,5.546645282010157
Montgomery County,739,16,27173,27.196113789423325
Moore County,1132,21,100880,11.221252973830293
Nash County,1391,17,94298,14.751108188932957
New Hanover County,2770,21,234473,11.813726953636452
Northampton County,322,16,19483,16.527228866191038
Onslow County,1280,12,197938,6.466671381947883
Orange County,1650,49,148476,11.11290713650691
Pamlico County,77,2,12726,6.050605060506051
Pasquotank County,468,21,39824,11.751707513057452
Pender County,716,4,63060,11.354265778623533
Perquimans County,97,2,13463,7.204932035950383
Person County,259,2,39490,6.558622436059762
Pitt County,2404,14,180742,13.300727003131536
Polk County,190,6,20724,9.168114263655665
Randolph County,2289,42,143667,15.932677650399883
Richmond County,584,9,44829,13.027281447277431
Robeson County,3128,56,130625,23.946411483253588
Rockingham County,651,6,91010,7.153060103285354
Rowan County,2443,53,142088,17.19357018185913
Rutherford County,855,17,67029,12.755672917692342
Sampson County,1531,19,63531,24.098471612283767
Scotland County,495,7,34823,14.214743129540821
Stanly County,1300,31,62806,20.698659363755056
Stokes County,310,3,45591,6.799587637910991
Surry County,1041,11,71783,14.502040873187244
Swain County,123,2,14271,8.61887744376708
Transylvania County,180,1,34385,5.234840773593136
Tyrrell County,103,2,4016,25.647410358565736
Union County,3551,47,239859,14.804530995293067
Vance County,832,41,44535,18.68193555630403
Wake County,13163,187,1111761,11.839774915651835
Warren County,277,6,19731,14.038822158025441
Washington County,155,4,11580,13.385146804835925
Watauga County,358,0,56177,6.3727148121117185
Wayne County,2618,44,123131,21.261908049150904
Wilkes County,945,19,68412,13.813366076126995
Wilson County,1604,36,81801,19.608562242515372
Yadkin County,587,7,37667,15.583932885549686
Yancey County,83,0,18069,4.593502684155183
