,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3977,55,169509,23.461881080060646
Alexander County,534,7,37497,14.241139291143291
Alleghany County,237,0,11137,21.28041662925384
Anson County,616,6,24446,25.19839646567946
Ashe County,269,1,27203,9.888615226261809
Avery County,362,0,17557,20.61855670103093
Beaufort County,981,25,46994,20.875005319828063
Bertie County,605,10,18947,31.93117643954188
Bladen County,925,15,32722,28.26844324919015
Brunswick County,1667,27,142820,11.672034729029548
Buncombe County,3179,82,261191,12.171169756997752
Burke County,2142,42,90485,23.67243189478919
Cabarrus County,4074,73,216453,18.821637953735916
Caldwell County,1681,18,82178,20.455596388327777
Camden County,116,3,10867,10.67451918652802
Carteret County,727,5,69473,10.464496998834079
Caswell County,367,5,22604,16.236064413378163
Catawba County,3217,52,159551,20.162831947151695
Chatham County,1695,58,74470,22.76084329260105
Cherokee County,649,12,28612,22.68279043757864
Chowan County,369,4,13943,26.464892777737933
Clay County,124,2,11231,11.040869023239248
Cleveland County,2290,65,97947,23.37999121974129
Columbus County,1401,57,55508,25.239605101967285
Craven County,1685,39,102139,16.497126464915457
Cumberland County,5610,77,335509,16.720862927671092
Currituck County,184,3,27763,6.627525843748875
Dare County,276,3,37009,7.45764543759626
Davidson County,2820,37,167609,16.824872172735354
Davie County,576,6,42846,13.443495308780284
Duplin County,2403,54,58741,40.908394477451864
Durham County,7825,95,321488,24.339944259194745
Edgecombe County,1386,49,51472,26.927261423686666
Forsyth County,7097,103,382295,18.564197805359736
Franklin County,1225,31,69685,17.57910597689603
Gaston County,5275,85,224529,23.4936244315879
Gates County,145,3,11562,12.541082857637088
Graham County,174,3,8441,20.6136713659519
Granville County,1760,50,60443,29.118342901576693
Greene County,623,5,21069,29.569509706203426
Guilford County,8736,185,537174,16.262886885813536
Halifax County,1046,19,50010,20.915816836632672
Harnett County,2287,54,135976,16.819144554921458
Haywood County,618,31,62317,9.917037084583662
Henderson County,2048,64,117417,17.442108042276672
Hertford County,765,30,23677,32.30983655023863
Hoke County,1217,18,55234,22.033530072057065
Hyde County,126,5,4937,25.52157180473972
Iredell County,3100,32,181806,17.05114242654258
Jackson County,660,7,43938,15.02116618872047
Johnston County,4566,57,209339,21.811511471823216
Jones County,159,11,9419,16.880772905828643
Lee County,1671,15,61779,27.04802602826203
Lenoir County,1021,33,55949,18.248762265634774
Lincoln County,1687,14,86111,19.590993020636155
Macon County,621,2,35858,17.318311116068937
Madison County,109,1,21755,5.010342450011492
Martin County,466,9,22440,20.766488413547236
McDowell County,1018,27,45756,22.248448290934522
Mecklenburg County,28975,356,1110356,26.095234321244718
Mitchell County,161,3,14964,10.759155306067896
Montgomery County,1049,32,27173,38.60449711110293
Moore County,1722,33,100880,17.069785884218874
Nash County,2431,41,94298,25.779974124583767
New Hanover County,4352,32,234473,18.5607724556772
Northampton County,462,17,19483,23.712980547143665
Onslow County,2260,25,197938,11.417716658751731
Orange County,2688,55,148476,18.103935989654893
Pamlico County,269,2,12726,21.137828068521138
Pasquotank County,711,31,39824,17.853555644837282
Pender County,970,7,63060,15.382175705677133
Perquimans County,188,3,13463,13.964198172769814
Person County,441,8,39490,11.16738414788554
Pitt County,4976,29,180742,27.530955726947806
Polk County,322,11,20724,15.537541015248022
Randolph County,2884,54,143667,20.07419936380658
Richmond County,1037,17,44829,23.132347364429275
Robeson County,4624,78,130625,35.39904306220096
Rockingham County,1291,14,91010,14.185254367651906
Rowan County,3421,102,142088,24.076628568211248
Rutherford County,1241,32,67029,18.514374375270407
Sampson County,2254,28,63531,35.4787426610631
Scotland County,1202,15,34823,34.51741664991528
Stanly County,2014,56,62806,32.06699996815591
Stokes County,458,4,45591,10.045842381171722
Surry County,1345,23,71783,18.73702687265787
Swain County,150,3,14271,10.510826150935463
Transylvania County,333,8,34385,9.684455431147303
Tyrrell County,116,3,4016,28.884462151394423
Union County,4893,59,239859,20.39948469725964
Vance County,1057,44,44535,23.734141686314135
Wake County,17756,245,1111761,15.97105852786705
Warren County,348,7,19731,17.63722061730272
Washington County,212,8,11580,18.307426597582037
Watauga County,905,1,56177,16.1097958239137
Wayne County,3427,69,123131,27.83214625074108
Wilkes County,1258,34,68412,18.388586797637842
Wilson County,2275,53,81801,27.811395948704785
Yadkin County,749,9,37667,19.884779780709906
Yancey County,216,0,18069,11.954175659970115
