,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,4204,59,169509,24.801043012465414
Alexander County,571,8,37497,15.227884897458463
Alleghany County,245,0,11137,21.99874292897549
Anson County,655,6,24446,26.793749488668904
Ashe County,294,1,27203,10.80763151123038
Avery County,435,0,17557,24.77644244460899
Beaufort County,1036,27,46994,22.0453674937226
Bertie County,634,11,18947,33.4617617564786
Bladen County,955,18,32722,29.185257624839558
Brunswick County,1779,27,142820,12.456238622041731
Buncombe County,3407,88,261191,13.044094168635214
Burke County,2266,43,90485,25.042824777587445
Cabarrus County,4252,79,216453,19.643987378322315
Caldwell County,1847,18,82178,22.475601742558837
Camden County,125,3,10867,11.502714640655194
Carteret County,817,5,69473,11.759964302678739
Caswell County,468,5,22604,20.70430012387188
Catawba County,3446,55,159551,21.59810969533253
Chatham County,1755,59,74470,23.56653686048073
Cherokee County,679,12,28612,23.73130155179645
Chowan County,410,4,13943,29.405436419708813
Clay County,134,2,11231,11.931261686403705
Cleveland County,2514,72,97947,25.66694232595179
Columbus County,1460,57,55508,26.302514952799598
Craven County,1864,45,102139,18.249640196203213
Cumberland County,5952,80,335509,17.74020965160398
Currituck County,196,4,27763,7.059755790080323
Dare County,295,3,37009,7.971034072793104
Davidson County,3041,39,167609,18.14341711960575
Davie County,612,6,42846,14.283713765579051
Duplin County,2523,54,58741,42.951260618647964
Durham County,8053,97,321488,25.049146468919524
Edgecombe County,1500,52,51472,29.142057817842712
Forsyth County,7417,104,382295,19.40124772754025
Franklin County,1295,31,69685,18.583626318432948
Gaston County,5760,92,224529,25.65370174899456
Gates County,150,3,11562,12.973533990659055
Graham County,205,5,8441,24.28622201161
Granville County,1796,50,60443,29.713945370018035
Greene County,708,5,21069,33.60387298875125
Guilford County,9301,190,537174,17.31468760587817
Halifax County,1110,22,50010,22.195560887822435
Harnett County,2451,56,135976,18.025239748190856
Haywood County,637,31,62317,10.2219298104851
Henderson County,2136,64,117417,18.191573622218247
Hertford County,810,33,23677,34.2104151708409
Hoke County,1325,18,55234,23.988847449035013
Hyde County,145,5,4937,29.370062791168724
Iredell County,3246,33,181806,17.854196231147487
Jackson County,714,7,43938,16.250170695070327
Johnston County,4785,57,209339,22.85766149642446
Jones County,161,14,9419,17.093109671939697
Lee County,1777,15,61779,28.763819420838797
Lenoir County,1079,33,55949,19.285420650949973
Lincoln County,1857,15,86111,21.565189116373052
Macon County,659,2,35858,18.378046739918567
Madison County,121,1,21755,5.561939783957711
Martin County,524,13,22440,23.351158645276293
McDowell County,1092,29,45756,23.865722528193025
Mecklenburg County,29829,364,1110356,26.864357017028773
Mitchell County,171,3,14964,11.427425821972735
Montgomery County,1071,35,27173,39.414124314576966
Moore County,1866,34,100880,18.497224425059475
Nash County,2665,48,94298,28.261468960105198
New Hanover County,4547,33,234473,19.39242471414619
Northampton County,492,17,19483,25.25278447877637
Onslow County,2451,26,197938,12.382665279026766
Orange County,2777,57,148476,18.703359465502842
Pamlico County,278,2,12726,21.845041647021844
Pasquotank County,757,33,39824,19.00863800723182
Pender County,1079,8,63060,17.11068823342848
Perquimans County,198,3,13463,14.7069746713214
Person County,473,8,39490,11.977715877437326
Pitt County,5281,33,180742,29.21844396985759
Polk County,337,11,20724,16.261339509747152
Randolph County,3051,54,143667,21.236609659838376
Richmond County,1121,20,44829,25.006134421914386
Robeson County,4954,84,130625,37.92535885167464
Rockingham County,1452,17,91010,15.954290737281617
Rowan County,3635,104,142088,25.582737458476437
Rutherford County,1388,36,67029,20.707454982171896
Sampson County,2348,28,63531,36.95833530087674
Scotland County,1355,17,34823,38.91106452631881
Stanly County,2146,56,62806,34.16870999586027
Stokes County,518,4,45591,11.361891601412559
Surry County,1431,23,71783,19.935082122508113
Swain County,168,3,14271,11.77212528904772
Transylvania County,346,9,34385,10.062527264795696
Tyrrell County,117,3,4016,29.133466135458168
Union County,5186,59,239859,21.621035691802266
Vance County,1095,45,44535,24.587403166049175
Wake County,18579,258,1111761,16.711325545688325
Warren County,366,7,19731,18.549490649232173
Washington County,221,8,11580,19.0846286701209
Watauga County,1095,2,56177,19.491962902967405
Wayne County,3678,73,123131,29.87062559387969
Wilkes County,1346,35,68412,19.674910834356545
Wilson County,2402,57,81801,29.36394420606105
Yadkin County,790,9,37667,20.97326572331218
Yancey County,224,0,18069,12.396922906635675
