,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3837,54,169509,22.635966231881493
Alexander County,504,7,37497,13.441075286022881
Alleghany County,224,0,11137,20.113136392206158
Anson County,563,4,24446,23.030352613924567
Ashe County,254,1,27203,9.337205455280667
Avery County,331,0,17557,18.852879193484082
Beaufort County,875,21,46994,18.619398221049497
Bertie County,560,8,18947,29.556130258088352
Bladen County,837,14,32722,25.579121080618545
Brunswick County,1576,26,142820,11.03486906595715
Buncombe County,2954,82,261191,11.309731192881838
Burke County,2049,38,90485,22.644637232690503
Cabarrus County,3883,63,216453,17.939229301511183
Caldwell County,1603,18,82178,19.506437245978244
Camden County,111,3,10867,10.214410600901813
Carteret County,628,5,69473,9.039482964604954
Caswell County,329,3,22604,14.554946027251814
Catawba County,3032,52,159551,19.00332808945102
Chatham County,1636,57,74470,21.96857795085269
Cherokee County,599,12,28612,20.935271913882286
Chowan County,335,3,13943,24.026393172201104
Clay County,114,2,11231,10.150476360074792
Cleveland County,2118,61,97947,21.62393947747251
Columbus County,1338,56,55508,24.10463356633278
Craven County,1317,33,102139,12.89419320729594
Cumberland County,5300,75,335509,15.796893674983384
Currituck County,177,3,27763,6.375391708388863
Dare County,268,3,37009,7.241481801723905
Davidson County,2683,34,167609,16.007493631010266
Davie County,542,6,42846,12.649955655137003
Duplin County,2154,53,58741,36.66944723446996
Durham County,7636,92,321488,23.75205295376499
Edgecombe County,1313,45,51472,25.509014609884986
Forsyth County,6909,97,382295,18.07243097607868
Franklin County,1202,31,69685,17.249049293248188
Gaston County,4990,77,224529,22.22430064713244
Gates County,129,3,11562,11.157239231966788
Graham County,134,2,8441,15.874896339296292
Granville County,1709,49,60443,28.27457273795146
Greene County,581,5,21069,27.576059613650386
Guilford County,8331,179,537174,15.508941236917646
Halifax County,997,19,50010,19.93601279744051
Harnett County,2128,52,135976,15.649820556568807
Haywood County,590,31,62317,9.467721488518382
Henderson County,1945,64,117417,16.56489264757233
Hertford County,732,28,23677,30.916078895130294
Hoke County,1106,17,55234,20.023898323496397
Hyde County,125,5,4937,25.319019647559248
Iredell County,2726,27,181806,14.994004598308086
Jackson County,537,7,43938,12.22176703536802
Johnston County,4280,56,209339,20.44530641686451
Jones County,149,11,9419,15.819089075273384
Lee County,1601,13,61779,25.91495491995662
Lenoir County,953,31,55949,17.033369675954887
Lincoln County,1535,14,86111,17.825829452683166
Macon County,592,2,35858,16.50956550839422
Madison County,94,1,21755,4.320845782578718
Martin County,429,10,22440,19.11764705882353
McDowell County,898,26,45756,19.62584141970452
Mecklenburg County,27884,345,1110356,25.11266656819975
Mitchell County,105,3,14964,7.016840417000802
Montgomery County,1029,27,27173,37.86847238067199
Moore County,1563,27,100880,15.493655828707375
Nash County,2252,39,94298,23.881736622197714
New Hanover County,3966,29,234473,16.91452747224627
Northampton County,414,17,19483,21.249294256531336
Onslow County,1909,23,197938,9.64443411573321
Orange County,2614,55,148476,17.605538942320646
Pamlico County,236,2,12726,18.544711614018546
Pasquotank County,692,30,39824,17.376456408196063
Pender County,920,5,63060,14.589280050745321
Perquimans County,182,3,13463,13.518532273638861
Person County,421,6,39490,10.660926816915675
Pitt County,4695,27,180742,25.97625344413584
Polk County,261,9,20724,12.594093804284887
Randolph County,2714,51,143667,18.89090744569038
Richmond County,953,15,44829,21.258560306944165
Robeson County,4314,72,130625,33.02583732057416
Rockingham County,1183,14,91010,12.99857158554005
Rowan County,3261,91,142088,22.95056584651765
Rutherford County,1140,32,67029,17.007563890256456
Sampson County,1788,24,63531,28.143740850923173
Scotland County,1034,13,34823,29.693018981707493
Stanly County,1864,56,62806,29.678693118491864
Stokes County,417,3,45591,9.146542080673818
Surry County,1282,21,71783,17.85938174776758
Swain County,139,3,14271,9.740032233200196
Transylvania County,324,7,34385,9.422713392467646
Tyrrell County,114,3,4016,28.38645418326693
Union County,4653,58,239859,19.398896851900492
Vance County,1030,44,44535,23.127876950712924
Wake County,17158,239,1111761,15.43317313703215
Warren County,336,7,19731,17.029040596016422
Washington County,202,8,11580,17.443868739205527
Watauga County,622,1,56177,11.072146964060025
Wayne County,3250,67,123131,26.39465284940429
Wilkes County,1192,33,68412,17.423843770098813
Wilson County,2145,49,81801,26.22217332306451
Yadkin County,728,7,37667,19.327262590596543
Yancey County,119,0,18069,6.585865294150202
