,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3076,46,169509,18.14652909285053
Alexander County,396,2,37497,10.560844867589408
Alleghany County,203,0,11137,18.22752985543683
Anson County,437,3,24446,17.876135155035588
Ashe County,194,1,27203,7.131566371356101
Avery County,133,0,17557,7.575326080765507
Beaufort County,558,9,46994,11.873856236966422
Bertie County,413,6,18947,21.79764606534016
Bladen County,702,10,32722,21.453456390196198
Brunswick County,1379,24,142820,9.655510432712505
Buncombe County,2424,70,261191,9.280564797408793
Burke County,1840,30,90485,20.334862131845057
Cabarrus County,3136,53,216453,14.488133682600841
Caldwell County,1417,17,82178,17.2430577526832
Camden County,96,3,10867,8.83408484402319
Carteret County,482,5,69473,6.937947116145841
Caswell County,243,2,22604,10.750309679702708
Catawba County,2591,44,159551,16.23932159622942
Chatham County,1468,56,74470,19.71263596078958
Cherokee County,409,5,28612,14.294701523836153
Chowan County,211,2,13943,15.133041669655023
Clay County,88,1,11231,7.835455435847209
Cleveland County,1586,35,97947,16.19243060022257
Columbus County,1095,51,55508,19.7268862145997
Craven County,958,26,102139,9.379375165216029
Cumberland County,3994,66,335509,11.904300629789365
Currituck County,96,0,27763,3.4578395706515868
Dare County,241,2,37009,6.511929530654705
Davidson County,2145,32,167609,12.797642131389125
Davie County,473,6,42846,11.039536946272698
Duplin County,2076,50,58741,35.3415842426925
Durham County,6842,83,321488,21.282287363758524
Edgecombe County,938,19,51472,18.223500155424308
Forsyth County,6119,74,382295,16.005963980695537
Franklin County,1041,29,69685,14.93865250771328
Gaston County,4052,63,224529,18.046666577591314
Gates County,83,3,11562,7.178688808164678
Graham County,55,0,8441,6.515815661651463
Granville County,1508,43,60443,24.9491256224873
Greene County,403,4,21069,19.127628269020835
Guilford County,6771,170,537174,12.604854293022372
Halifax County,861,11,50010,17.21655668866227
Harnett County,1595,46,135976,11.730011178443254
Haywood County,503,25,62317,8.071633743601264
Henderson County,1687,60,117417,14.367595833652707
Hertford County,531,14,23677,22.42682772310681
Hoke County,865,12,55234,15.66064380635116
Hyde County,92,0,4937,18.634798460603605
Iredell County,2314,24,181806,12.727852766135332
Jackson County,488,7,43938,11.106559242569075
Johnston County,3780,50,209339,18.05683604106258
Jones County,133,7,9419,14.120394946384966
Lee County,1423,12,61779,23.033716958837147
Lenoir County,776,16,55949,13.869774258699888
Lincoln County,1093,12,86111,12.69291960376723
Macon County,538,2,35858,15.003625411344748
Madison County,67,1,21755,3.0797517811997244
Martin County,337,7,22440,15.017825311942959
McDowell County,786,24,45756,17.17807500655652
Mecklenburg County,25112,284,1110356,22.616169949097408
Mitchell County,92,3,14964,6.148088746324512
Montgomery County,869,18,27173,31.98027453722445
Moore County,1281,21,100880,12.698255352894527
Nash County,1629,22,94298,17.27502173959151
New Hanover County,2976,21,234473,12.69229292924985
Northampton County,336,17,19483,17.2458040342863
Onslow County,1460,12,197938,7.376047045034304
Orange County,2239,50,148476,15.079878229478165
Pamlico County,115,2,12726,9.036617947509036
Pasquotank County,544,23,39824,13.660104459622339
Pender County,762,4,63060,12.0837297811608
Perquimans County,133,2,13463,9.878927430736091
Person County,316,5,39490,8.002025829323879
Pitt County,3376,17,180742,18.678558387093204
Polk County,225,7,20724,10.856977417486972
Randolph County,2400,43,143667,16.705297667522814
Richmond County,658,11,44829,14.677998616966695
Robeson County,3482,60,130625,26.65645933014354
Rockingham County,795,8,91010,8.735303812767828
Rowan County,2770,60,142088,19.494960869320423
Rutherford County,923,19,67029,13.770159184830446
Sampson County,1603,21,63531,25.231776612992082
Scotland County,643,8,34823,18.46480774200959
Stanly County,1467,31,62806,23.35764098971436
Stokes County,328,3,45591,7.194402403983243
Surry County,1148,16,71783,15.992644498000919
Swain County,130,3,14271,9.109382664144068
Transylvania County,243,2,34385,7.067035044350734
Tyrrell County,107,2,4016,26.643426294820717
Union County,3898,48,239859,16.251214255041504
Vance County,897,42,44535,20.141461771640284
Wake County,14745,199,1111761,13.262742621840486
Warren County,287,6,19731,14.545638842430693
Washington County,173,4,11580,14.939550949913643
Watauga County,424,0,56177,7.547572850098795
Wayne County,2799,51,123131,22.731887177071574
Wilkes County,1017,20,68412,14.86581301526048
Wilson County,1715,36,81801,20.965513869023606
Yadkin County,630,7,37667,16.725515703400855
Yancey County,88,0,18069,4.870219713321158
