,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3695,48,169509,21.798252600156925
Alexander County,483,5,37497,12.881030482438595
Alleghany County,219,0,11137,19.66418245488013
Anson County,549,4,24446,22.457661785159125
Ashe County,247,1,27203,9.079880895489469
Avery County,321,0,17557,18.28330580395284
Beaufort County,818,17,46994,17.4064774226497
Bertie County,540,7,18947,28.50055417744234
Bladen County,818,12,32722,24.998471976040584
Brunswick County,1523,26,142820,10.663772580871026
Buncombe County,2844,79,261191,10.888583450425168
Burke County,2018,33,90485,22.30203901199094
Cabarrus County,3739,61,216453,17.27395785690196
Caldwell County,1557,18,82178,18.94667672613108
Camden County,107,3,10867,9.846323732400847
Carteret County,608,5,69473,8.751601341528364
Caswell County,315,3,22604,13.935586621836842
Catawba County,2958,51,159551,18.53952654637075
Chatham County,1589,57,74470,21.337451322680273
Cherokee County,567,10,28612,19.81686005871662
Chowan County,306,3,13943,21.946496449831457
Clay County,109,2,11231,9.705280028492565
Cleveland County,1994,60,97947,20.357948686534556
Columbus County,1305,54,55508,23.51012466671471
Craven County,1247,30,102139,12.20885264198788
Cumberland County,5018,75,335509,14.956379709635211
Currituck County,150,2,27763,5.4028743291431045
Dare County,258,2,37009,6.971277256883461
Davidson County,2575,34,167609,15.363136824394871
Davie County,527,6,42846,12.299864631470848
Duplin County,2137,53,58741,36.380041197800516
Durham County,7486,90,321488,23.28547255263027
Edgecombe County,1254,37,51472,24.362760335716505
Forsyth County,6786,94,382295,17.750689912240546
Franklin County,1177,32,69685,16.890292028413576
Gaston County,4806,75,224529,21.404807396817336
Gates County,121,3,11562,10.465317419131638
Graham County,122,1,8441,14.453263831299608
Granville County,1680,48,60443,27.794781860595933
Greene County,498,5,21069,23.636622525986045
Guilford County,8064,176,537174,15.011895586904801
Halifax County,957,18,50010,19.13617276544691
Harnett County,2003,51,135976,14.730540683650055
Haywood County,577,31,62317,9.259110676059501
Henderson County,1894,64,117417,16.130543277378916
Hertford County,681,26,23677,28.762089791781055
Hoke County,1058,16,55234,19.154868378172864
Hyde County,124,4,4937,25.116467490378774
Iredell County,2653,27,181806,14.592477696005632
Jackson County,529,7,43938,12.039692293686558
Johnston County,4217,55,209339,20.14435914951347
Jones County,143,11,9419,15.182078776940227
Lee County,1569,13,61779,25.39697955615986
Lenoir County,937,27,55949,16.747394948971383
Lincoln County,1437,14,86111,16.687763468081894
Macon County,582,2,35858,16.23068771264432
Madison County,89,1,21755,4.091013560101127
Martin County,418,10,22440,18.627450980392158
McDowell County,880,26,45756,19.23245038902002
Mecklenburg County,27431,339,1110356,24.704689306852938
Mitchell County,102,3,14964,6.8163592622293505
Montgomery County,1020,25,27173,37.537261251978066
Moore County,1505,27,100880,14.918715305313244
Nash County,2091,36,94298,22.174383337928695
New Hanover County,3875,29,234473,16.52642308496074
Northampton County,401,17,19483,20.58204588615716
Onslow County,1825,21,197938,9.22005880629288
Orange County,2570,54,148476,17.309194752013795
Pamlico County,228,2,12726,17.916077322017916
Pasquotank County,658,29,39824,16.522699879469666
Pender County,888,5,63060,14.081826831588963
Perquimans County,171,3,13463,12.701478125232118
Person County,405,6,39490,10.255760952139783
Pitt County,4498,27,180742,24.886302021666243
Polk County,257,8,20724,12.401080872418452
Randolph County,2645,50,143667,18.4106301377491
Richmond County,896,13,44829,19.98706194650784
Robeson County,4218,72,130625,32.29090909090909
Rockingham County,1131,13,91010,12.427205801560268
Rowan County,3155,87,142088,22.204549293395644
Rutherford County,1091,22,67029,16.276537021289293
Sampson County,1751,24,63531,27.561348003336953
Scotland County,907,12,34823,26.046004077764696
Stanly County,1781,56,62806,28.357163328344427
Stokes County,404,3,45591,8.861398082954969
Surry County,1271,21,71783,17.706142122786733
Swain County,139,3,14271,9.740032233200196
Transylvania County,302,7,34385,8.782899520139596
Tyrrell County,112,2,4016,27.888446215139442
Union County,4553,58,239859,18.981985249667513
Vance County,1014,43,44535,22.768608959245537
Wake County,16812,228,1111761,15.12195516842199
Warren County,313,7,19731,15.863362221884344
Washington County,200,8,11580,17.271157167530223
Watauga County,578,1,56177,10.28890827206864
Wayne County,3135,64,123131,25.46068821011768
Wilkes County,1152,32,68412,16.839151026135767
Wilson County,2053,46,81801,25.097492695688317
Yadkin County,707,7,37667,18.76974540048318
Yancey County,119,0,18069,6.585865294150202
