,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3417,46,169509,20.158221687344035
Alexander County,442,3,37497,11.787609675440702
Alleghany County,210,0,11137,18.856065367693276
Anson County,483,3,24446,19.757833592407756
Ashe County,227,1,27203,8.344667867514612
Avery County,224,0,17557,12.758443925499801
Beaufort County,680,10,46994,14.469932331787037
Bertie County,492,6,18947,25.967171583891908
Bladen County,763,10,32722,23.317645620683333
Brunswick County,1434,25,142820,10.040610558745273
Buncombe County,2643,72,261191,10.119031666481616
Burke County,1926,31,90485,21.285295905398684
Cabarrus County,3430,55,216453,15.84639621534467
Caldwell County,1483,17,82178,18.046192411594344
Camden County,102,3,10867,9.386215146774639
Carteret County,554,5,69473,7.9743209592215685
Caswell County,258,3,22604,11.413909042647319
Catawba County,2729,47,159551,17.10424879818992
Chatham County,1541,56,74470,20.692896468376528
Cherokee County,495,6,28612,17.300433384593877
Chowan County,252,2,13943,18.073585311625905
Clay County,96,1,11231,8.547769566378774
Cleveland County,1704,46,97947,17.397163772244173
Columbus County,1186,52,55508,21.366289543849536
Craven County,1070,26,102139,10.475920069708925
Cumberland County,4478,69,335509,13.346884882372754
Currituck County,122,0,27763,4.394337787703058
Dare County,254,2,37009,6.863195438947283
Davidson County,2312,32,167609,13.794008674951822
Davie County,500,6,42846,11.669700788871774
Duplin County,2098,52,58741,35.71610970191178
Durham County,7129,85,321488,22.175011197929628
Edgecombe County,1073,22,51472,20.84628535903015
Forsyth County,6432,82,382295,16.82470343582835
Franklin County,1116,30,69685,16.01492430221712
Gaston County,4325,66,224529,19.262545150069702
Gates County,101,3,11562,8.735512887043765
Graham County,81,0,8441,9.596019428977609
Granville County,1601,47,60443,26.487765332627433
Greene County,458,5,21069,21.738098628316482
Guilford County,7322,171,537174,13.630592694359741
Halifax County,902,13,50010,18.03639272145571
Harnett County,1774,46,135976,13.046419956462906
Haywood County,529,31,62317,8.488855368519024
Henderson County,1754,60,117417,14.938211672926407
Hertford County,595,18,23677,25.129872872407823
Hoke County,915,13,55234,16.56588333272984
Hyde County,110,3,4937,22.280737289852137
Iredell County,2494,24,181806,13.717919100579739
Jackson County,510,7,43938,11.60726478219309
Johnston County,4016,52,209339,19.184194058441093
Jones County,142,7,9419,15.075910393884701
Lee County,1491,13,61779,24.13441460690526
Lenoir County,857,19,55949,15.31752131405387
Lincoln County,1225,13,86111,14.225824807515881
Macon County,551,2,35858,15.366166545819622
Madison County,74,1,21755,3.401516892668352
Martin County,375,7,22440,16.711229946524064
McDowell County,832,24,45756,18.183407640528017
Mecklenburg County,26301,316,1110356,23.68699768362579
Mitchell County,94,3,14964,6.28174284950548
Montgomery County,943,18,27173,34.70356603981894
Moore County,1400,22,100880,13.877874702616971
Nash County,1835,27,94298,19.45958556915311
New Hanover County,3413,24,234473,14.556046964895746
Northampton County,353,17,19483,18.118359595544835
Onslow County,1627,17,197938,8.219745576897816
Orange County,2429,51,148476,16.359546323985022
Pamlico County,210,2,12726,16.501650165016503
Pasquotank County,602,26,39824,15.116512655685014
Pender County,809,4,63060,12.829051696796702
Perquimans County,151,2,13463,11.215925128128946
Person County,357,6,39490,9.040263357812105
Pitt County,4044,19,180742,22.3744342764825
Polk County,243,7,20724,11.72553561088593
Randolph County,2499,45,143667,17.394391196308128
Richmond County,736,11,44829,16.417943741774298
Robeson County,3839,63,130625,29.389473684210525
Rockingham County,991,8,91010,10.888913306230085
Rowan County,2945,77,142088,20.726591971172795
Rutherford County,1018,20,67029,15.187456175685151
Sampson County,1675,21,63531,26.365081613700397
Scotland County,746,8,34823,21.42262297906556
Stanly County,1623,53,62806,25.841480113364966
Stokes County,361,3,45591,7.9182294751157025
Surry County,1214,19,71783,16.91208224788599
Swain County,135,3,14271,9.459743535841918
Transylvania County,277,5,34385,8.055838301584993
Tyrrell County,108,2,4016,26.89243027888446
Union County,4180,52,239859,17.4269049733385
Vance County,952,42,44535,21.37644549230942
Wake County,15819,210,1111761,14.228777587988786
Warren County,297,7,19731,15.052455526835944
Washington County,188,6,11580,16.23488773747841
Watauga County,491,0,56177,8.740231767449313
Wayne County,2926,57,123131,23.763308996109835
Wilkes County,1081,26,68412,15.801321405601357
Wilson County,1852,40,81801,22.640310020659893
Yadkin County,659,7,37667,17.495420394509782
Yancey County,107,0,18069,5.921744424151862
