,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3962,54,169509,23.373390203470024
Alexander County,528,7,37497,14.08112649011921
Alleghany County,236,0,11137,21.190625841788634
Anson County,606,4,24446,24.789331587989857
Ashe County,268,1,27203,9.851854574863067
Avery County,362,0,17557,20.61855670103093
Beaufort County,971,24,46994,20.662212197301784
Bertie County,594,9,18947,31.350609595186572
Bladen County,914,15,32722,27.932277978118698
Brunswick County,1646,27,142820,11.524996499089763
Buncombe County,3151,82,261191,12.063968513463328
Burke County,2130,40,90485,23.539813228711942
Cabarrus County,4041,70,216453,18.6691799143463
Caldwell County,1675,18,82178,20.382584146608583
Camden County,115,3,10867,10.58249746940278
Carteret County,718,5,69473,10.334950268449614
Caswell County,362,5,22604,16.01486462572996
Catawba County,3204,52,159551,20.081353297691646
Chatham County,1689,58,74470,22.68027393581308
Cherokee County,646,12,28612,22.57793932615686
Chowan County,361,4,13943,25.891128164670445
Clay County,123,2,11231,10.951829756922804
Cleveland County,2254,63,97947,23.01244550624317
Columbus County,1378,57,55508,24.825250414354688
Craven County,1669,39,102139,16.340477192845043
Cumberland County,5533,77,335509,16.49136088748737
Currituck County,184,3,27763,6.627525843748875
Dare County,272,3,37009,7.349563619660083
Davidson County,2797,37,167609,16.687648037993185
Davie County,568,6,42846,13.256780096158334
Duplin County,2394,54,58741,40.75517951686216
Durham County,7780,95,321488,24.199970138854326
Edgecombe County,1373,49,51472,26.674696922598695
Forsyth County,7067,103,382295,18.48572437515531
Franklin County,1212,31,69685,17.392552199182035
Gaston County,5224,84,224529,23.266482280685345
Gates County,144,3,11562,12.454592631032693
Graham County,165,3,8441,19.54744698495439
Granville County,1746,50,60443,28.886719719405058
Greene County,618,5,21069,29.332194218994733
Guilford County,8689,181,537174,16.175391958657716
Halifax County,1040,19,50010,20.795840831833633
Harnett County,2272,54,135976,16.708830970171206
Haywood County,613,31,62317,9.83680215671486
Henderson County,2032,64,117417,17.305841573196385
Hertford County,755,30,23677,31.887485745660346
Hoke County,1195,18,55234,21.63522468045045
Hyde County,126,5,4937,25.52157180473972
Iredell County,3098,32,181806,17.040141689493197
Jackson County,659,7,43938,14.998406846010287
Johnston County,4542,57,209339,21.696864893784724
Jones County,159,11,9419,16.880772905828643
Lee County,1661,15,61779,26.886158727075543
Lenoir County,1014,33,55949,18.12364832257949
Lincoln County,1659,14,86111,19.265831310750077
Macon County,604,2,35858,16.844218863294106
Madison County,110,1,21755,5.05630889450701
Martin County,461,9,22440,20.54367201426025
McDowell County,1011,27,45756,22.09546289011277
Mecklenburg County,28844,354,1110356,25.977254141914845
Mitchell County,159,3,14964,10.625501202886928
Montgomery County,1052,30,27173,38.71490082066757
Moore County,1703,29,100880,16.88144329896907
Nash County,2400,40,94298,25.451229082271098
New Hanover County,4328,30,234473,18.45841525463486
Northampton County,459,17,19483,23.559000153980392
Onslow County,2237,25,197938,11.301518657357354
Orange County,2675,55,148476,18.016379751609687
Pamlico County,270,2,12726,21.216407355021218
Pasquotank County,709,31,39824,17.80333467255926
Pender County,966,7,63060,15.318744053282588
Perquimans County,187,3,13463,13.889920522914656
Person County,437,8,39490,11.066092681691568
Pitt County,4945,29,180742,27.359440528488122
Polk County,320,11,20724,15.441034549314804
Randolph County,2863,54,143667,19.928028009215755
Richmond County,1026,17,44829,22.886970487853844
Robeson County,4565,76,130625,34.94736842105263
Rockingham County,1286,14,91010,14.130315349961542
Rowan County,3402,100,142088,23.942908620010133
Rutherford County,1231,32,67029,18.365185218338333
Sampson County,2250,28,63531,35.415781272134865
Scotland County,1174,13,34823,33.71335037188065
Stanly County,1989,56,62806,31.668948826545236
Stokes County,453,3,45591,9.936171612818319
Surry County,1334,23,71783,18.583787247677026
Swain County,144,3,14271,10.090393104898045
Transylvania County,333,7,34385,9.684455431147303
Tyrrell County,116,3,4016,28.884462151394423
Union County,4849,59,239859,20.216043592277128
Vance County,1050,44,44535,23.576961940047156
Wake County,17681,244,1111761,15.903597985538259
Warren County,347,7,19731,17.586538948862195
Washington County,209,8,11580,18.048359240069086
Watauga County,896,1,56177,15.949587909642736
Wayne County,3400,69,123131,27.612867596299875
Wilkes County,1244,34,68412,18.183944337250775
Wilson County,2262,52,81801,27.652473686140755
Yadkin County,746,9,37667,19.805134467836567
Yancey County,215,0,18069,11.89883225413692
