,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2921,44,169509,17.23212336808075
Alexander County,369,2,37497,9.840787262981038
Alleghany County,191,0,11137,17.15004040585436
Anson County,406,3,24446,16.608034034197825
Ashe County,184,1,27203,6.763959857368673
Avery County,120,0,17557,6.834880674374893
Beaufort County,504,9,46994,10.72477337532451
Bertie County,362,5,18947,19.105927059692828
Bladen County,674,9,32722,20.597762972923416
Brunswick County,1358,23,142820,9.50847220277272
Buncombe County,2298,64,261191,8.79815920150388
Burke County,1799,27,90485,19.88174835608112
Cabarrus County,2986,51,216453,13.795142594466235
Caldwell County,1357,14,82178,16.51293533549125
Camden County,87,2,10867,8.005889389896016
Carteret County,436,5,69473,6.275819383069682
Caswell County,219,2,22604,9.688550698991328
Catawba County,2454,39,159551,15.38066198268892
Chatham County,1433,56,74470,19.242648046193096
Cherokee County,367,5,28612,12.826785963931219
Chowan County,186,2,13943,13.340027253819121
Clay County,83,1,11231,7.390259104264981
Cleveland County,1488,25,97947,15.191889491255475
Columbus County,1040,50,55508,18.736038048569576
Craven County,875,24,102139,8.566757066350757
Cumberland County,3745,65,335509,11.162144681662786
Currituck County,89,0,27763,3.2057054352915753
Dare County,232,2,37009,6.268745440298305
Davidson County,2040,31,167609,12.17118412495749
Davie County,461,6,42846,10.759464127339776
Duplin County,2060,49,58741,35.06920209053302
Durham County,6626,81,321488,20.61041158612452
Edgecombe County,854,17,51472,16.591544917625118
Forsyth County,5876,66,382295,15.370329196039707
Franklin County,976,28,69685,14.005883619143288
Gaston County,3846,61,224529,17.129190438651577
Gates County,75,2,11562,6.4867669953295275
Graham County,50,0,8441,5.923468783319512
Granville County,1446,37,60443,23.923365815727212
Greene County,373,3,21069,17.703735345768663
Guilford County,6427,163,537174,11.964465890009569
Halifax County,816,9,50010,16.316736652669466
Harnett County,1509,43,135976,11.097546625875154
Haywood County,487,25,62317,7.814881974421105
Henderson County,1647,59,117417,14.026929660951991
Hertford County,467,12,23677,19.723782573805803
Hoke County,833,12,55234,15.081290509468806
Hyde County,77,0,4937,15.596516102896496
Iredell County,2214,18,181806,12.177815913666215
Jackson County,469,7,43938,10.674131731075606
Johnston County,3618,49,209339,17.282971639302758
Jones County,126,6,9419,13.377216264996283
Lee County,1386,11,61779,22.434807944447144
Lenoir County,727,11,55949,12.99397665731291
Lincoln County,1029,10,86111,11.94969283831334
Macon County,520,2,35858,14.501645378994924
Madison County,58,1,21755,2.66605378074006
Martin County,312,7,22440,13.903743315508022
McDowell County,753,23,45756,16.456858116968267
Mecklenburg County,24260,274,1110356,21.848848477425257
Mitchell County,89,3,14964,5.94760759155306
Montgomery County,797,17,27173,29.330585507673057
Moore County,1231,21,100880,12.202616970658207
Nash County,1476,21,94298,15.652505885596725
New Hanover County,2846,21,234473,12.137858090270521
Northampton County,336,17,19483,17.2458040342863
Onslow County,1355,13,197938,6.845577908233891
Orange County,1955,50,148476,13.167111182952127
Pamlico County,90,2,12726,7.072135785007072
Pasquotank County,513,22,39824,12.881679389312977
Pender County,740,4,63060,11.734855692990802
Perquimans County,105,2,13463,7.7991532347916515
Person County,279,2,39490,7.065079767029628
Pitt County,2766,15,180742,15.303581901273638
Polk County,209,6,20724,10.084925690021231
Randolph County,2325,43,143667,16.183257115412726
Richmond County,619,9,44829,13.808026054562895
Robeson County,3219,58,130625,24.643062200956937
Rockingham County,698,7,91010,7.669486869574772
Rowan County,2572,54,142088,18.101458251224592
Rutherford County,897,17,67029,13.382267376807054
Sampson County,1558,20,63531,24.523460987549385
Scotland County,561,8,34823,16.1100422134796
Stanly County,1381,31,62806,21.98834506257364
Stokes County,320,3,45591,7.0189291746177975
Surry County,1091,14,71783,15.198584623100176
Swain County,123,3,14271,8.61887744376708
Transylvania County,207,1,34385,6.0200668896321075
Tyrrell County,103,2,4016,25.647410358565736
Union County,3702,47,239859,15.434067514664866
Vance County,858,42,44535,19.265746042438533
Wake County,13842,188,1111761,12.450517692201831
Warren County,281,6,19731,14.241548831787542
Washington County,168,4,11580,14.507772020725389
Watauga County,387,0,56177,6.888940313651494
Wayne County,2681,46,123131,21.77355824284705
Wilkes County,981,20,68412,14.339589545693737
Wilson County,1670,36,81801,20.41539834476351
Yadkin County,599,7,37667,15.902514137043035
Yancey County,85,0,18069,4.704189495821573
