,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,4018,55,169509,23.703756142741682
Alexander County,541,7,37497,14.427820892338053
Alleghany County,238,0,11137,21.370207416719044
Anson County,630,6,24446,25.7710872944449
Ashe County,279,1,27203,10.256221740249238
Avery County,367,0,17557,20.903343395796547
Beaufort County,985,26,46994,20.960122568838575
Bertie County,608,11,18947,32.08951285163878
Bladen County,930,16,32722,28.421245645131716
Brunswick County,1681,27,142820,11.77006021565607
Buncombe County,3224,84,261191,12.343457469820935
Burke County,2155,42,90485,23.81610211637288
Cabarrus County,4112,74,216453,18.997195696063347
Caldwell County,1710,18,82178,20.80848888997055
Camden County,116,3,10867,10.67451918652802
Carteret County,744,5,69473,10.709196378449182
Caswell County,381,5,22604,16.855423818793135
Catawba County,3255,53,159551,20.401000307111833
Chatham County,1703,58,74470,22.868269101651673
Cherokee County,659,12,28612,23.03229414231791
Chowan County,375,4,13943,26.89521623753855
Clay County,125,2,11231,11.129908289555694
Cleveland County,2328,68,97947,23.767956139544857
Columbus County,1409,57,55508,25.383728471571665
Craven County,1711,39,102139,16.75168153202988
Cumberland County,5664,80,335509,16.881812410397337
Currituck County,186,3,27763,6.699564168137449
Dare County,282,3,37009,7.619768164500527
Davidson County,2883,37,167609,17.200746976594335
Davie County,587,6,42846,13.700228726135462
Duplin County,2414,54,58741,41.09565720706151
Durham County,7878,95,321488,24.50480266759568
Edgecombe County,1412,50,51472,27.432390425862604
Forsyth County,7182,104,382295,18.786539190938935
Franklin County,1243,31,69685,17.837411207576952
Gaston County,5352,85,224529,23.836564541774113
Gates County,144,3,11562,12.454592631032693
Graham County,177,3,8441,20.96907949295107
Granville County,1770,50,60443,29.283788031699288
Greene County,633,5,21069,30.044140680620817
Guilford County,8859,185,537174,16.49186297177451
Halifax County,1065,21,50010,21.295740851829635
Harnett County,2331,54,135976,17.142731070188855
Haywood County,624,31,62317,10.013318998026222
Henderson County,2063,64,117417,17.56985785703944
Hertford County,779,30,23677,32.90112767664822
Hoke County,1243,18,55234,22.50425462577398
Hyde County,128,5,4937,25.92667611910067
Iredell County,3138,33,181806,17.26015643048084
Jackson County,670,7,43938,15.248759615822294
Johnston County,4602,57,209339,21.983481338880953
Jones County,160,14,9419,16.98694128888417
Lee County,1683,15,61779,27.242266789685814
Lenoir County,1031,33,55949,18.427496469999465
Lincoln County,1714,15,86111,19.904541812312015
Macon County,630,2,35858,17.56930113224385
Madison County,112,1,21755,5.1482417834980465
Martin County,486,9,22440,21.657754010695186
McDowell County,1034,27,45756,22.598129207098523
Mecklenburg County,29132,359,1110356,26.236630414029374
Mitchell County,166,3,14964,11.093290564020315
Montgomery County,1053,33,27173,38.75170205718912
Moore County,1753,33,100880,17.377081681205393
Nash County,2463,43,94298,26.119323845680714
New Hanover County,4379,32,234473,18.67592430684983
Northampton County,464,17,19483,23.815634142585843
Onslow County,2281,25,197938,11.523810486111813
Orange County,2703,56,148476,18.20496241816859
Pamlico County,269,2,12726,21.137828068521138
Pasquotank County,717,31,39824,18.004218561671355
Pender County,985,7,63060,15.620044402156676
Perquimans County,189,3,13463,14.038475822624973
Person County,446,8,39490,11.293998480628007
Pitt County,5019,29,180742,27.768863905456396
Polk County,322,11,20724,15.537541015248022
Randolph County,2908,54,143667,20.241252340481807
Richmond County,1049,17,44829,23.400031229784293
Robeson County,4677,83,130625,35.80478468899521
Rockingham County,1323,14,91010,14.536864080870235
Rowan County,3501,102,142088,24.63965992905805
Rutherford County,1260,32,67029,18.797833773441347
Sampson County,2287,28,63531,35.99817411972108
Scotland County,1257,16,34823,36.0968325531976
Stanly County,2033,56,62806,32.36951883578002
Stokes County,468,4,45591,10.26518391787853
Surry County,1363,23,71783,18.987782622626526
Swain County,154,3,14271,10.791114848293743
Transylvania County,335,8,34385,9.74262032863167
Tyrrell County,116,3,4016,28.884462151394423
Union County,4943,59,239859,20.60794049837613
Vance County,1072,44,44535,24.070955428314807
Wake County,17878,256,1111761,16.08079434338855
Warren County,355,7,19731,17.991992296386396
Washington County,214,8,11580,18.48013816925734
Watauga County,927,1,56177,16.501415169909393
Wayne County,3459,69,123131,28.092032063412137
Wilkes County,1270,34,68412,18.563994620826755
Wilson County,2296,54,81801,28.068116526692826
Yadkin County,752,9,37667,19.96442509358324
Yancey County,217,0,18069,12.00951906580331
