,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2343,41,169509,13.822274923455392
Alexander County,295,2,37497,7.867296050350695
Alleghany County,165,0,11137,14.815479931759002
Anson County,318,2,24446,13.00826311052933
Ashe County,142,1,27203,5.220012498621475
Avery County,99,0,17557,5.638776556359287
Beaufort County,391,2,46994,8.320211090777546
Bertie County,263,5,18947,13.880825460495066
Bladen County,603,7,32722,18.427968950553144
Brunswick County,1231,19,142820,8.619241002660692
Buncombe County,1785,46,261191,6.834079275319594
Burke County,1637,28,90485,18.09139636403824
Cabarrus County,2520,49,216453,11.64225028066139
Caldwell County,1179,14,82178,14.346905497821801
Camden County,65,2,10867,5.981411613140701
Carteret County,332,6,69473,4.778834943071409
Caswell County,191,2,22604,8.449831888161388
Catawba County,2018,29,159551,12.647993431567336
Chatham County,1274,52,74470,17.10756009131194
Cherokee County,265,3,28612,9.26184817559066
Chowan County,148,1,13943,10.614645341748547
Clay County,76,0,11231,6.766984240049862
Cleveland County,1128,18,97947,11.516432356274311
Columbus County,864,48,55508,15.565323917273187
Craven County,695,11,102139,6.804452755558602
Cumberland County,3021,51,335509,9.004229394740529
Currituck County,71,0,27763,2.557360515794403
Dare County,205,2,37009,5.539193169229106
Davidson County,1709,18,167609,10.196349838015859
Davie County,403,6,42846,9.405778835830649
Duplin County,1966,48,58741,33.46895694659607
Durham County,6038,79,321488,18.781416413676403
Edgecombe County,616,12,51472,11.96767174386074
Forsyth County,5091,51,382295,13.316941105690631
Franklin County,828,25,69685,11.88204061132238
Gaston County,3222,47,224529,14.350039415843833
Gates County,46,2,11562,3.9785504238021105
Graham County,31,0,8441,3.6725506456580974
Granville County,1209,27,60443,20.002316231821716
Greene County,322,3,21069,15.283117376239973
Guilford County,5428,153,537174,10.10473328939971
Halifax County,668,6,50010,13.357328534293142
Harnett County,1219,39,135976,8.964817320703654
Haywood County,375,10,62317,6.017619590159988
Henderson County,1452,54,117417,12.366182069036
Hertford County,313,11,23677,13.219580183300248
Hoke County,703,9,55234,12.727667740884238
Hyde County,38,0,4937,7.696981972858011
Iredell County,1771,18,181806,9.741152657228035
Jackson County,436,5,43938,9.923073421639582
Johnston County,3173,46,209339,15.157233004839041
Jones County,79,4,9419,8.387302261386559
Lee County,1253,11,61779,20.28197283866686
Lenoir County,553,12,55949,9.884001501367317
Lincoln County,802,3,86111,9.313560404594071
Macon County,460,3,35858,12.82837860449551
Madison County,41,0,21755,1.8846242243162492
Martin County,257,6,22440,11.452762923351159
McDowell County,662,13,45756,14.468047906285515
Mecklenburg County,21704,222,1110356,19.546884062408814
Mitchell County,116,2,14964,7.751937984496124
Montgomery County,644,14,27173,23.699996319876348
Moore County,968,20,100880,9.595559080095162
Nash County,1109,12,94298,11.760588771766104
New Hanover County,2566,20,234473,10.943690744776584
Northampton County,329,16,19483,16.88651645023867
Onslow County,1015,10,197938,5.127868322403985
Orange County,1316,46,148476,8.863385328268542
Pamlico County,67,1,12726,5.2648121955052645
Pasquotank County,371,19,39824,9.315990357573323
Pender County,638,3,63060,10.117348556929908
Perquimans County,76,2,13463,5.645101388992052
Person County,203,2,39490,5.140541909344138
Pitt County,1875,11,180742,10.37390313264211
Polk County,148,5,20724,7.1414784790580965
Randolph County,2125,37,143667,14.79114897645249
Richmond County,498,9,44829,11.108880412233153
Robeson County,2726,53,130625,20.8688995215311
Rockingham County,509,7,91010,5.592792000879024
Rowan County,2123,48,142088,14.941444738471933
Rutherford County,696,14,67029,10.383565322472363
Sampson County,1453,13,63531,22.870724528183093
Scotland County,320,2,34823,9.189328891824369
Stanly County,1000,24,62806,15.922045664426966
Stokes County,282,3,45591,6.185431335131934
Surry County,897,9,71783,12.495994873438
Swain County,107,2,14271,7.497722654333964
Transylvania County,132,1,34385,3.8388832339683003
Tyrrell County,94,1,4016,23.406374501992033
Union County,2975,42,239859,12.403120166431112
Vance County,751,40,44535,16.863141349500392
Wake County,11576,152,1111761,10.412309839974599
Warren County,254,7,19731,12.873143783893365
Washington County,131,4,11580,11.312607944732298
Watauga County,283,0,56177,5.037648859853677
Wayne County,2372,40,123131,19.26403586424215
Wilkes County,762,10,68412,11.138396772496053
Wilson County,1466,35,81801,17.921541301451082
Yadkin County,524,6,37667,13.9113813152096
Yancey County,101,0,18069,5.589683989152692
