,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,2698,44,169509,15.916559002766816
Alexander County,351,2,37497,9.360748859908792
Alleghany County,182,0,11137,16.341923318667504
Anson County,384,3,24446,15.7080913032807
Ashe County,177,1,27203,6.506635297577473
Avery County,113,0,17557,6.436179301703024
Beaufort County,465,3,46994,9.894880197472018
Bertie County,328,5,18947,17.311447722594608
Bladen County,659,8,32722,20.13935578509871
Brunswick County,1330,22,142820,9.312421229519675
Buncombe County,2135,54,261191,8.174094819499906
Burke County,1731,27,90485,19.130242581643365
Cabarrus County,2840,50,216453,13.120631268681885
Caldwell County,1296,14,82178,15.770644211346102
Camden County,82,2,10867,7.545780804269808
Carteret County,392,5,69473,5.642479812301182
Caswell County,205,2,22604,9.069191293576358
Catawba County,2322,35,159551,14.55334031124844
Chatham County,1377,55,74470,18.490667382838726
Cherokee County,311,5,28612,10.869565217391305
Chowan County,168,2,13943,12.04905687441727
Clay County,77,1,11231,6.8560235063663075
Cleveland County,1358,24,97947,13.864641081401166
Columbus County,1003,50,55508,18.069467464149312
Craven County,798,22,102139,7.8128824445118905
Cumberland County,3528,61,335509,10.515366204781392
Currituck County,85,0,27763,3.061628786514426
Dare County,216,2,37009,5.836418168553595
Davidson County,1933,30,167609,11.532793585070014
Davie County,443,5,42846,10.33935489894039
Duplin County,2037,49,58741,34.677652746803766
Durham County,6461,81,321488,20.097173144876326
Edgecombe County,772,15,51472,14.998445756916382
Forsyth County,5620,62,382295,14.700689258295295
Franklin County,942,28,69685,13.517973738968214
Gaston County,3655,58,224529,16.27852081468318
Gates County,60,2,11562,5.1894135962636225
Graham County,49,0,8441,5.8049994076531215
Granville County,1370,29,60443,22.665982826795492
Greene County,349,3,21069,16.564621007166927
Guilford County,6069,160,537174,11.2980151682695
Halifax County,767,9,50010,15.336932613477305
Harnett County,1447,41,135976,10.641583808907454
Haywood County,469,25,62317,7.526036234093426
Henderson County,1596,59,117417,13.592580290758578
Hertford County,420,12,23677,17.738733792287874
Hoke County,791,12,55234,14.320889307310715
Hyde County,63,0,4937,12.76078590236986
Iredell County,2050,18,181806,11.275755475616867
Jackson County,465,7,43938,10.583094360234876
Johnston County,3469,47,209339,16.571207467313783
Jones County,118,4,9419,12.527869200552075
Lee County,1345,11,61779,21.771152009582543
Lenoir County,672,11,55949,12.010938533307119
Lincoln County,952,10,86111,11.055498136126626
Macon County,485,2,35858,13.525573093870266
Madison County,50,1,21755,2.2983222247759136
Martin County,290,7,22440,12.923351158645277
McDowell County,729,21,45756,15.932336742722265
Mecklenburg County,23434,262,1110356,21.104942919207893
Mitchell County,82,3,14964,5.479818230419674
Montgomery County,725,16,27173,26.680896478121664
Moore County,1117,21,100880,11.072561459159397
Nash County,1378,16,94298,14.613247364737322
New Hanover County,2736,21,234473,11.668720918826475
Northampton County,320,16,19483,16.424575270748857
Onslow County,1254,12,197938,6.335317119502066
Orange County,1562,49,148476,10.52021875589321
Pamlico County,74,1,12726,5.814867201005815
Pasquotank County,464,21,39824,11.651265568501406
Pender County,708,4,63060,11.227402473834443
Perquimans County,94,2,13463,6.982099086384907
Person County,252,2,39490,6.381362370220309
Pitt County,2350,14,180742,13.001958592911443
Polk County,188,6,20724,9.071607797722447
Randolph County,2280,40,143667,15.870032784146673
Richmond County,575,9,44829,12.82651854826117
Robeson County,3102,56,130625,23.74736842105263
Rockingham County,637,6,91010,6.999230853752335
Rowan County,2412,53,142088,16.975395529530996
Rutherford County,844,16,67029,12.59156484506706
Sampson County,1523,19,63531,23.972548834427286
Scotland County,470,7,34823,13.496826809867041
Stanly County,1276,31,62806,20.316530267808808
Stokes County,308,3,45591,6.75571933056963
Surry County,1019,11,71783,14.195561623225554
Swain County,123,2,14271,8.61887744376708
Transylvania County,175,1,34385,5.089428529882216
Tyrrell County,103,2,4016,25.647410358565736
Union County,3475,46,239859,14.487678177596004
Vance County,821,41,44535,18.434938812170202
Wake County,12951,187,1111761,11.649086449335783
Warren County,274,6,19731,13.886777152703868
Washington County,153,4,11580,13.212435233160623
Watauga County,349,0,56177,6.212506897840753
Wayne County,2583,44,123131,20.977657941541935
Wilkes County,933,19,68412,13.63795825293808
Wilson County,1584,36,81801,19.36406645395533
Yadkin County,584,7,37667,15.504287572676349
Yancey County,83,0,18069,4.593502684155183
