,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,4117,56,169509,24.2877959282398
Alexander County,555,8,37497,14.801184094727578
Alleghany County,239,0,11137,21.459998204184252
Anson County,641,6,24446,26.22105865990346
Ashe County,287,1,27203,10.550306951439179
Avery County,371,0,17557,21.131172751609046
Beaufort County,1001,27,46994,21.300591564880623
Bertie County,622,11,18947,32.82841610809099
Bladen County,938,17,32722,28.665729478638227
Brunswick County,1710,27,142820,11.97311300938244
Buncombe County,3317,88,261191,12.699518742988847
Burke County,2208,42,90485,24.40183455821407
Cabarrus County,4184,76,216453,19.32983141836796
Caldwell County,1764,18,82178,21.465599065443307
Camden County,118,3,10867,10.858562620778503
Carteret County,768,5,69473,11.05465432614109
Caswell County,435,5,22604,19.244381525393734
Catawba County,3335,53,159551,20.902407380712123
Chatham County,1721,59,74470,23.109977172015576
Cherokee County,671,12,28612,23.451698588005033
Chowan County,389,4,13943,27.899304310406656
Clay County,130,2,11231,11.575104621137921
Cleveland County,2403,68,97947,24.533676375999264
Columbus County,1421,57,55508,25.599913525978238
Craven County,1798,40,102139,17.603461948912756
Cumberland County,5784,80,335509,17.23947792756677
Currituck County,191,3,27763,6.879659979108886
Dare County,285,3,37009,7.70082952795266
Davidson County,2958,38,167609,17.648216981188362
Davie County,594,6,42846,13.863604537179667
Duplin County,2448,54,58741,41.6744692804004
Durham County,7935,97,321488,24.682103220026875
Edgecombe County,1448,51,51472,28.13179981349083
Forsyth County,7293,104,382295,19.076890882695302
Franklin County,1261,31,69685,18.095716438257874
Gaston County,5514,86,224529,24.558074903464586
Gates County,145,3,11562,12.541082857637088
Graham County,181,5,8441,21.442956995616633
Granville County,1780,50,60443,29.449233161821883
Greene County,669,5,21069,31.75281218852342
Guilford County,9038,187,537174,16.825088332644544
Halifax County,1084,21,50010,21.675664867026594
Harnett County,2374,54,135976,17.458963346472906
Haywood County,632,31,62317,10.141694882616301
Henderson County,2092,64,117417,17.81684083224746
Hertford County,792,31,23677,33.450183722599995
Hoke County,1279,18,55234,23.15602708476663
Hyde County,128,5,4937,25.92667611910067
Iredell County,3185,33,181806,17.518673751141325
Jackson County,677,7,43938,15.408075014793573
Johnston County,4687,57,209339,22.38952130276728
Jones County,158,14,9419,16.774604522773117
Lee County,1716,15,61779,27.776428883601223
Lenoir County,1049,33,55949,18.749218037855904
Lincoln County,1766,15,86111,20.5084135592433
Macon County,645,2,35858,17.987617825868703
Madison County,116,1,21755,5.33210756148012
Martin County,506,12,22440,22.54901960784314
McDowell County,1058,27,45756,23.122650581344523
Mecklenburg County,29414,361,1110356,26.490603013808183
Mitchell County,168,3,14964,11.226944667201282
Montgomery County,1063,34,27173,39.11971442240459
Moore County,1797,33,100880,17.813243457573353
Nash County,2523,44,94298,26.755604572737493
New Hanover County,4452,33,234473,18.987260793353606
Northampton County,477,17,19483,24.482882512960018
Onslow County,2344,26,197938,11.84209196819206
Orange County,2736,57,148476,18.427220560898732
Pamlico County,271,2,12726,21.294986641521295
Pasquotank County,726,33,39824,18.23021293692246
Pender County,1008,7,63060,15.98477640342531
Perquimans County,196,3,13463,14.558419371611082
Person County,456,8,39490,11.54722714611294
Pitt County,5073,33,180742,28.06763231567649
Polk County,333,11,20724,16.06832657788072
Randolph County,2983,54,143667,20.763292892591895
Richmond County,1074,17,44829,23.957705949273908
Robeson County,4748,83,130625,36.348325358851675
Rockingham County,1390,14,91010,15.273046917921107
Rowan County,3565,103,142088,25.090085017735486
Rutherford County,1311,33,67029,19.558698473794923
Sampson County,2316,28,63531,36.45464418945082
Scotland County,1295,17,34823,37.18806535910174
Stanly County,2081,56,62806,33.133777027672515
Stokes County,479,4,45591,10.506459608256016
Surry County,1399,23,71783,19.489294122563837
Swain County,158,3,14271,11.071403545652021
Transylvania County,336,9,34385,9.771702777373855
Tyrrell County,115,3,4016,28.63545816733068
Union County,5046,59,239859,21.037359448676096
Vance County,1082,44,44535,24.295497922981923
Wake County,18136,257,1111761,16.312858608999598
Warren County,361,7,19731,18.296082307029547
Washington County,218,8,11580,18.825561312607945
Watauga County,980,2,56177,17.44486177617174
Wayne County,3526,71,123131,28.636167983692165
Wilkes County,1309,35,68412,19.134070046190725
Wilson County,2338,57,81801,28.581557682668915
Yadkin County,772,9,37667,20.495393846072158
Yancey County,220,0,18069,12.175549283302894
