,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3209,46,169509,18.931148198620722
Alexander County,401,2,37497,10.694188868442808
Alleghany County,203,0,11137,18.22752985543683
Anson County,441,3,24446,18.039761106111428
Ashe County,200,1,27203,7.3521302797485575
Avery County,138,0,17557,7.860112775531127
Beaufort County,586,9,46994,12.469676980040004
Bertie County,435,6,18947,22.958779754050774
Bladen County,716,10,32722,21.88130309883259
Brunswick County,1389,24,142820,9.725528637445736
Buncombe County,2468,70,261191,9.44902389439146
Burke County,1850,30,90485,20.44537768690943
Cabarrus County,3169,54,216453,14.640591721990456
Caldwell County,1424,17,82178,17.328238701355595
Camden County,97,3,10867,8.926106561148432
Carteret County,500,5,69473,7.197040576914772
Caswell County,249,2,22604,11.015749424880552
Catawba County,2616,44,159551,16.39601130672951
Chatham County,1482,56,74470,19.900631126628173
Cherokee County,433,5,28612,15.1335104152104
Chowan County,220,2,13943,15.77852685935595
Clay County,89,1,11231,7.9244947021636545
Cleveland County,1604,37,97947,16.376203456971627
Columbus County,1102,51,55508,19.85299416300353
Craven County,971,26,102139,9.506652698773241
Cumberland County,4048,66,335509,12.06525011251561
Currituck County,107,0,27763,3.8540503547887477
Dare County,243,2,37009,6.565970439622794
Davidson County,2171,32,167609,12.952765066315054
Davie County,478,6,42846,11.156233954161415
Duplin County,2083,52,58741,35.46075143426227
Durham County,6908,84,321488,21.4875827402578
Edgecombe County,955,19,51472,18.553776810693194
Forsyth County,6160,74,382295,16.113211001974914
Franklin County,1056,29,69685,15.153906866614049
Gaston County,4091,63,224529,18.220363516516798
Gates County,84,3,11562,7.265179034769071
Graham County,55,0,8441,6.515815661651463
Granville County,1529,43,60443,25.296560395744752
Greene County,414,4,21069,19.649722340879965
Guilford County,6861,170,537174,12.772397770554793
Halifax County,862,11,50010,17.23655268946211
Harnett County,1625,46,135976,11.950638347943755
Haywood County,511,25,62317,8.200009628191344
Henderson County,1697,60,117417,14.452762376827886
Hertford County,549,14,23677,23.18705917134772
Hoke County,874,12,55234,15.823586921099324
Hyde County,96,0,4937,19.4450070893255
Iredell County,2336,24,181806,12.848860873678536
Jackson County,492,7,43938,11.197596613409805
Johnston County,3803,50,209339,18.166705678349473
Jones County,136,7,9419,14.438900095551546
Lee County,1432,12,61779,23.179397529904985
Lenoir County,797,16,55949,14.245116087865735
Lincoln County,1105,12,86111,12.832274622289836
Macon County,540,2,35858,15.05940097049473
Madison County,69,1,21755,3.1716846701907606
Martin County,347,7,22440,15.463458110516934
McDowell County,788,24,45756,17.221785121077016
Mecklenburg County,25345,289,1110356,22.826012558134508
Mitchell County,93,3,14964,6.214915797914996
Montgomery County,885,18,27173,32.5690943215692
Moore County,1305,21,100880,12.936161776367962
Nash County,1661,22,94298,17.614371460688456
New Hanover County,3031,21,234473,12.926861514971874
Northampton County,338,17,19483,17.348457629728482
Onslow County,1474,12,197938,7.446776263274359
Orange County,2268,50,148476,15.275195991271316
Pamlico County,155,2,12726,12.17978940751218
Pasquotank County,548,23,39824,13.760546404178385
Pender County,768,4,63060,12.178877259752616
Perquimans County,138,2,13463,10.250315680011884
Person County,323,5,39490,8.179285895163332
Pitt County,3529,19,180742,19.525068882716802
Polk County,227,7,20724,10.953483883420189
Randolph County,2417,43,143667,16.823626859334432
Richmond County,672,11,44829,14.99029645988088
Robeson County,3539,60,130625,27.09282296650718
Rockingham County,813,8,91010,8.933084276453137
Rowan County,2805,61,142088,19.741287089690896
Rutherford County,938,19,67029,13.993942920228557
Sampson County,1609,21,63531,25.32621869638444
Scotland County,659,8,34823,18.924274186600808
Stanly County,1490,31,62806,23.723848039996177
Stokes County,331,3,45591,7.260204864995284
Surry County,1157,16,71783,16.118022372985248
Swain County,131,3,14271,9.179454838483638
Transylvania County,248,2,34385,7.212447288061655
Tyrrell County,107,2,4016,26.643426294820717
Union County,3930,49,239859,16.384625967756058
Vance County,911,42,44535,20.455821264174244
Wake County,14967,199,1111761,13.462425827133709
Warren County,288,6,19731,14.596320510871218
Washington County,177,6,11580,15.284974093264248
Watauga County,434,0,56177,7.7255816437332
Wayne County,2820,51,123131,22.902437241636957
Wilkes County,1026,22,68412,14.997368882652166
Wilson County,1733,36,81801,21.185560078727644
Yadkin County,633,7,37667,16.80516101627419
Yancey County,92,0,18069,5.091593336653938
