,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3428,47,169509,20.223114996843826
Alexander County,446,3,37497,11.894284876123423
Alleghany County,210,0,11137,18.856065367693276
Anson County,483,3,24446,19.757833592407756
Ashe County,229,1,27203,8.418189170312099
Avery County,224,0,17557,12.758443925499801
Beaufort County,685,10,46994,14.576328893050176
Bertie County,495,6,18947,26.125507995988812
Bladen County,771,10,32722,23.56212945418984
Brunswick County,1438,25,142820,10.068617840638566
Buncombe County,2641,72,261191,10.111374434800586
Burke County,1928,31,90485,21.30739901641156
Cabarrus County,3445,56,216453,15.915695324158131
Caldwell County,1485,17,82178,18.070529825500742
Camden County,102,3,10867,9.386215146774639
Carteret County,555,5,69473,7.988715040375397
Caswell County,259,3,22604,11.45814900017696
Catawba County,2734,47,159551,17.135586740289938
Chatham County,1545,56,74470,20.74660937290184
Cherokee County,496,6,28612,17.335383755067802
Chowan County,254,2,13943,18.21702646489278
Clay County,96,1,11231,8.547769566378774
Cleveland County,1717,50,97947,17.529888613229605
Columbus County,1191,52,55508,21.456366649852274
Craven County,1078,27,102139,10.554244705744132
Cumberland County,4509,70,335509,13.439281807641525
Currituck County,122,0,27763,4.394337787703058
Dare County,254,2,37009,6.863195438947283
Davidson County,2327,32,167609,13.883502675870627
Davie County,501,6,42846,11.693040190449517
Duplin County,2099,52,58741,35.73313358642175
Durham County,7144,85,321488,22.2216692380431
Edgecombe County,1081,22,51472,21.00170966739198
Forsyth County,6457,82,382295,16.890097960998705
Franklin County,1120,30,69685,16.07232546459066
Gaston County,4348,67,224529,19.36498180635909
Gates County,101,3,11562,8.735512887043765
Graham County,82,0,8441,9.714488804643999
Granville County,1603,47,60443,26.520854358651953
Greene County,458,5,21069,21.738098628316482
Guilford County,7367,171,537174,13.71436443312595
Halifax County,910,13,50010,18.19636072785443
Harnett County,1784,46,135976,13.119962346296406
Haywood County,530,31,62317,8.504902354092783
Henderson County,1754,60,117417,14.938211672926407
Hertford County,597,18,23677,25.214343033323477
Hoke County,920,13,55234,16.65640728536771
Hyde County,111,3,4937,22.48328944703261
Iredell County,2499,24,181806,13.745420943203195
Jackson County,511,7,43938,11.630024124903272
Johnston County,4030,52,209339,19.251071228963546
Jones County,142,7,9419,15.075910393884701
Lee County,1492,13,61779,24.150601337023907
Lenoir County,857,19,55949,15.31752131405387
Lincoln County,1235,13,86111,14.341953989618052
Macon County,551,2,35858,15.366166545819622
Madison County,74,1,21755,3.401516892668352
Martin County,379,7,22440,16.889483065953655
McDowell County,831,24,45756,18.161552583267767
Mecklenburg County,26363,318,1110356,23.74283563109489
Mitchell County,94,3,14964,6.28174284950548
Montgomery County,950,18,27173,34.961174695469765
Moore County,1410,22,100880,13.977002379064235
Nash County,1858,27,94298,19.703493181191543
New Hanover County,3461,24,234473,14.76076136698042
Northampton County,357,17,19483,18.323666786429193
Onslow County,1642,17,197938,8.295526882155018
Orange County,2436,51,148476,16.406691990624747
Pamlico County,211,2,12726,16.58022945151658
Pasquotank County,602,26,39824,15.116512655685014
Pender County,802,5,63060,12.718046305106249
Perquimans County,151,2,13463,11.215925128128946
Person County,358,6,39490,9.065586224360597
Pitt County,4077,19,180742,22.557014971617
Polk County,243,7,20724,11.72553561088593
Randolph County,2510,45,143667,17.47095714395094
Richmond County,741,11,44829,16.52947868567222
Robeson County,3862,63,130625,29.56555023923445
Rockingham County,996,8,91010,10.943852323920447
Rowan County,2962,78,142088,20.84623613535274
Rutherford County,1020,20,67029,15.217294007071565
Sampson County,1679,21,63531,26.428043002628637
Scotland County,747,8,34823,21.451339631852512
Stanly County,1628,52,62806,25.9210903416871
Stokes County,363,3,45591,7.962097782457064
Surry County,1215,19,71783,16.92601312288425
Swain County,135,3,14271,9.459743535841918
Transylvania County,277,5,34385,8.055838301584993
Tyrrell County,108,2,4016,26.89243027888446
Union County,4193,52,239859,17.48110348162879
Vance County,952,42,44535,21.37644549230942
Wake County,15887,210,1111761,14.289941813033556
Warren County,298,7,19731,15.103137195276469
Washington County,190,6,11580,16.407599309153714
Watauga County,498,0,56177,8.864837922993395
Wayne County,2931,57,123131,23.80391615433969
Wilkes County,1083,26,68412,15.83055604279951
Wilson County,1862,40,81801,22.762557914939915
Yadkin County,661,7,37667,17.548517269758676
Yancey County,107,0,18069,5.921744424151862
