,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3379,46,169509,19.934044799981123
Alexander County,433,3,37497,11.54759047390458
Alleghany County,207,0,11137,18.586693005297658
Anson County,468,3,24446,19.144236275873354
Ashe County,222,1,27203,8.160864610520898
Avery County,220,0,17557,12.530614569687303
Beaufort County,648,10,46994,13.78899433970294
Bertie County,468,6,18947,24.700480287116694
Bladen County,762,10,32722,23.28708514149502
Brunswick County,1424,24,142820,9.970592354012043
Buncombe County,2606,72,261191,9.977372880382555
Burke County,1897,31,90485,20.964800795711998
Cabarrus County,3391,55,216453,15.666218532429673
Caldwell County,1470,17,82178,17.887999221202755
Camden County,101,3,10867,9.294193429649397
Carteret County,540,5,69473,7.772803823067955
Caswell County,258,3,22604,11.413909042647319
Catawba County,2701,47,159551,16.92875632242982
Chatham County,1534,56,74470,20.59889888545723
Cherokee County,481,6,28612,16.811128197958897
Chowan County,245,2,13943,17.57154127519185
Clay County,95,1,11231,8.458730300062328
Cleveland County,1671,46,97947,17.06024686820423
Columbus County,1177,52,55508,21.204150753044605
Craven County,1045,26,102139,10.231155582098905
Cumberland County,4386,69,335509,13.072674652542853
Currituck County,119,0,27763,4.286280301120196
Dare County,246,2,37009,6.647031803074928
Davidson County,2277,32,167609,13.58518933947461
Davie County,497,6,42846,11.599682584138543
Duplin County,2092,52,58741,35.61396639485198
Durham County,7101,85,321488,22.087916189717813
Edgecombe County,1062,22,51472,20.63257693503264
Forsyth County,6374,82,382295,16.672988137433133
Franklin County,1105,30,69685,15.85707110568989
Gaston County,4283,66,224529,19.075486908149948
Gates County,95,3,11562,8.216571527417402
Graham County,77,0,8441,9.122141926312048
Granville County,1585,47,60443,26.22305312443128
Greene County,449,5,21069,21.310930751340834
Guilford County,7241,171,537174,13.479803564580564
Halifax County,899,13,50010,17.976404719056188
Harnett County,1748,46,135976,12.855209742895806
Haywood County,525,31,62317,8.424667426223984
Henderson County,1742,60,117417,14.836011821116193
Hertford County,581,18,23677,24.538581745998226
Hoke County,906,13,55234,16.402940217981676
Hyde County,108,3,4937,21.87563297549119
Iredell County,2450,24,181806,13.475902885493328
Jackson County,506,7,43938,11.51622741135236
Johnston County,3967,52,209339,18.950123961612505
Jones County,140,7,9419,14.863573627773649
Lee County,1479,13,61779,23.940173845481475
Lenoir County,845,19,55949,15.103040268816244
Lincoln County,1191,13,86111,13.8309855883685
Macon County,549,2,35858,15.310390986669642
Madison County,74,1,21755,3.401516892668352
Martin County,369,7,22440,16.44385026737968
McDowell County,820,24,45756,17.921146953405017
Mecklenburg County,26128,309,1110356,23.531191797945883
Mitchell County,93,3,14964,6.214915797914996
Montgomery County,930,18,27173,34.225149965038824
Moore County,1364,22,100880,13.52101506740682
Nash County,1807,27,94298,19.162654563193282
New Hanover County,3317,24,234473,14.146618160726394
Northampton County,348,17,19483,17.861725606939384
Onslow County,1608,17,197938,8.123755923572027
Orange County,2399,51,148476,16.15749346695762
Pamlico County,203,2,12726,15.951595159515952
Pasquotank County,593,26,39824,14.89051828043391
Pender County,792,4,63060,12.559467174119886
Perquimans County,148,2,13463,10.99309217856347
Person County,354,6,39490,8.964294758166625
Pitt County,3953,19,180742,21.87095417777827
Polk County,235,7,20724,11.339509747153059
Randolph County,2486,45,143667,17.303904167275714
Richmond County,711,11,44829,15.860269022284681
Robeson County,3808,63,130625,29.15215311004785
Rockingham County,968,8,91010,10.636193824854411
Rowan County,2911,77,142088,20.487303642812904
Rutherford County,1008,20,67029,15.038267018753077
Sampson County,1659,21,63531,26.11323605798744
Scotland County,734,8,34823,21.078023145622147
Stanly County,1612,53,62806,25.666337611056267
Stokes County,355,3,45591,7.786624553091619
Surry County,1204,19,71783,16.772773497903405
Swain County,135,3,14271,9.459743535841918
Transylvania County,267,5,34385,7.765013814163153
Tyrrell County,108,2,4016,26.89243027888446
Union County,4126,52,239859,17.201772708132694
Vance County,942,42,44535,21.151902997642303
Wake County,15655,210,1111761,14.08126386876316
Warren County,296,7,19731,15.001773858395419
Washington County,186,6,11580,16.06217616580311
Watauga County,484,0,56177,8.615625611905228
Wayne County,2902,57,123131,23.56839463660654
Wilkes County,1073,26,68412,15.684382856808748
Wilson County,1819,40,81801,22.236891969535826
Yadkin County,659,7,37667,17.495420394509782
Yancey County,104,0,18069,5.755714206652278
