,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
52,Racine,5/6/2020,3095,559,0,24,45,69,34.57142857142857,0.42857142857142855,0.1990131578947368
53,Racine,5/7/2020,3283,590,1,31,188,219,33.57142857142857,0.5714285714285714,0.18547750591949486
54,Racine,5/8/2020,3433,634,0,44,150,194,34.42857142857143,0.42857142857142855,0.19641401792991037
55,Racine,5/9/2020,3675,680,0,46,242,288,38.857142857142854,0.42857142857142855,0.1902097902097902
56,Racine,5/10/2020,3819,704,0,24,144,168,38.42857142857143,0.42857142857142855,0.1774406332453826
57,Racine,5/11/2020,3821,724,0,20,2,22,38.142857142857146,0.2857142857142857,0.18388429752066118
58,Racine,5/12/2020,4135,763,1,39,314,353,32.57142857142857,0.2857142857142857,0.17364813404417362
59,Racine,5/13/2020,4185,785,0,22,50,72,32.285714285714285,0.2857142857142857,0.17173252279635257
60,Racine,5/14/2020,4393,833,0,48,208,256,34.714285714285715,0.14285714285714285,0.1796008869179601
61,Racine,5/15/2020,4738,920,1,87,345,432,40.857142857142854,0.2857142857142857,0.17976115650534255
62,Racine,5/16/2020,4931,1004,0,84,193,277,46.285714285714285,0.2857142857142857,0.2050632911392405
63,Racine,5/17/2020,5094,1017,0,13,163,176,44.714285714285715,0.2857142857142857,0.19710327455919396
64,Racine,5/18/2020,5179,1034,0,17,85,102,44.285714285714285,0.2857142857142857,0.18585131894484413
65,Racine,5/19/2020,5463,1061,1,27,284,311,42.57142857142857,0.2857142857142857,0.18327183271832717
66,Racine,5/20/2020,5883,1115,1,54,420,474,47.142857142857146,0.42857142857142855,0.16272189349112426
67,Racine,5/21/2020,6236,1166,0,51,353,404,47.57142857142857,0.42857142857142855,0.15303308823529413
68,Racine,5/22/2020,6924,1269,2,103,688,791,49.857142857142854,0.5714285714285714,0.13767258382642997
69,Racine,5/23/2020,7192,1311,0,42,268,310,43.857142857142854,0.5714285714285714,0.11954828660436137
70,Racine,5/24/2020,7801,1387,0,76,609,685,52.857142857142854,0.5714285714285714,0.12024699382515437
71,Racine,5/25/2020,8059,1394,3,7,258,265,51.42857142857143,1.0,0.11111111111111112
72,Racine,5/26/2020,8331,1395,0,1,272,273,47.714285714285715,0.8571428571428571,0.10430980637101811
73,Racine,5/27/2020,9348,1579,3,184,1017,1201,66.28571428571429,1.1428571428571428,0.11809620768643421
