,Unnamed: 0,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
291,291,2020-06-16T00:00:00.000,Confirmed,Community,27,2020-09-13T14:19:34.977
292,292,2020-06-17T00:00:00.000,Confirmed,From Contact,21,2020-09-13T14:19:34.977
293,293,2020-06-17T00:00:00.000,Confirmed,Community,29,2020-09-13T14:19:34.977
294,294,2020-06-17T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
295,295,2020-06-18T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
296,296,2020-06-18T00:00:00.000,Confirmed,Community,34,2020-09-13T14:19:34.977
297,297,2020-06-18T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
298,298,2020-06-19T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
299,299,2020-06-19T00:00:00.000,Confirmed,Community,25,2020-09-13T14:19:34.977
300,300,2020-06-19T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
301,301,2020-06-20T00:00:00.000,Confirmed,Community,27,2020-09-13T14:19:34.977
302,302,2020-06-20T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
303,303,2020-06-21T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
304,304,2020-06-21T00:00:00.000,Confirmed,From Contact,15,2020-09-13T14:19:34.977
305,305,2020-06-22T00:00:00.000,Confirmed,From Contact,34,2020-09-13T14:19:34.977
306,306,2020-06-22T00:00:00.000,Confirmed,Community,68,2020-09-13T14:19:34.977
307,307,2020-06-22T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
308,308,2020-06-23T00:00:00.000,Confirmed,From Contact,25,2020-09-13T14:19:34.977
309,309,2020-06-23T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
310,310,2020-06-23T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
311,311,2020-06-24T00:00:00.000,Confirmed,From Contact,27,2020-09-13T14:19:34.977
312,312,2020-06-24T00:00:00.000,Confirmed,Community,26,2020-09-13T14:19:34.977
313,313,2020-06-24T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
314,314,2020-06-25T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
315,315,2020-06-25T00:00:00.000,Confirmed,From Contact,24,2020-09-13T14:19:34.977
316,316,2020-06-25T00:00:00.000,Confirmed,Community,40,2020-09-13T14:19:34.977
317,317,2020-06-26T00:00:00.000,Confirmed,From Contact,31,2020-09-13T14:19:34.977
318,318,2020-06-26T00:00:00.000,Confirmed,Community,39,2020-09-13T14:19:34.977
319,319,2020-06-27T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
320,320,2020-06-27T00:00:00.000,Confirmed,Community,36,2020-09-13T14:19:34.977
321,321,2020-06-27T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
322,322,2020-06-28T00:00:00.000,Confirmed,Community,20,2020-09-13T14:19:34.977
323,323,2020-06-28T00:00:00.000,Confirmed,From Contact,16,2020-09-13T14:19:34.977
324,324,2020-06-29T00:00:00.000,Confirmed,Community,43,2020-09-13T14:19:34.977
325,325,2020-06-29T00:00:00.000,Confirmed,From Contact,26,2020-09-13T14:19:34.977
326,326,2020-06-29T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
327,327,2020-06-30T00:00:00.000,Confirmed,Community,56,2020-09-13T14:19:34.977
328,328,2020-06-30T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
329,329,2020-06-30T00:00:00.000,Confirmed,From Contact,36,2020-09-13T14:19:34.977
330,330,2020-07-01T00:00:00.000,Confirmed,Community,42,2020-09-13T14:19:34.977
331,331,2020-07-01T00:00:00.000,Confirmed,From Contact,29,2020-09-13T14:19:34.977
332,332,2020-07-01T00:00:00.000,Confirmed,Unknown,8,2020-09-13T14:19:34.977
333,333,2020-07-02T00:00:00.000,Confirmed,From Contact,35,2020-09-13T14:19:34.977
334,334,2020-07-02T00:00:00.000,Confirmed,Community,51,2020-09-13T14:19:34.977
335,335,2020-07-02T00:00:00.000,Confirmed,Unknown,15,2020-09-13T14:19:34.977
336,336,2020-07-03T00:00:00.000,Confirmed,Community,45,2020-09-13T14:19:34.977
337,337,2020-07-03T00:00:00.000,Confirmed,Unknown,20,2020-09-13T14:19:34.977
338,338,2020-07-03T00:00:00.000,Confirmed,From Contact,21,2020-09-13T14:19:34.977
339,339,2020-07-04T00:00:00.000,Confirmed,From Contact,6,2020-09-13T14:19:34.977
340,340,2020-07-04T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
341,341,2020-07-04T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
342,342,2020-07-05T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
343,343,2020-07-05T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
344,344,2020-07-05T00:00:00.000,Confirmed,Community,24,2020-09-13T14:19:34.977
345,345,2020-07-06T00:00:00.000,Confirmed,From Contact,36,2020-09-13T14:19:34.977
346,346,2020-07-06T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
347,347,2020-07-06T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
348,348,2020-07-06T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
349,349,2020-07-07T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
350,350,2020-07-07T00:00:00.000,Confirmed,Community,55,2020-09-13T14:19:34.977
351,351,2020-07-07T00:00:00.000,Confirmed,From Contact,38,2020-09-13T14:19:34.977
352,352,2020-07-08T00:00:00.000,Confirmed,Community,62,2020-09-13T14:19:34.977
353,353,2020-07-08T00:00:00.000,Confirmed,From Contact,49,2020-09-13T14:19:34.977
354,354,2020-07-08T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
355,355,2020-07-09T00:00:00.000,Confirmed,Community,61,2020-09-13T14:19:34.977
356,356,2020-07-09T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
357,357,2020-07-09T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
358,358,2020-07-10T00:00:00.000,Confirmed,From Contact,56,2020-09-13T14:19:34.977
359,359,2020-07-10T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
360,360,2020-07-10T00:00:00.000,Confirmed,Community,68,2020-09-13T14:19:34.977
361,361,2020-07-11T00:00:00.000,Confirmed,From Contact,25,2020-09-13T14:19:34.977
362,362,2020-07-11T00:00:00.000,Confirmed,Community,39,2020-09-13T14:19:34.977
363,363,2020-07-12T00:00:00.000,Confirmed,From Contact,18,2020-09-13T14:19:34.977
364,364,2020-07-12T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
365,365,2020-07-12T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
366,366,2020-07-12T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
367,367,2020-07-13T00:00:00.000,Confirmed,From Contact,66,2020-09-13T14:19:34.977
368,368,2020-07-13T00:00:00.000,Confirmed,Community,74,2020-09-13T14:19:34.977
369,369,2020-07-13T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
370,370,2020-07-13T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
371,371,2020-07-14T00:00:00.000,Confirmed,Community,92,2020-09-13T14:19:34.977
372,372,2020-07-14T00:00:00.000,Confirmed,From Contact,68,2020-09-13T14:19:34.977
373,373,2020-07-14T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
374,374,2020-07-14T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
375,375,2020-07-15T00:00:00.000,Confirmed,From Contact,55,2020-09-13T14:19:34.977
376,376,2020-07-15T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
377,377,2020-07-15T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
378,378,2020-07-15T00:00:00.000,Confirmed,Community,96,2020-09-13T14:19:34.977
379,379,2020-07-16T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
380,380,2020-07-16T00:00:00.000,Confirmed,From Contact,55,2020-09-13T14:19:34.977
381,381,2020-07-16T00:00:00.000,Confirmed,Community,89,2020-09-13T14:19:34.977
382,382,2020-07-16T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
383,383,2020-07-17T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
384,384,2020-07-17T00:00:00.000,Death,Unknown,1,2020-09-13T14:19:34.977
385,385,2020-07-17T00:00:00.000,Confirmed,From Contact,60,2020-09-13T14:19:34.977
386,386,2020-07-17T00:00:00.000,Confirmed,Community,89,2020-09-13T14:19:34.977
387,387,2020-07-18T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
388,388,2020-07-18T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
389,389,2020-07-18T00:00:00.000,Confirmed,Community,45,2020-09-13T14:19:34.977
390,390,2020-07-18T00:00:00.000,Confirmed,From Contact,33,2020-09-13T14:19:34.977
391,391,2020-07-19T00:00:00.000,Confirmed,Community,51,2020-09-13T14:19:34.977
392,392,2020-07-19T00:00:00.000,Confirmed,From Contact,22,2020-09-13T14:19:34.977
393,393,2020-07-19T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
394,394,2020-07-20T00:00:00.000,Confirmed,Community,95,2020-09-13T14:19:34.977
395,395,2020-07-20T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
396,396,2020-07-20T00:00:00.000,Confirmed,From Contact,50,2020-09-13T14:19:34.977
397,397,2020-07-21T00:00:00.000,Confirmed,From Contact,48,2020-09-13T14:19:34.977
398,398,2020-07-21T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
399,399,2020-07-21T00:00:00.000,Confirmed,Community,78,2020-09-13T14:19:34.977
400,400,2020-07-22T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
401,401,2020-07-22T00:00:00.000,Confirmed,Community,83,2020-09-13T14:19:34.977
402,402,2020-07-22T00:00:00.000,Confirmed,From Contact,40,2020-09-13T14:19:34.977
403,403,2020-07-22T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
404,404,2020-07-23T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
405,405,2020-07-23T00:00:00.000,Confirmed,Community,79,2020-09-13T14:19:34.977
406,406,2020-07-23T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
407,407,2020-07-23T00:00:00.000,Confirmed,From Contact,39,2020-09-13T14:19:34.977
408,408,2020-07-24T00:00:00.000,Confirmed,Community,76,2020-09-13T14:19:34.977
409,409,2020-07-24T00:00:00.000,Confirmed,From Contact,43,2020-09-13T14:19:34.977
410,410,2020-07-25T00:00:00.000,Confirmed,From Contact,36,2020-09-13T14:19:34.977
411,411,2020-07-25T00:00:00.000,Confirmed,Community,43,2020-09-13T14:19:34.977
412,412,2020-07-26T00:00:00.000,Confirmed,From Contact,13,2020-09-13T14:19:34.977
413,413,2020-07-26T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
414,414,2020-07-26T00:00:00.000,Confirmed,Community,44,2020-09-13T14:19:34.977
415,415,2020-07-26T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
416,416,2020-07-27T00:00:00.000,Confirmed,Community,49,2020-09-13T14:19:34.977
417,417,2020-07-27T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
418,418,2020-07-27T00:00:00.000,Confirmed,From Contact,43,2020-09-13T14:19:34.977
419,419,2020-07-28T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
420,420,2020-07-28T00:00:00.000,Confirmed,Community,62,2020-09-13T14:19:34.977
421,421,2020-07-28T00:00:00.000,Confirmed,From Contact,36,2020-09-13T14:19:34.977
422,422,2020-07-28T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
423,423,2020-07-29T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
424,424,2020-07-29T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
425,425,2020-07-29T00:00:00.000,Confirmed,From Contact,59,2020-09-13T14:19:34.977
426,426,2020-07-29T00:00:00.000,Confirmed,Community,74,2020-09-13T14:19:34.977
427,427,2020-07-30T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
428,428,2020-07-30T00:00:00.000,Confirmed,From Contact,55,2020-09-13T14:19:34.977
429,429,2020-07-30T00:00:00.000,Confirmed,Community,68,2020-09-13T14:19:34.977
430,430,2020-07-31T00:00:00.000,Confirmed,Community,65,2020-09-13T14:19:34.977
431,431,2020-07-31T00:00:00.000,Confirmed,From Contact,48,2020-09-13T14:19:34.977
432,432,2020-07-31T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
433,433,2020-08-01T00:00:00.000,Confirmed,Community,30,2020-09-13T14:19:34.977
434,434,2020-08-01T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
435,435,2020-08-01T00:00:00.000,Confirmed,From Contact,28,2020-09-13T14:19:34.977
436,436,2020-08-01T00:00:00.000,Confirmed,Unknown,9,2020-09-13T14:19:34.977
437,437,2020-08-01T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
438,438,2020-08-02T00:00:00.000,Confirmed,From Contact,15,2020-09-13T14:19:34.977
439,439,2020-08-02T00:00:00.000,Confirmed,Community,30,2020-09-13T14:19:34.977
440,440,2020-08-03T00:00:00.000,Confirmed,Community,63,2020-09-13T14:19:34.977
441,441,2020-08-03T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
442,442,2020-08-03T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
443,443,2020-08-03T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
444,444,2020-08-04T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
445,445,2020-08-04T00:00:00.000,Confirmed,From Contact,34,2020-09-13T14:19:34.977
446,446,2020-08-04T00:00:00.000,Confirmed,Community,48,2020-09-13T14:19:34.977
447,447,2020-08-05T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
448,448,2020-08-05T00:00:00.000,Confirmed,Community,58,2020-09-13T14:19:34.977
449,449,2020-08-05T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
450,450,2020-08-05T00:00:00.000,Confirmed,From Contact,70,2020-09-13T14:19:34.977
451,451,2020-08-06T00:00:00.000,Confirmed,Community,66,2020-09-13T14:19:34.977
452,452,2020-08-06T00:00:00.000,Confirmed,From Contact,33,2020-09-13T14:19:34.977
453,453,2020-08-07T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
454,454,2020-08-07T00:00:00.000,Confirmed,From Contact,68,2020-09-13T14:19:34.977
455,455,2020-08-07T00:00:00.000,Confirmed,Community,62,2020-09-13T14:19:34.977
456,456,2020-08-08T00:00:00.000,Confirmed,Community,34,2020-09-13T14:19:34.977
457,457,2020-08-08T00:00:00.000,Confirmed,From Contact,28,2020-09-13T14:19:34.977
458,458,2020-08-09T00:00:00.000,Confirmed,Community,26,2020-09-13T14:19:34.977
459,459,2020-08-09T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
460,460,2020-08-09T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
461,461,2020-08-09T00:00:00.000,Confirmed,From Contact,33,2020-09-13T14:19:34.977
462,462,2020-08-10T00:00:00.000,Confirmed,Community,55,2020-09-13T14:19:34.977
463,463,2020-08-10T00:00:00.000,Confirmed,From Contact,46,2020-09-13T14:19:34.977
464,464,2020-08-10T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
465,465,2020-08-11T00:00:00.000,Confirmed,Community,58,2020-09-13T14:19:34.977
466,466,2020-08-11T00:00:00.000,Confirmed,From Contact,48,2020-09-13T14:19:34.977
467,467,2020-08-12T00:00:00.000,Confirmed,From Contact,65,2020-09-13T14:19:34.977
468,468,2020-08-12T00:00:00.000,Confirmed,Community,69,2020-09-13T14:19:34.977
469,469,2020-08-12T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
470,470,2020-08-13T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
471,471,2020-08-13T00:00:00.000,Confirmed,Community,62,2020-09-13T14:19:34.977
472,472,2020-08-13T00:00:00.000,Confirmed,From Contact,42,2020-09-13T14:19:34.977
473,473,2020-08-14T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
474,474,2020-08-14T00:00:00.000,Confirmed,Community,66,2020-09-13T14:19:34.977
475,475,2020-08-14T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
476,476,2020-08-14T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
477,477,2020-08-15T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
478,478,2020-08-15T00:00:00.000,Confirmed,Community,34,2020-09-13T14:19:34.977
479,479,2020-08-15T00:00:00.000,Confirmed,From Contact,32,2020-09-13T14:19:34.977
480,480,2020-08-16T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
481,481,2020-08-16T00:00:00.000,Confirmed,Community,27,2020-09-13T14:19:34.977
482,482,2020-08-17T00:00:00.000,Confirmed,From Contact,38,2020-09-13T14:19:34.977
483,483,2020-08-17T00:00:00.000,Confirmed,Community,42,2020-09-13T14:19:34.977
484,484,2020-08-18T00:00:00.000,Confirmed,From Contact,37,2020-09-13T14:19:34.977
485,485,2020-08-18T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
486,486,2020-08-18T00:00:00.000,Death,Unknown,1,2020-09-13T14:19:34.977
487,487,2020-08-18T00:00:00.000,Confirmed,Community,42,2020-09-13T14:19:34.977
488,488,2020-08-19T00:00:00.000,Confirmed,Community,35,2020-09-13T14:19:34.977
489,489,2020-08-19T00:00:00.000,Confirmed,From Contact,61,2020-09-13T14:19:34.977
490,490,2020-08-20T00:00:00.000,Confirmed,Community,43,2020-09-13T14:19:34.977
491,491,2020-08-20T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
492,492,2020-08-20T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
493,493,2020-08-20T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
494,494,2020-08-20T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
495,495,2020-08-21T00:00:00.000,Confirmed,Community,43,2020-09-13T14:19:34.977
496,496,2020-08-21T00:00:00.000,Death,Unknown,1,2020-09-13T14:19:34.977
497,497,2020-08-21T00:00:00.000,Confirmed,From Contact,35,2020-09-13T14:19:34.977
498,498,2020-08-22T00:00:00.000,Confirmed,Community,22,2020-09-13T14:19:34.977
499,499,2020-08-22T00:00:00.000,Confirmed,From Contact,21,2020-09-13T14:19:34.977
500,500,2020-08-23T00:00:00.000,Confirmed,From Contact,24,2020-09-13T14:19:34.977
501,501,2020-08-23T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
502,502,2020-08-24T00:00:00.000,Confirmed,Community,48,2020-09-13T14:19:34.977
503,503,2020-08-24T00:00:00.000,Confirmed,From Contact,42,2020-09-13T14:19:34.977
504,504,2020-08-24T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
505,505,2020-08-25T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
506,506,2020-08-25T00:00:00.000,Confirmed,From Contact,33,2020-09-13T14:19:34.977
507,507,2020-08-26T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
508,508,2020-08-26T00:00:00.000,Confirmed,From Contact,43,2020-09-13T14:19:34.977
509,509,2020-08-26T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
510,510,2020-08-26T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
511,511,2020-08-27T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
512,512,2020-08-27T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
513,513,2020-08-27T00:00:00.000,Confirmed,Community,57,2020-09-13T14:19:34.977
514,514,2020-08-27T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
515,515,2020-08-28T00:00:00.000,Confirmed,From Contact,32,2020-09-13T14:19:34.977
516,516,2020-08-28T00:00:00.000,Confirmed,Community,32,2020-09-13T14:19:34.977
517,517,2020-08-29T00:00:00.000,Confirmed,Community,28,2020-09-13T14:19:34.977
518,518,2020-08-29T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
519,519,2020-08-29T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
520,520,2020-08-30T00:00:00.000,Confirmed,Community,19,2020-09-13T14:19:34.977
521,521,2020-08-30T00:00:00.000,Confirmed,From Contact,13,2020-09-13T14:19:34.977
522,522,2020-08-31T00:00:00.000,Confirmed,From Contact,35,2020-09-13T14:19:34.977
523,523,2020-08-31T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
524,524,2020-08-31T00:00:00.000,Confirmed,Community,48,2020-09-13T14:19:34.977
525,525,2020-09-01T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
526,526,2020-09-01T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
527,527,2020-09-01T00:00:00.000,Confirmed,Community,40,2020-09-13T14:19:34.977
528,528,2020-09-01T00:00:00.000,Confirmed,From Contact,41,2020-09-13T14:19:34.977
529,529,2020-09-02T00:00:00.000,Confirmed,Community,38,2020-09-13T14:19:34.977
530,530,2020-09-02T00:00:00.000,Confirmed,From Contact,44,2020-09-13T14:19:34.977
531,531,2020-09-02T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
532,532,2020-09-03T00:00:00.000,Confirmed,Community,49,2020-09-13T14:19:34.977
533,533,2020-09-03T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
534,534,2020-09-03T00:00:00.000,Confirmed,From Contact,39,2020-09-13T14:19:34.977
535,535,2020-09-04T00:00:00.000,Confirmed,From Contact,24,2020-09-13T14:19:34.977
536,536,2020-09-04T00:00:00.000,Confirmed,Community,51,2020-09-13T14:19:34.977
537,537,2020-09-05T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
538,538,2020-09-05T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
539,539,2020-09-05T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
540,540,2020-09-05T00:00:00.000,Confirmed,Community,22,2020-09-13T14:19:34.977
541,541,2020-09-06T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
542,542,2020-09-06T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
543,543,2020-09-07T00:00:00.000,Confirmed,Community,38,2020-09-13T14:19:34.977
544,544,2020-09-07T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
545,545,2020-09-07T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
546,546,2020-09-08T00:00:00.000,Confirmed,Community,33,2020-09-13T14:19:34.977
547,547,2020-09-08T00:00:00.000,Confirmed,Unknown,6,2020-09-13T14:19:34.977
548,548,2020-09-08T00:00:00.000,Confirmed,From Contact,27,2020-09-13T14:19:34.977
549,549,2020-09-09T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
550,550,2020-09-09T00:00:00.000,Confirmed,Community,21,2020-09-13T14:19:34.977
551,551,2020-09-09T00:00:00.000,Confirmed,From Contact,23,2020-09-13T14:19:34.977
552,552,2020-09-10T00:00:00.000,Confirmed,Community,25,2020-09-13T14:19:34.977
553,553,2020-09-10T00:00:00.000,Confirmed,Unknown,9,2020-09-13T14:19:34.977
554,554,2020-09-10T00:00:00.000,Confirmed,From Contact,16,2020-09-13T14:19:34.977
555,555,2020-09-11T00:00:00.000,Confirmed,From Contact,7,2020-09-13T14:19:34.977
556,556,2020-09-11T00:00:00.000,Confirmed,Unknown,19,2020-09-13T14:19:34.977
557,557,2020-09-11T00:00:00.000,Confirmed,Community,9,2020-09-13T14:19:34.977
