,Unnamed: 0,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
69,69,2020-04-01T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
70,70,2020-04-01T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
71,71,2020-04-01T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
72,72,2020-04-01T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
73,73,2020-04-02T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
74,74,2020-04-02T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
75,75,2020-04-02T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
76,76,2020-04-03T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
77,77,2020-04-03T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
78,78,2020-04-03T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
79,79,2020-04-04T00:00:00.000,Confirmed,Community,7,2020-09-13T14:19:34.977
80,80,2020-04-04T00:00:00.000,Confirmed,From Contact,8,2020-09-13T14:19:34.977
81,81,2020-04-05T00:00:00.000,Confirmed,From Contact,7,2020-09-13T14:19:34.977
82,82,2020-04-05T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
83,83,2020-04-05T00:00:00.000,Confirmed,Community,24,2020-09-13T14:19:34.977
84,84,2020-04-05T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
85,85,2020-04-06T00:00:00.000,Confirmed,Community,26,2020-09-13T14:19:34.977
86,86,2020-04-06T00:00:00.000,Confirmed,From Contact,18,2020-09-13T14:19:34.977
87,87,2020-04-06T00:00:00.000,Confirmed,Unknown,8,2020-09-13T14:19:34.977
88,88,2020-04-06T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
89,89,2020-04-07T00:00:00.000,Confirmed,Community,24,2020-09-13T14:19:34.977
90,90,2020-04-07T00:00:00.000,Confirmed,Unknown,7,2020-09-13T14:19:34.977
91,91,2020-04-07T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
92,92,2020-04-07T00:00:00.000,Confirmed,From Contact,26,2020-09-13T14:19:34.977
93,93,2020-04-08T00:00:00.000,Confirmed,Community,44,2020-09-13T14:19:34.977
94,94,2020-04-08T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
95,95,2020-04-08T00:00:00.000,Confirmed,From Contact,20,2020-09-13T14:19:34.977
96,96,2020-04-08T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
97,97,2020-04-09T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
98,98,2020-04-09T00:00:00.000,Confirmed,Community,58,2020-09-13T14:19:34.977
99,99,2020-04-09T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
100,100,2020-04-10T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
101,101,2020-04-10T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
102,102,2020-04-10T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
103,103,2020-04-11T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
104,104,2020-04-11T00:00:00.000,Confirmed,From Contact,7,2020-09-13T14:19:34.977
105,105,2020-04-11T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
106,106,2020-04-12T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
107,107,2020-04-12T00:00:00.000,Confirmed,Community,9,2020-09-13T14:19:34.977
108,108,2020-04-13T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
109,109,2020-04-13T00:00:00.000,Confirmed,From Contact,13,2020-09-13T14:19:34.977
110,110,2020-04-13T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
111,111,2020-04-13T00:00:00.000,Death,Unknown,1,2020-09-13T14:19:34.977
112,112,2020-04-14T00:00:00.000,Death,Community,2,2020-09-13T14:19:34.977
113,113,2020-04-14T00:00:00.000,Confirmed,Community,28,2020-09-13T14:19:34.977
