,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
72,2020-04-01T00:00:00.000,Death,Community,2,2020-09-24T14:20:21.067
73,2020-04-02T00:00:00.000,Confirmed,Unknown,4,2020-09-24T14:20:21.067
74,2020-04-02T00:00:00.000,Confirmed,From Contact,11,2020-09-24T14:20:21.067
75,2020-04-02T00:00:00.000,Confirmed,Community,18,2020-09-24T14:20:21.067
76,2020-04-03T00:00:00.000,Confirmed,Unknown,3,2020-09-24T14:20:21.067
77,2020-04-03T00:00:00.000,Confirmed,From Contact,11,2020-09-24T14:20:21.067
78,2020-04-03T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
79,2020-04-04T00:00:00.000,Confirmed,Community,7,2020-09-24T14:20:21.067
80,2020-04-04T00:00:00.000,Confirmed,From Contact,8,2020-09-24T14:20:21.067
81,2020-04-05T00:00:00.000,Confirmed,Unknown,4,2020-09-24T14:20:21.067
82,2020-04-05T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
83,2020-04-05T00:00:00.000,Confirmed,From Contact,7,2020-09-24T14:20:21.067
84,2020-04-05T00:00:00.000,Confirmed,Community,24,2020-09-24T14:20:21.067
85,2020-04-06T00:00:00.000,Confirmed,Community,26,2020-09-24T14:20:21.067
86,2020-04-06T00:00:00.000,Confirmed,Unknown,8,2020-09-24T14:20:21.067
87,2020-04-06T00:00:00.000,Confirmed,From Contact,18,2020-09-24T14:20:21.067
88,2020-04-06T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
89,2020-04-07T00:00:00.000,Confirmed,Unknown,7,2020-09-24T14:20:21.067
90,2020-04-07T00:00:00.000,Confirmed,Community,24,2020-09-24T14:20:21.067
91,2020-04-07T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
92,2020-04-07T00:00:00.000,Confirmed,From Contact,26,2020-09-24T14:20:21.067
93,2020-04-08T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
94,2020-04-08T00:00:00.000,Confirmed,Unknown,2,2020-09-24T14:20:21.067
95,2020-04-08T00:00:00.000,Confirmed,Community,44,2020-09-24T14:20:21.067
96,2020-04-08T00:00:00.000,Confirmed,From Contact,20,2020-09-24T14:20:21.067
97,2020-04-09T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
98,2020-04-09T00:00:00.000,Confirmed,Community,58,2020-09-24T14:20:21.067
99,2020-04-09T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
100,2020-04-10T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
101,2020-04-10T00:00:00.000,Death,Community,2,2020-09-24T14:20:21.067
102,2020-04-10T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
103,2020-04-11T00:00:00.000,Confirmed,From Contact,7,2020-09-24T14:20:21.067
104,2020-04-11T00:00:00.000,Confirmed,Community,16,2020-09-24T14:20:21.067
105,2020-04-11T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
106,2020-04-12T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
107,2020-04-12T00:00:00.000,Confirmed,Community,9,2020-09-24T14:20:21.067
108,2020-04-13T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
109,2020-04-13T00:00:00.000,Confirmed,From Contact,14,2020-09-24T14:20:21.067
110,2020-04-13T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
111,2020-04-13T00:00:00.000,Death,Unknown,1,2020-09-24T14:20:21.067
112,2020-04-14T00:00:00.000,Confirmed,From Contact,18,2020-09-24T14:20:21.067
113,2020-04-14T00:00:00.000,Confirmed,Community,28,2020-09-24T14:20:21.067
114,2020-04-14T00:00:00.000,Death,Community,2,2020-09-24T14:20:21.067
115,2020-04-14T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
116,2020-04-15T00:00:00.000,Confirmed,Community,39,2020-09-24T14:20:21.067
117,2020-04-15T00:00:00.000,Confirmed,From Contact,12,2020-09-24T14:20:21.067
118,2020-04-15T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
119,2020-04-15T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
120,2020-04-16T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
121,2020-04-16T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
122,2020-04-16T00:00:00.000,Confirmed,Community,23,2020-09-24T14:20:21.067
123,2020-04-17T00:00:00.000,Confirmed,From Contact,16,2020-09-24T14:20:21.067
124,2020-04-17T00:00:00.000,Confirmed,Community,28,2020-09-24T14:20:21.067
125,2020-04-18T00:00:00.000,Confirmed,Community,9,2020-09-24T14:20:21.067
