,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
0,2020-03-03T00:00:00.000,Confirmed,Community,2,2020-09-03T15:19:28.030
1,2020-03-05T00:00:00.000,Confirmed,Community,1,2020-09-03T15:19:28.030
2,2020-03-05T00:00:00.000,Confirmed,From Contact,5,2020-09-03T15:19:28.030
3,2020-03-07T00:00:00.000,Confirmed,From Contact,5,2020-09-03T15:19:28.030
4,2020-03-08T00:00:00.000,Confirmed,From Contact,1,2020-09-03T15:19:28.030
5,2020-03-10T00:00:00.000,Confirmed,From Contact,2,2020-09-03T15:19:28.030
6,2020-03-10T00:00:00.000,Confirmed,Community,4,2020-09-03T15:19:28.030
7,2020-03-11T00:00:00.000,Confirmed,From Contact,4,2020-09-03T15:19:28.030
8,2020-03-11T00:00:00.000,Confirmed,Community,5,2020-09-03T15:19:28.030
9,2020-03-12T00:00:00.000,Confirmed,Community,6,2020-09-03T15:19:28.030
10,2020-03-13T00:00:00.000,Confirmed,From Contact,3,2020-09-03T15:19:28.030
11,2020-03-13T00:00:00.000,Confirmed,Community,12,2020-09-03T15:19:28.030
12,2020-03-14T00:00:00.000,Confirmed,Community,10,2020-09-03T15:19:28.030
13,2020-03-15T00:00:00.000,Confirmed,From Contact,1,2020-09-03T15:19:28.030
14,2020-03-15T00:00:00.000,Confirmed,Unknown,1,2020-09-03T15:19:28.030
15,2020-03-15T00:00:00.000,Confirmed,Community,9,2020-09-03T15:19:28.030
16,2020-03-16T00:00:00.000,Confirmed,Unknown,1,2020-09-03T15:19:28.030
17,2020-03-16T00:00:00.000,Confirmed,Community,31,2020-09-03T15:19:28.030
18,2020-03-16T00:00:00.000,Confirmed,From Contact,9,2020-09-03T15:19:28.030
19,2020-03-17T00:00:00.000,Confirmed,Unknown,2,2020-09-03T15:19:28.030
20,2020-03-17T00:00:00.000,Confirmed,Community,19,2020-09-03T15:19:28.030
21,2020-03-17T00:00:00.000,Confirmed,From Contact,5,2020-09-03T15:19:28.030
22,2020-03-17T00:00:00.000,Death,From Contact,1,2020-09-03T15:19:28.030
23,2020-03-18T00:00:00.000,Confirmed,From Contact,6,2020-09-03T15:19:28.030
24,2020-03-18T00:00:00.000,Confirmed,Community,14,2020-09-03T15:19:28.030
25,2020-03-18T00:00:00.000,Confirmed,Unknown,1,2020-09-03T15:19:28.030
26,2020-03-19T00:00:00.000,Confirmed,From Contact,3,2020-09-03T15:19:28.030
27,2020-03-19T00:00:00.000,Confirmed,Community,16,2020-09-03T15:19:28.030
28,2020-03-20T00:00:00.000,Confirmed,From Contact,5,2020-09-03T15:19:28.030
29,2020-03-20T00:00:00.000,Confirmed,Unknown,1,2020-09-03T15:19:28.030
30,2020-03-20T00:00:00.000,Confirmed,Community,30,2020-09-03T15:19:28.030
31,2020-03-21T00:00:00.000,Confirmed,Community,15,2020-09-03T15:19:28.030
32,2020-03-21T00:00:00.000,Confirmed,From Contact,2,2020-09-03T15:19:28.030
33,2020-03-22T00:00:00.000,Confirmed,From Contact,3,2020-09-03T15:19:28.030
34,2020-03-22T00:00:00.000,Confirmed,Community,21,2020-09-03T15:19:28.030
35,2020-03-23T00:00:00.000,Confirmed,From Contact,4,2020-09-03T15:19:28.030
