,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
0,2020-03-03T00:00:00.000,Confirmed,Community,2,2020-08-31T15:18:55.480
1,2020-03-05T00:00:00.000,Confirmed,Community,1,2020-08-31T15:18:55.480
2,2020-03-05T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
3,2020-03-07T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
4,2020-03-08T00:00:00.000,Confirmed,From Contact,1,2020-08-31T15:18:55.480
5,2020-03-10T00:00:00.000,Confirmed,Community,4,2020-08-31T15:18:55.480
6,2020-03-10T00:00:00.000,Confirmed,From Contact,2,2020-08-31T15:18:55.480
7,2020-03-11T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
8,2020-03-11T00:00:00.000,Confirmed,Community,5,2020-08-31T15:18:55.480
9,2020-03-12T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
10,2020-03-13T00:00:00.000,Confirmed,Community,12,2020-08-31T15:18:55.480
11,2020-03-13T00:00:00.000,Confirmed,From Contact,3,2020-08-31T15:18:55.480
12,2020-03-14T00:00:00.000,Confirmed,Community,10,2020-08-31T15:18:55.480
13,2020-03-15T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
14,2020-03-15T00:00:00.000,Confirmed,From Contact,1,2020-08-31T15:18:55.480
15,2020-03-15T00:00:00.000,Confirmed,Community,9,2020-08-31T15:18:55.480
16,2020-03-16T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
17,2020-03-16T00:00:00.000,Confirmed,Community,31,2020-08-31T15:18:55.480
18,2020-03-16T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
19,2020-03-17T00:00:00.000,Confirmed,Community,19,2020-08-31T15:18:55.480
20,2020-03-17T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
21,2020-03-17T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
22,2020-03-17T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
23,2020-03-18T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
24,2020-03-18T00:00:00.000,Confirmed,From Contact,6,2020-08-31T15:18:55.480
25,2020-03-18T00:00:00.000,Confirmed,Community,14,2020-08-31T15:18:55.480
26,2020-03-19T00:00:00.000,Confirmed,From Contact,3,2020-08-31T15:18:55.480
27,2020-03-19T00:00:00.000,Confirmed,Community,16,2020-08-31T15:18:55.480
28,2020-03-20T00:00:00.000,Confirmed,Community,30,2020-08-31T15:18:55.480
29,2020-03-20T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
30,2020-03-20T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
31,2020-03-21T00:00:00.000,Confirmed,From Contact,2,2020-08-31T15:18:55.480
32,2020-03-21T00:00:00.000,Confirmed,Community,15,2020-08-31T15:18:55.480
33,2020-03-22T00:00:00.000,Confirmed,Community,21,2020-08-31T15:18:55.480
34,2020-03-22T00:00:00.000,Confirmed,From Contact,3,2020-08-31T15:18:55.480
35,2020-03-23T00:00:00.000,Confirmed,Community,26,2020-08-31T15:18:55.480
36,2020-03-23T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
37,2020-03-23T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
38,2020-03-24T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
39,2020-03-24T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
40,2020-03-24T00:00:00.000,Confirmed,Community,32,2020-08-31T15:18:55.480
41,2020-03-24T00:00:00.000,Confirmed,From Contact,7,2020-08-31T15:18:55.480
42,2020-03-25T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
43,2020-03-25T00:00:00.000,Confirmed,Unknown,5,2020-08-31T15:18:55.480
44,2020-03-25T00:00:00.000,Confirmed,Community,34,2020-08-31T15:18:55.480
45,2020-03-26T00:00:00.000,Confirmed,Community,28,2020-08-31T15:18:55.480
46,2020-03-26T00:00:00.000,Death,Community,2,2020-08-31T15:18:55.480
47,2020-03-26T00:00:00.000,Confirmed,From Contact,6,2020-08-31T15:18:55.480
48,2020-03-26T00:00:00.000,Confirmed,Unknown,6,2020-08-31T15:18:55.480
49,2020-03-26T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
50,2020-03-27T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
51,2020-03-27T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
52,2020-03-27T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
53,2020-03-27T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
54,2020-03-27T00:00:00.000,Confirmed,Community,25,2020-08-31T15:18:55.480
55,2020-03-28T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
56,2020-03-28T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
57,2020-03-29T00:00:00.000,Confirmed,From Contact,1,2020-08-31T15:18:55.480
58,2020-03-29T00:00:00.000,Confirmed,Community,11,2020-08-31T15:18:55.480
59,2020-03-29T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
60,2020-03-30T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
61,2020-03-30T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
62,2020-03-30T00:00:00.000,Confirmed,From Contact,12,2020-08-31T15:18:55.480
63,2020-03-30T00:00:00.000,Confirmed,Community,27,2020-08-31T15:18:55.480
64,2020-03-31T00:00:00.000,Confirmed,Unknown,12,2020-08-31T15:18:55.480
65,2020-03-31T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
66,2020-03-31T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
67,2020-03-31T00:00:00.000,Confirmed,Community,29,2020-08-31T15:18:55.480
68,2020-04-01T00:00:00.000,Death,Community,2,2020-08-31T15:18:55.480
69,2020-04-01T00:00:00.000,Confirmed,Unknown,7,2020-08-31T15:18:55.480
70,2020-04-01T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
71,2020-04-01T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
72,2020-04-01T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
73,2020-04-02T00:00:00.000,Confirmed,From Contact,11,2020-08-31T15:18:55.480
74,2020-04-02T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
75,2020-04-02T00:00:00.000,Confirmed,Unknown,4,2020-08-31T15:18:55.480
76,2020-04-03T00:00:00.000,Confirmed,From Contact,11,2020-08-31T15:18:55.480
77,2020-04-03T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
78,2020-04-03T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
79,2020-04-04T00:00:00.000,Confirmed,Community,7,2020-08-31T15:18:55.480
80,2020-04-04T00:00:00.000,Confirmed,From Contact,8,2020-08-31T15:18:55.480
81,2020-04-05T00:00:00.000,Confirmed,Unknown,4,2020-08-31T15:18:55.480
82,2020-04-05T00:00:00.000,Confirmed,From Contact,7,2020-08-31T15:18:55.480
83,2020-04-05T00:00:00.000,Confirmed,Community,24,2020-08-31T15:18:55.480
84,2020-04-05T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
85,2020-04-06T00:00:00.000,Confirmed,Community,26,2020-08-31T15:18:55.480
86,2020-04-06T00:00:00.000,Confirmed,Unknown,8,2020-08-31T15:18:55.480
87,2020-04-06T00:00:00.000,Confirmed,From Contact,18,2020-08-31T15:18:55.480
88,2020-04-06T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
89,2020-04-07T00:00:00.000,Confirmed,Unknown,7,2020-08-31T15:18:55.480
90,2020-04-07T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
91,2020-04-07T00:00:00.000,Confirmed,From Contact,26,2020-08-31T15:18:55.480
92,2020-04-07T00:00:00.000,Confirmed,Community,24,2020-08-31T15:18:55.480
93,2020-04-08T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
94,2020-04-08T00:00:00.000,Confirmed,Community,44,2020-08-31T15:18:55.480
95,2020-04-08T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
96,2020-04-08T00:00:00.000,Confirmed,From Contact,20,2020-08-31T15:18:55.480
97,2020-04-09T00:00:00.000,Confirmed,From Contact,17,2020-08-31T15:18:55.480
98,2020-04-09T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
99,2020-04-09T00:00:00.000,Confirmed,Community,58,2020-08-31T15:18:55.480
100,2020-04-10T00:00:00.000,Death,Community,2,2020-08-31T15:18:55.480
101,2020-04-10T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
102,2020-04-10T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
103,2020-04-11T00:00:00.000,Confirmed,From Contact,7,2020-08-31T15:18:55.480
104,2020-04-11T00:00:00.000,Confirmed,Community,16,2020-08-31T15:18:55.480
105,2020-04-11T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
106,2020-04-12T00:00:00.000,Confirmed,Community,9,2020-08-31T15:18:55.480
107,2020-04-12T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
108,2020-04-13T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
109,2020-04-13T00:00:00.000,Confirmed,From Contact,13,2020-08-31T15:18:55.480
110,2020-04-13T00:00:00.000,Death,Unknown,1,2020-08-31T15:18:55.480
111,2020-04-13T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
112,2020-04-14T00:00:00.000,Death,Community,2,2020-08-31T15:18:55.480
113,2020-04-14T00:00:00.000,Confirmed,Community,28,2020-08-31T15:18:55.480
114,2020-04-14T00:00:00.000,Confirmed,From Contact,18,2020-08-31T15:18:55.480
115,2020-04-15T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
116,2020-04-15T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
117,2020-04-15T00:00:00.000,Confirmed,From Contact,11,2020-08-31T15:18:55.480
118,2020-04-15T00:00:00.000,Confirmed,Community,40,2020-08-31T15:18:55.480
119,2020-04-16T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
120,2020-04-16T00:00:00.000,Confirmed,Community,23,2020-08-31T15:18:55.480
121,2020-04-16T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
122,2020-04-17T00:00:00.000,Confirmed,Community,28,2020-08-31T15:18:55.480
123,2020-04-17T00:00:00.000,Confirmed,From Contact,16,2020-08-31T15:18:55.480
124,2020-04-18T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
125,2020-04-18T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
126,2020-04-18T00:00:00.000,Confirmed,Community,9,2020-08-31T15:18:55.480
127,2020-04-19T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
128,2020-04-19T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
129,2020-04-19T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
130,2020-04-19T00:00:00.000,Confirmed,Community,26,2020-08-31T15:18:55.480
131,2020-04-20T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
132,2020-04-20T00:00:00.000,Confirmed,Community,26,2020-08-31T15:18:55.480
133,2020-04-20T00:00:00.000,Confirmed,From Contact,12,2020-08-31T15:18:55.480
134,2020-04-21T00:00:00.000,Confirmed,Community,14,2020-08-31T15:18:55.480
135,2020-04-21T00:00:00.000,Confirmed,From Contact,15,2020-08-31T15:18:55.480
136,2020-04-21T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
137,2020-04-22T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
138,2020-04-22T00:00:00.000,Confirmed,From Contact,12,2020-08-31T15:18:55.480
139,2020-04-22T00:00:00.000,Confirmed,Community,20,2020-08-31T15:18:55.480
140,2020-04-23T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
141,2020-04-23T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
142,2020-04-23T00:00:00.000,Confirmed,Community,32,2020-08-31T15:18:55.480
143,2020-04-24T00:00:00.000,Confirmed,Community,16,2020-08-31T15:18:55.480
144,2020-04-24T00:00:00.000,Confirmed,From Contact,20,2020-08-31T15:18:55.480
145,2020-04-25T00:00:00.000,Confirmed,Community,34,2020-08-31T15:18:55.480
146,2020-04-25T00:00:00.000,Confirmed,From Contact,18,2020-08-31T15:18:55.480
147,2020-04-25T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
148,2020-04-26T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
149,2020-04-26T00:00:00.000,Confirmed,Community,22,2020-08-31T15:18:55.480
150,2020-04-27T00:00:00.000,Confirmed,From Contact,12,2020-08-31T15:18:55.480
151,2020-04-27T00:00:00.000,Confirmed,Community,24,2020-08-31T15:18:55.480
152,2020-04-28T00:00:00.000,Confirmed,From Contact,26,2020-08-31T15:18:55.480
153,2020-04-28T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
154,2020-04-28T00:00:00.000,Confirmed,Community,46,2020-08-31T15:18:55.480
155,2020-04-29T00:00:00.000,Confirmed,From Contact,22,2020-08-31T15:18:55.480
156,2020-04-29T00:00:00.000,Death,From Contact,2,2020-08-31T15:18:55.480
157,2020-04-29T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
158,2020-04-29T00:00:00.000,Confirmed,Community,27,2020-08-31T15:18:55.480
159,2020-04-30T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
160,2020-04-30T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
161,2020-04-30T00:00:00.000,Confirmed,Community,19,2020-08-31T15:18:55.480
162,2020-05-01T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
163,2020-05-01T00:00:00.000,Confirmed,From Contact,17,2020-08-31T15:18:55.480
164,2020-05-01T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
165,2020-05-02T00:00:00.000,Confirmed,Community,30,2020-08-31T15:18:55.480
166,2020-05-02T00:00:00.000,Confirmed,From Contact,15,2020-08-31T15:18:55.480
167,2020-05-03T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
168,2020-05-03T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
169,2020-05-03T00:00:00.000,Confirmed,From Contact,6,2020-08-31T15:18:55.480
170,2020-05-04T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
171,2020-05-04T00:00:00.000,Confirmed,Community,15,2020-08-31T15:18:55.480
172,2020-05-04T00:00:00.000,Confirmed,From Contact,27,2020-08-31T15:18:55.480
173,2020-05-05T00:00:00.000,Confirmed,From Contact,25,2020-08-31T15:18:55.480
174,2020-05-05T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
175,2020-05-06T00:00:00.000,Confirmed,From Contact,15,2020-08-31T15:18:55.480
176,2020-05-06T00:00:00.000,Confirmed,Community,28,2020-08-31T15:18:55.480
177,2020-05-07T00:00:00.000,Confirmed,Community,20,2020-08-31T15:18:55.480
178,2020-05-07T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
179,2020-05-08T00:00:00.000,Confirmed,From Contact,13,2020-08-31T15:18:55.480
180,2020-05-08T00:00:00.000,Confirmed,Community,16,2020-08-31T15:18:55.480
181,2020-05-08T00:00:00.000,Death,From Contact,2,2020-08-31T15:18:55.480
182,2020-05-08T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
183,2020-05-09T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
184,2020-05-09T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
185,2020-05-09T00:00:00.000,Confirmed,From Contact,1,2020-08-31T15:18:55.480
186,2020-05-09T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
187,2020-05-09T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
188,2020-05-10T00:00:00.000,Confirmed,Community,4,2020-08-31T15:18:55.480
189,2020-05-10T00:00:00.000,Confirmed,From Contact,1,2020-08-31T15:18:55.480
190,2020-05-11T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
191,2020-05-11T00:00:00.000,Confirmed,Community,24,2020-08-31T15:18:55.480
192,2020-05-12T00:00:00.000,Confirmed,From Contact,11,2020-08-31T15:18:55.480
193,2020-05-12T00:00:00.000,Confirmed,Unknown,24,2020-08-31T15:18:55.480
194,2020-05-12T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
195,2020-05-12T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
196,2020-05-13T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
197,2020-05-13T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
198,2020-05-14T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
199,2020-05-14T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
200,2020-05-14T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
201,2020-05-15T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
202,2020-05-15T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
203,2020-05-15T00:00:00.000,Confirmed,Unknown,4,2020-08-31T15:18:55.480
204,2020-05-15T00:00:00.000,Confirmed,Community,20,2020-08-31T15:18:55.480
205,2020-05-16T00:00:00.000,Confirmed,Community,4,2020-08-31T15:18:55.480
206,2020-05-16T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
207,2020-05-17T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
208,2020-05-17T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
209,2020-05-17T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
210,2020-05-18T00:00:00.000,Confirmed,From Contact,21,2020-08-31T15:18:55.480
211,2020-05-18T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
212,2020-05-18T00:00:00.000,Confirmed,Community,22,2020-08-31T15:18:55.480
213,2020-05-19T00:00:00.000,Confirmed,From Contact,22,2020-08-31T15:18:55.480
214,2020-05-19T00:00:00.000,Confirmed,Community,9,2020-08-31T15:18:55.480
215,2020-05-20T00:00:00.000,Confirmed,Community,23,2020-08-31T15:18:55.480
216,2020-05-20T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
217,2020-05-21T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
218,2020-05-21T00:00:00.000,Confirmed,Community,14,2020-08-31T15:18:55.480
219,2020-05-22T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
220,2020-05-22T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
221,2020-05-22T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
222,2020-05-23T00:00:00.000,Confirmed,Community,7,2020-08-31T15:18:55.480
223,2020-05-23T00:00:00.000,Confirmed,From Contact,9,2020-08-31T15:18:55.480
224,2020-05-23T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
225,2020-05-24T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
226,2020-05-24T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
227,2020-05-25T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
228,2020-05-25T00:00:00.000,Confirmed,Community,5,2020-08-31T15:18:55.480
229,2020-05-26T00:00:00.000,Confirmed,Community,22,2020-08-31T15:18:55.480
230,2020-05-26T00:00:00.000,Confirmed,From Contact,24,2020-08-31T15:18:55.480
231,2020-05-26T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
232,2020-05-26T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
233,2020-05-27T00:00:00.000,Confirmed,Community,16,2020-08-31T15:18:55.480
234,2020-05-27T00:00:00.000,Confirmed,From Contact,17,2020-08-31T15:18:55.480
235,2020-05-27T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
236,2020-05-28T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
237,2020-05-28T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
238,2020-05-28T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
239,2020-05-29T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
240,2020-05-29T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
241,2020-05-29T00:00:00.000,Confirmed,From Contact,17,2020-08-31T15:18:55.480
242,2020-05-30T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
243,2020-05-30T00:00:00.000,Confirmed,Community,12,2020-08-31T15:18:55.480
244,2020-05-31T00:00:00.000,Confirmed,Community,14,2020-08-31T15:18:55.480
245,2020-05-31T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
246,2020-05-31T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
247,2020-05-31T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
248,2020-06-01T00:00:00.000,Confirmed,Community,18,2020-08-31T15:18:55.480
249,2020-06-01T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
250,2020-06-01T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
251,2020-06-02T00:00:00.000,Confirmed,From Contact,24,2020-08-31T15:18:55.480
252,2020-06-02T00:00:00.000,Confirmed,Unknown,5,2020-08-31T15:18:55.480
253,2020-06-02T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
254,2020-06-03T00:00:00.000,Confirmed,Community,15,2020-08-31T15:18:55.480
255,2020-06-03T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
256,2020-06-03T00:00:00.000,Confirmed,From Contact,11,2020-08-31T15:18:55.480
257,2020-06-04T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
258,2020-06-04T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
259,2020-06-04T00:00:00.000,Confirmed,Unknown,2,2020-08-31T15:18:55.480
260,2020-06-05T00:00:00.000,Confirmed,Community,14,2020-08-31T15:18:55.480
261,2020-06-05T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
262,2020-06-05T00:00:00.000,Confirmed,Unknown,5,2020-08-31T15:18:55.480
263,2020-06-05T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
264,2020-06-06T00:00:00.000,Confirmed,Community,6,2020-08-31T15:18:55.480
265,2020-06-06T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
266,2020-06-07T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
267,2020-06-07T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
268,2020-06-08T00:00:00.000,Confirmed,From Contact,19,2020-08-31T15:18:55.480
269,2020-06-08T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
270,2020-06-09T00:00:00.000,Confirmed,From Contact,12,2020-08-31T15:18:55.480
271,2020-06-09T00:00:00.000,Confirmed,Community,21,2020-08-31T15:18:55.480
272,2020-06-10T00:00:00.000,Confirmed,Community,11,2020-08-31T15:18:55.480
273,2020-06-10T00:00:00.000,Confirmed,From Contact,4,2020-08-31T15:18:55.480
274,2020-06-10T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
275,2020-06-11T00:00:00.000,Confirmed,Community,13,2020-08-31T15:18:55.480
276,2020-06-11T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
277,2020-06-12T00:00:00.000,Confirmed,Community,19,2020-08-31T15:18:55.480
278,2020-06-12T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
279,2020-06-12T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
280,2020-06-12T00:00:00.000,Confirmed,From Contact,7,2020-08-31T15:18:55.480
281,2020-06-13T00:00:00.000,Confirmed,From Contact,5,2020-08-31T15:18:55.480
282,2020-06-13T00:00:00.000,Death,From Contact,1,2020-08-31T15:18:55.480
283,2020-06-13T00:00:00.000,Confirmed,Community,15,2020-08-31T15:18:55.480
284,2020-06-14T00:00:00.000,Confirmed,From Contact,7,2020-08-31T15:18:55.480
285,2020-06-14T00:00:00.000,Confirmed,Community,8,2020-08-31T15:18:55.480
286,2020-06-15T00:00:00.000,Confirmed,Community,15,2020-08-31T15:18:55.480
287,2020-06-15T00:00:00.000,Confirmed,From Contact,20,2020-08-31T15:18:55.480
288,2020-06-16T00:00:00.000,Confirmed,Community,27,2020-08-31T15:18:55.480
289,2020-06-16T00:00:00.000,Confirmed,From Contact,21,2020-08-31T15:18:55.480
290,2020-06-17T00:00:00.000,Confirmed,From Contact,21,2020-08-31T15:18:55.480
291,2020-06-17T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
292,2020-06-17T00:00:00.000,Confirmed,Community,29,2020-08-31T15:18:55.480
293,2020-06-18T00:00:00.000,Confirmed,From Contact,10,2020-08-31T15:18:55.480
294,2020-06-18T00:00:00.000,Confirmed,Community,34,2020-08-31T15:18:55.480
295,2020-06-18T00:00:00.000,Death,Community,1,2020-08-31T15:18:55.480
296,2020-06-19T00:00:00.000,Confirmed,Unknown,1,2020-08-31T15:18:55.480
297,2020-06-19T00:00:00.000,Confirmed,Community,25,2020-08-31T15:18:55.480
298,2020-06-19T00:00:00.000,Confirmed,From Contact,17,2020-08-31T15:18:55.480
299,2020-06-20T00:00:00.000,Confirmed,From Contact,14,2020-08-31T15:18:55.480
300,2020-06-20T00:00:00.000,Confirmed,Community,27,2020-08-31T15:18:55.480
301,2020-06-21T00:00:00.000,Confirmed,From Contact,15,2020-08-31T15:18:55.480
302,2020-06-21T00:00:00.000,Confirmed,Community,17,2020-08-31T15:18:55.480
303,2020-06-22T00:00:00.000,Confirmed,From Contact,34,2020-08-31T15:18:55.480
304,2020-06-22T00:00:00.000,Confirmed,Community,68,2020-08-31T15:18:55.480
305,2020-06-22T00:00:00.000,Confirmed,Unknown,3,2020-08-31T15:18:55.480
